GRIDCODE,ID,furb,frural,fpob, PobUrb, PobR,Pur+Rur, puT,prT, PobT
"0			fraction",,,,,,,,,,
159308,6001,0,0.2783791,0.0349538,0,1003,1003,24881,3603,28695
159309,6001,0,0.0008326,0.0001045,0,3,3,24881,3603,28695
159310,6001,0,0.0072162,0.0009061,0,26,26,24881,3603,28695
159311,6001,0.0426832,0.0396891,0.0419934,1062,143,1205,24881,3603,28695
159312,6001,0.0001608,0.0024979,0.000453,4,9,13,24881,3603,28695
159313,6009,0,0.0098307,0.0003194,0,36,36,78115,3662,112726
159314,6009,0.5101197,0.0212998,0.3541863,39848,78,39926,78115,3662,112726
159315,6009,0.3095052,0.0931185,0.2175009,24177,341,24518,78115,3662,112726
159316,6009,0,0.0131076,0.0004258,0,48,48,78115,3662,112726
159317,6009,0,0.0040961,0.0001331,0,15,15,78115,3662,112726
159318,6009,0,0.0106499,0.000346,0,39,39,78115,3662,112726
159320,6006,0,0.0145145,0.0054717,0,29,29,2717,1998,5300
159321,6006,0,0.005005,0.0018868,0,10,10,2717,1998,5300
159322,6006,0,0.0645646,0.0243396,0,129,129,2717,1998,5300
159329,16026,0,0.0131004,0.0005692,0,3,3,0,229,5271
159331,16026,0,0.4061135,0.0176437,0,93,93,0,229,5271
159332,16026,0,0.0262009,0.0011383,0,6,6,0,229,5271
159333,16015,0,0.1872233,0.0168039,0,296,296,0,1581,17615
159335,16015,0,0.0733713,0.0065853,0,116,116,0,1581,17615
159336,16015,0,0.0253004,0.0022708,0,40,40,0,1581,17615
159338,16015,0,0.0803289,0.0072098,0,127,127,0,1581,17615
159339,16015,0,0.0126502,0.0011354,0,20,20,0,1581,17615
159340,14087,0,0.0085663,0.0022556,0,38,38,12411,4436,16847
159341,14087,0,0.0038323,0.0010091,0,17,17,12411,4436,16847
159341,16015,0,0.0480708,0.0043145,0,76,76,0,1581,17615
159342,16015,0,0.0056926,0.0005109,0,9,9,0,1581,17615
159343,16015,0,0.0082226,0.000738,0,13,13,0,1581,17615
159345,16015,0,0.0335231,0.0030088,0,53,53,0,1581,17615
159347,16015,0,0.0031626,0.0002838,0,5,5,0,1581,17615
159348,16015,0,0.0037951,0.0003406,0,6,6,0,1581,17615
159349,16015,0,0.0044276,0.0003974,0,7,7,0,1581,17615
159354,16002,0,0.2156558,0.0256568,0,416,416,2232,1929,16214
159356,16002,0,0.0834629,0.0099297,0,161,161,2232,1929,16214
159358,16002,0,0.2846034,0.0338596,0,549,549,2232,1929,16214
159359,16006,0,0.0171444,0.0031541,0,390,390,99011,22748,123649
159366,16006,0,0.0191226,0.003518,0,435,435,99011,22748,123649
159367,16006,0,0.0168366,0.0030975,0,383,383,99011,22748,123649
159368,16064,0,0.0146639,0.0058793,0,149,149,12976,10161,25343
159370,16064,0,0.0756815,0.0303437,0,769,769,12976,10161,25343
159372,16064,0,0.003543,0.0014205,0,36,36,12976,10161,25343
159373,16064,0,0.001181,0.0004735,0,12,12,12976,10161,25343
159373,16055,0,0.0108401,0.0020461,0,92,92,35484,8487,44963
159375,16055,0,0.0016496,0.0003114,0,14,14,35484,8487,44963
159376,16055,0.0720606,0.0004713,0.0569579,2557,4,2561,35484,8487,44963
159377,16055,0.0129636,0,0.0102306,460,0,460,35484,8487,44963
159378,16035,0,0.001023,0.0001832,0,6,6,9395,5865,32757
159378,16055,0,0.0302816,0.0057158,0,257,257,35484,8487,44963
159383,16035,0,0.000341,0.0000611,0,2,2,9395,5865,32757
159384,16035,0,0.0259165,0.0046402,0,152,152,9395,5865,32757
159385,16035,0,0.0018755,0.0003358,0,11,11,9395,5865,32757
159388,16035,0,0.056948,0.0101963,0,334,334,9395,5865,32757
159389,16035,0,0.0465473,0.0083341,0,273,273,9395,5865,32757
159390,16035,0,0.0412617,0.0073877,0,242,242,9395,5865,32757
159391,16035,0,0.059676,0.0106847,0,350,350,9395,5865,32757
159393,16035,0,0.000682,0.0001221,0,4,4,9395,5865,32757
159394,16029,0,0.0023667,0.0023667,0,34,34,0,34,14366
159395,16097,0,0.0024444,0.0006588,0,21,21,9695,8591,31877
159396,16097,0,0.000582,0.0001569,0,5,5,9695,8591,31877
160364,6007,0,0.0000473,0.0000062,0,1,1,140290,21130,161420
160365,6001,0,0.0005551,0.0000697,0,2,2,24881,3603,28695
160365,6007,0,0.0000473,0.0000062,0,1,1,140290,21130,161420
160366,6001,0,0.0002775,0.0000348,0,1,1,24881,3603,28695
160368,6001,0,0.0011102,0.0001394,0,4,4,24881,3603,28695
160369,6001,0,0.0086039,0.0010803,0,31,31,24881,3603,28695
160370,6001,0.4359551,0.0022204,0.3782889,10847,8,10855,24881,3603,28695
160371,6009,0.0097548,0.0051884,0.0069283,762,19,781,78115,3662,112726
160371,6001,0.2663478,0.0338607,0.2351978,6627,122,6749,24881,3603,28695
160372,6009,0.0417333,0.0133807,0.0293544,3260,49,3309,78115,3662,112726
160373,6009,0.0708443,0.0054615,0.0492699,5534,20,5554,78115,3662,112726
160374,6009,0.0095244,0.0163845,0.0071323,744,60,804,78115,3662,112726
160375,6009,0,0.0005461,0.0000177,0,2,2,78115,3662,112726
160377,6009,0,0.00355,0.0001153,0,13,13,78115,3662,112726
160380,6006,0,0.0215215,0.0081132,0,43,43,2717,1998,5300
160382,6006,0,0.0780781,0.029434,0,156,156,2717,1998,5300
160383,6006,0,0.0245245,0.0092453,0,49,49,2717,1998,5300
160387,16026,0,0.5545852,0.0240941,0,127,127,0,229,5271
160391,16015,0,0.0234029,0.0021005,0,37,37,0,1581,17615
160392,16015,0,0.0056926,0.0005109,0,9,9,0,1581,17615
160394,16015,0,0.0524984,0.0047119,0,83,83,0,1581,17615
160395,16015,0,0.0037951,0.0003406,0,6,6,0,1581,17615
160397,16015,0,0.0164453,0.001476,0,26,26,0,1581,17615
160398,14087,0,0.0009017,0.0002374,0,4,4,12411,4436,16847
160400,16015,0,0.0335231,0.0030088,0,53,53,0,1581,17615
160401,16015,0,0.0531309,0.0047687,0,84,84,0,1581,17615
160403,16015,0,0.0215054,0.0019302,0,34,34,0,1581,17615
160407,16015,0,0.0151803,0.0013625,0,24,24,0,1581,17615
160407,16089,0,0.033608,0.0113542,0,261,261,15220,7766,22987
160408,16089,0,0.0091424,0.0030887,0,71,71,15220,7766,22987
160409,16089,0,0.0028329,0.0009571,0,22,22,15220,7766,22987
160411,16089,0,0.0042493,0.0014356,0,33,33,15220,7766,22987
160412,16002,0,0.0020736,0.0002467,0,4,4,2232,1929,16214
160413,16002,0,0.0399171,0.004749,0,77,77,2232,1929,16214
160413,16089,0,0.0185424,0.0062644,0,144,144,15220,7766,22987
160414,16002,0,0.002592,0.0003084,0,5,5,2232,1929,16214
160419,16006,0,0.0012309,0.0002264,0,28,28,99011,22748,123649
160423,16006,0,0.0202216,0.0037202,0,460,460,99011,22748,123649
160424,16006,0,0.0134957,0.0024828,0,307,307,99011,22748,123649
160425,16006,0,0.0000879,0.0000162,0,2,2,99011,22748,123649
