ID,Lon,lat,cst,pob,UTMX,UTMY,UTMZ
146,142,"EI2014 for Jalisco State",,,,,
159252,-105.65944,18.8863,6,0,2115321.7742,770649.0616,13
159253,-105.63091,18.88699,6,0,2118321.7742,770649.0616,13
159254,-105.60239,18.88768,6,0,2121321.7742,770649.0616,13
159255,-105.57386,18.88836,6,0,2124321.7742,770649.0616,13
159256,-105.54533,18.88903,6,0,2127321.7742,770649.0616,13
159257,-105.5168,18.8897,6,0,2130321.7742,770649.0616,13
159258,-105.48828,18.89036,6,0,2133321.7742,770649.0616,13
159259,-105.45975,18.89102,6,0,2136321.7742,770649.0616,13
159260,-105.43122,18.89167,6,0,2139321.7742,770649.0616,13
159261,-105.40269,18.89232,6,0,2142321.7742,770649.0616,13
159262,-105.37416,18.89296,6,0,2145321.7742,770649.0616,13
159263,-105.34563,18.8936,6,0,2148321.7742,770649.0616,13
159264,-105.3171,18.89423,6,0,2151321.7742,770649.0616,13
159265,-105.28857,18.89486,6,0,2154321.7742,770649.0616,13
159266,-105.26004,18.89548,6,0,2157321.7742,770649.0616,13
159267,-105.23151,18.89609,6,0,2160321.7742,770649.0616,13
159268,-105.20298,18.8967,6,0,2163321.7742,770649.0616,13
159269,-105.17445,18.8973,6,0,2166321.7742,770649.0616,13
159270,-105.14592,18.8979,6,0,2169321.7742,770649.0616,13
159271,-105.11739,18.8985,6,0,2172321.7742,770649.0616,13
159272,-105.08885,18.89908,6,0,2175321.7742,770649.0616,13
159273,-105.06032,18.89967,6,0,2178321.7742,770649.0616,13
159274,-105.03179,18.90024,6,0,2181321.7742,770649.0616,13
159275,-105.00326,18.90081,6,0,2184321.7742,770649.0616,13
159276,-104.97472,18.90138,6,0,2187321.7742,770649.0616,13
159277,-104.94619,18.90194,6,0,2190321.7742,770649.0616,13
159278,-104.91766,18.9025,6,0,2193321.7742,770649.0616,13
159279,-104.88912,18.90305,6,0,2196321.7742,770649.0616,13
159280,-104.86059,18.90359,6,0,2199321.7742,770649.0616,13
159281,-104.83206,18.90413,6,0,2202321.7742,770649.0616,13
159282,-104.80352,18.90466,6,0,2205321.7742,770649.0616,13
159283,-104.77499,18.90519,6,0,2208321.7742,770649.0616,13
159284,-104.74645,18.90571,6,0,2211321.7742,770649.0616,13
159285,-104.71792,18.90623,6,0,2214321.7742,770649.0616,13
159286,-104.68938,18.90674,6,0,2217321.7742,770649.0616,13
159287,-104.66085,18.90725,6,0,2220321.7742,770649.0616,13
159288,-104.63231,18.90775,6,0,2223321.7742,770649.0616,13
159289,-104.60378,18.90825,6,0,2226321.7742,770649.0616,13
159290,-104.57524,18.90874,6,0,2229321.7742,770649.0616,13
159291,-104.54671,18.90922,6,0,2232321.7742,770649.0616,13
159292,-104.51817,18.9097,6,0,2235321.7742,770649.0616,13
159293,-104.48963,18.91018,6,0,2238321.7742,770649.0616,13
159294,-104.4611,18.91064,6,0,2241321.7742,770649.0616,13
159295,-104.43256,18.91111,6,0,2244321.7742,770649.0616,13
159296,-104.40402,18.91157,6,0,2247321.7742,770649.0616,13
159297,-104.37549,18.91202,6,0,2250321.7742,770649.0616,13
159298,-104.34695,18.91247,6,0,2253321.7742,770649.0616,13
159299,-104.31841,18.91291,6,0,2256321.7742,770649.0616,13
159300,-104.28987,18.91334,6,0,2259321.7742,770649.0616,13
159301,-104.26133,18.91377,6,0,2262321.7742,770649.0616,13
159302,-104.2328,18.9142,6,0,2265321.7742,770649.0616,13
159303,-104.20426,18.91462,6,0,2268321.7742,770649.0616,13
159304,-104.17572,18.91504,6,0,2271321.7742,770649.0616,13
159305,-104.14718,18.91544,6,0,2274321.7742,770649.0616,13
159306,-104.11864,18.91585,6,0,2277321.7742,770649.0616,13
159307,-104.0901,18.91625,6,0,2280321.7742,770649.0616,13
159308,-104.06156,18.91664,6,1003,2283321.7742,770649.0616,13
159309,-104.03302,18.91703,6,3,2286321.7742,770649.0616,13
159310,-104.00448,18.91741,6,26,2289321.7742,770649.0616,13
159311,-103.97595,18.91779,6,1205,2292321.7742,770649.0616,13
159312,-103.94741,18.91816,6,13,2295321.7742,770649.0616,13
159313,-103.91887,18.91853,6,36,2298321.7742,770649.0616,13
159314,-103.89033,18.91889,6,39926,2301321.7742,770649.0616,13
159315,-103.86179,18.91924,6,24518,2304321.7742,770649.0616,13
159316,-103.83324,18.91959,6,48,2307321.7742,770649.0616,13
159317,-103.8047,18.91994,6,15,2310321.7742,770649.0616,13
159318,-103.77616,18.92027,6,39,2313321.7742,770649.0616,13
159319,-103.74762,18.92061,6,0,2316321.7742,770649.0616,13
159320,-103.71908,18.92094,6,29,2319321.7742,770649.0616,13
159321,-103.69054,18.92126,6,10,2322321.7742,770649.0616,13
159322,-103.662,18.92158,6,129,2325321.7742,770649.0616,13
159323,-103.63346,18.92189,6,0,2328321.7742,770649.0616,13
159324,-103.60492,18.9222,6,0,2331321.7742,770649.0616,13
159325,-103.57637,18.9225,6,0,2334321.7742,770649.0616,13
159326,-103.54783,18.92279,6,0,2337321.7742,770649.0616,13
159327,-103.51929,18.92308,6,0,2340321.7742,770649.0616,13
159328,-103.49075,18.92337,6,0,2343321.7742,770649.0616,13
159329,-103.46221,18.92365,6,3,2346321.7742,770649.0616,13
159330,-103.43366,18.92392,6,0,2349321.7742,770649.0616,13
159331,-103.40512,18.92419,6,93,2352321.7742,770649.0616,13
159332,-103.37658,18.92445,6,6,2355321.7742,770649.0616,13
159333,-103.34804,18.92471,6,296,2358321.7742,770649.0616,13
159334,-103.31949,18.92497,6,0,2361321.7742,770649.0616,13
159335,-103.29095,18.92521,6,116,2364321.7742,770649.0616,13
159336,-103.26241,18.92545,6,40,2367321.7742,770649.0616,13
