GRIDCODE,CVENTMUN,Promedio de LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de LONG_CARR_x_CELDA x CARRILES
6283203,02002,1833005.673,337.063056
6283204,02002,1833005.673,2495.863052
6283237,02002,1833005.673,2001.561885
6283251,02002,1833005.673,2051.728633
6283263,02002,1833005.673,2088.236999
6283264,02002,1833005.673,372.7917528
6283270,26055,582896.7885,2007.618367
6283274,26055,582896.7885,2019.555785
6286381,02002,1833005.673,1553.313916
6286382,02002,1833005.673,1174.840028
6286415,02002,1833005.673,2001.561892
6286425,02002,1833005.673,683.9253211
6286429,02002,1833005.673,2004.535689
6286430,02002,1833005.673,165.8764203
6286435,02002,1833005.673,844.2641419
6286436,02002,1833005.673,2011.88726
6286437,02002,1833005.673,2011.887239
6286438,02002,1833005.673,2011.88726
6286439,02002,1833005.673,2011.280815
6286440,02002,1833005.673,3004.958974
6286441,02002,1833005.673,1330.211559
6286448,26055,582896.7885,2005.430911
6286452,26055,582896.7885,2016.575958
6289557,02002,1833005.673,787.3303629
6289558,02002,1833005.673,2319.163484
6289559,02002,1833005.673,826.3058858
6289593,02002,1833005.673,2001.665309
6289601,02002,1833005.673,438.5377077
6289602,02002,1833005.673,2466.979495
6289603,02002,1833005.673,1864.704493
6289604,02002,1833005.673,2322.386645
6289605,02002,1833005.673,2012.836426
6289606,02002,1833005.673,2012.620833
6289607,02002,1833005.673,2011.209126
6289608,02002,1833005.673,4024.294171
6289609,02002,1833005.673,2008.380259
6289610,02002,1833005.673,2011.703159
6289611,02002,1833005.673,2007.994255
6289612,02002,1833005.673,2007.994255
6289613,02002,1833005.673,3146.945996
6289617,02002,1833005.673,986.0709799
6289618,02002,1833005.673,2819.379782
6289626,26055,582896.7885,2005.432996
6289630,26055,582896.7885,336.0110837
6289631,26055,582896.7885,1678.037966
6292735,02002,1833005.673,2592.815737
6292771,02002,1833005.673,2001.911924
6292778,02002,1833005.673,1471.292875
6292779,02002,1833005.673,2007.26222
6292786,02002,1833005.673,2008.040361
6292791,02002,1833005.673,2006.233906
6292796,02002,1833005.673,158.4713435
6292797,02002,1833005.673,2196.037987
6292804,26055,582896.7885,2005.433011
6292809,26055,582896.7885,2027.283374
6295912,02002,1833005.673,208.0224813
6295913,02002,1833005.673,2051.066214
6295949,02002,1833005.673,2001.911924
6295954,02002,1833005.673,38.29264867
6295955,02002,1833005.673,2451.829096
