GRIDCODE,CVENTMUN,Fa
6283236,2002,0.000158609
6283237,2002,0.000500793
6283238,2002,0.000500793
6283239,2002,0.000500793
6283240,2002,0.000500793
6283241,2002,0.000441735
6283242,2002,0.000471228
6283243,2002,0.000491921
6283244,2002,0.000500793
6283245,2002,0.000500793
6283246,2002,0.000500793
6283247,2002,0.000500793
6283248,2002,0.000500793
6283249,2002,0.000500793
6283250,2002,0.000500793
6283251,2002,0.000307777
6283252,2002,0.000291714
6283253,2002,0.000473548
6283254,2002,0.000500793
6283255,2002,0.000500793
6283256,2002,0.00049718
6283257,2002,0.000414988
6283258,2002,0.000500793
6283259,2002,0.000405252
6283260,2002,0.000388406
6283261,2002,0.000153738
6283262,2002,1.12497E-06
6283263,2002,0.000373847
6283263,26055,0.000271971
6283264,2002,2.01916E-05
6283264,26055,0.00301713
6283265,26055,0.003400518
6283266,26055,0.003400518
6283267,26055,0.003400518
6283268,26055,0.003400518
6283269,26055,0.003400518
6283270,26055,0.003400518
6283271,26055,0.003400518
6283272,26055,0.003400518
6283273,26055,0.003400518
6283274,26055,0.003400518
6283275,26055,0.003400518
6283276,26055,0.000540677
6283279,26055,0.001071014
6283280,26055,0.001297587
6283281,26055,0.001757447
6283282,26055,0.00020622
6286376,2002,3.45539E-06
6286377,2002,7.24089E-06
6286414,2002,0.000331501
6286415,2002,0.000500793
6286416,2002,0.000500793
6286417,2002,0.000500793
6286418,2002,0.000478535
6286419,2002,0.000490798
6286420,2002,0.000440772
6286421,2002,0.000500793
6286422,2002,0.000500793
6286423,2002,0.000500793
6286424,2002,0.000500793
6286425,2002,0.000500793
6286426,2002,0.000500793
6286427,2002,0.000500793
6286428,2002,0.000500793
6286429,2002,0.000233023
6286430,2002,0.000160964
6286431,2002,0.000453072
6286432,2002,0.000500793
6286433,2002,0.000500793
6286434,2002,0.00049444
6286435,2002,0.000442359
6286436,2002,0.000417157
6286437,2002,0.000407421
6286438,2002,0.000492536
6286439,2002,0.000285995
6286440,2002,0.000148607
6286441,2002,0.000162893
6286441,26055,0.001207005
6286442,26055,0.003400518
6286443,26055,0.003400518
6286444,26055,0.003400518
6286445,26055,0.003400518
6286446,26055,0.003400518
6286447,26055,0.003400518
6286448,26055,0.003400518
6286449,26055,0.003400518
6286450,26055,0.003400518
6286451,26055,0.003400518
6286452,26055,0.00301505
6286453,26055,0.002547004
6286454,26055,0.002220474
6286456,26055,0.001286425
6286457,26055,0.001687381
6286458,26055,0.000316464
6286459,26055,0.003020399
6286460,26055,0.002292688
6289554,2002,0.000199429
6289555,2002,0.000416562
6289556,2002,9.40476E-05
6289592,2002,0.00023748
6289593,2002,0.000500793
6289594,2002,0.000491827
6289595,2002,0.000427388
6289596,2002,0.000438544
6289597,2002,0.000445362
6289598,2002,0.000443479
6289599,2002,0.000500793
6289600,2002,0.000500793
6289601,2002,0.000500793
6289602,2002,0.000500793
6289603,2002,0.000500793
6289604,2002,0.000500793
6289605,2002,0.000500793
6289606,2002,0.000500793
6289607,2002,0.00031672
6289608,2002,0.00019622
6289609,2002,0.000400977
6289610,2002,0.000440218
6289611,2002,0.000432418
6289612,2002,0.000457142
6289613,2002,0.000368599
6289614,2002,0.000297409
6289615,2002,0.000500793
6289616,2002,0.000500793
6289617,2002,0.000370513
6289618,2002,0.000349618
6289619,2002,6.19987E-05
6289619,26055,0.001636788
6289620,26055,0.003400518
6289621,26055,0.003400518
6289622,26055,0.003400518
6289623,26055,0.003400518
6289624,26055,0.003400518
6289625,26055,0.003400518
6289626,26055,0.003400518
6289627,26055,0.003400518
6289628,26055,0.003400518
6289629,26055,0.003400518
6289630,26055,0.003345717
6289631,26055,0.003121604
6289632,26055,0.001250644
6289634,26055,0.000694277
6289635,26055,0.000429363
6289637,26055,0.000919493
6289638,26055,0.001139604
6292732,2002,0.000458944
6292733,2002,0.000500793
6292734,2002,0.000397997
6292735,2002,2.29126E-06
6292770,2002,1.30702E-05
6292771,2002,0.000317113
6292772,2002,0.000500039
6292773,2002,0.000443521
6292774,2002,0.00045818
6292775,2002,0.000478624
6292776,2002,0.000500793
6292777,2002,0.000477093
6292778,2002,0.000389257
6292779,2002,0.000500793
6292780,2002,0.000500793
6292781,2002,0.000500793
6292782,2002,0.000500793
6292783,2002,0.000500793
6292784,2002,0.000500793
6292785,2002,0.000500793
6292786,2002,0.000500769
6292787,2002,0.000500793
6292788,2002,0.000500793
6292789,2002,0.000500793
6292790,2002,0.000500793
6292791,2002,0.000490793
6292792,2002,0.000500793
6292793,2002,0.000500793
6292794,2002,0.000500793
6292795,2002,0.000500793
6292796,2002,0.000500793
6292797,2002,0.000401509
6292797,26055,4.05333E-05
6292798,2002,2.04499E-05
6292798,26055,0.002326263
6292799,26055,0.003400518
6292800,26055,0.003400518
6292801,26055,0.003400518
6292802,26055,0.003400518
6292803,26055,0.003400518
6292804,26055,0.003400518
6292805,26055,0.003400518
6292806,26055,0.003400518
6292807,26055,0.003400518
6292808,26055,0.003400518
6292809,26055,0.003400518
6292810,26055,0.002119322
6292812,26055,0.000486366
6292813,26055,0.000367172
6295910,2002,0.000500793
6295911,2002,0.000500793
6295912,2002,0.000500793
6295913,2002,0.000137375
6295948,2002,4.11981E-07
6295949,2002,0.000244803
6295950,2002,0.000500793
6295951,2002,0.000479401
6295952,2002,0.000460103
6295953,2002,0.000280256
6295954,2002,0.000500793
6295955,2002,0.000306024
6295956,2002,0.000171668
6295957,2002,0.000500793
6295958,2002,0.000500793
6295959,2002,0.000500793
6295960,2002,0.000500793
6295961,2002,0.000500793
6295962,2002,0.000500793
6295963,2002,0.000500793
6295964,2002,0.000500793
6295965,2002,0.000500793
6295966,2002,0.000500793
6295967,2002,0.000500793
6295968,2002,0.000500793
6295969,2002,0.000500793
6295970,2002,0.000500793
6295971,2002,0.000500793
6295972,2002,0.000500793
6295973,2002,0.000500793
6295974,2002,0.000500793
6295975,2002,0.000360706
6295976,2002,4.01531E-06
6295976,26055,0.002003604
6295977,26055,0.003400518
6295978,26055,0.003400518
6295979,26055,0.003400518
6295980,26055,0.003400518
6295981,26055,0.003400518
6295982,26055,0.003400518
6295983,26055,0.003400518
6295984,26055,0.003400518
6295985,26055,0.003400518
6295986,26055,0.003400518
6295987,26055,0.003400518
6295988,26055,0.003194243
6299088,2002,0.000500793
6299089,2002,0.000499248
6299090,2002,0.000258696
6299091,2002,3.31555E-06
6299126,2002,0.0001213
6299127,2002,0.000334805
6299128,2002,0.000478558
6299129,2002,0.00045284
6299130,2002,0.000500793
6299131,2002,0.000500793
6299132,2002,0.000500793
6299133,2002,0.000500734
6299134,2002,0.000500793
6299135,2002,0.000500793
6299136,2002,0.000500793
6299137,2002,0.000500793
6299138,2002,0.000500793
6299139,2002,0.000500793
6299140,2002,0.000500793
6299141,2002,0.000500793
6299142,2002,0.000500793
6299143,2002,0.000500793
6299144,2002,0.000500793
6299145,2002,0.000500793
6299146,2002,0.000500793
6299147,2002,0.000495295
6299148,2002,0.000500793
6299149,2002,0.000500793
6299150,2002,0.000500793
6299151,2002,0.000500793
6299152,2002,0.000500793
6299153,2002,0.000425964
6299154,2002,0.000228005
6299154,26055,0.000499193
6299155,2002,9.71608E-06
6299155,26055,0.002912868
