GRIDCODE,CVENTMUN,Fb
6283198,2002,0.000768538
6283199,2002,0.000768538
6283200,2002,0.000768538
6283201,2002,0.000768538
6283202,2002,0.000768538
6283203,2002,0.000768538
6283204,2002,0.000768538
6283205,2002,0.000768538
6283206,2002,0.000768538
6283207,2002,0.000768538
6283208,2002,0.000768538
6283209,2002,0.000768538
6283210,2002,0.000753005
6283211,2002,0.000209394
6283218,2002,5.71881E-05
6283219,2002,0.000669534
6283220,2002,4.97E-04
6283221,2002,0.000768069
6283222,2002,0.000768538
6283223,2002,0.000768538
6283224,2002,0.000768538
6283225,2002,0.000768538
6283226,2002,0.000768538
6283227,2002,0.000768538
6283228,2002,0.000768538
6283229,2002,0.000768538
6283230,2002,0.000768538
6283231,2002,0.000768538
6283232,2002,0.000768538
6283233,2002,0.000768538
6283234,2002,0.000768538
6283235,2002,0.000768538
6283236,2002,5.25E-04
6283259,2002,9.24E-09
6283260,2002,0.000159004
6283261,2002,0.000532606
6283262,2002,0.000766812
6283263,2002,0.000131438
6283276,26055,0.005716585
6283277,26055,0.006797353
6283278,26055,0.006797353
6283279,26055,0.004656484
6283280,26055,0.004203584
6283281,26055,0.003284362
6283282,26055,0.006385137
6283283,26055,0.006797353
6283284,26055,0.006797353
6283285,26055,0.006797353
6283286,26055,0.006797353
6283287,26055,0.006797353
6286376,2002,0.000763236
6286377,2002,0.000757426
6286378,2002,0.000768538
6286379,2002,0.000768538
6286380,2002,0.000768538
6286381,2002,0.000768538
6286382,2002,0.000768538
6286383,2002,0.000768538
6286384,2002,0.000768538
6286385,2002,0.000768538
6286386,2002,0.000768538
6286387,2002,0.000768538
6286388,2002,0.000498152
6286396,2002,0.000273244
6286397,2002,0.000768538
6286398,2002,0.000768538
6286399,2002,0.000768538
6286400,2002,0.000768538
6286401,2002,0.000768538
6286402,2002,0.000768538
6286403,2002,0.000768538
6286404,2002,0.000768538
6286405,2002,0.000768538
6286406,2002,0.000768538
6286407,2002,0.000768538
6286408,2002,0.000768538
6286409,2002,0.000768538
6286410,2002,0.000768538
6286411,2002,0.000768538
6286412,2002,0.000768538
6286413,2002,0.000768538
6286414,2002,2.60E-04
6286440,2002,0.000316945
6286441,2002,0.00021618
6286441,26055,0.000261661
6286454,26055,0.002358809
6286455,26055,0.006797353
6286456,26055,0.004225897
6286457,26055,3.42E-03
6286458,26055,0.006164768
6286459,26055,7.60E-04
6286460,26055,0.00221446
6286461,26055,0.006797353
6286462,26055,0.006797353
6286463,26055,0.006797353
6286464,26055,0.006797353
6286465,26055,0.006797353
6289554,2002,4.62E-04
6289555,2002,1.29E-04
6289556,2002,0.000624209
6289557,2002,0.000768538
6289558,2002,0.000768538
6289559,2002,0.000768538
6289560,2002,0.000768538
6289561,2002,0.000768538
6289562,2002,0.000768538
6289563,2002,0.000768538
6289564,2002,0.000768538
6289565,2002,0.000768538
6289566,2002,0.000570735
6289573,2002,2.92768E-05
6289574,2002,0.000503268
6289575,2002,0.000768538
6289576,2002,0.000768538
6289577,2002,0.000768538
6289578,2002,0.000768538
6289579,2002,0.000768538
6289580,2002,0.000768538
6289581,2002,0.000768538
6289582,2002,0.000768538
6289583,2002,0.000768538
6289584,2002,0.000768538
6289585,2002,0.000768538
6289586,2002,0.000768538
6289587,2002,0.000768538
6289588,2002,0.000768538
