GRIDCODE,CVENTMUN,F_pav
6283237,2002,0.002092019
6283251,2002,0.002144453
6283263,2002,0.002182612
6283264,2002,0.000389639
6283270,26055,0.021342296
6283274,26055,0.021469199
6286415,2002,0.002092019
6286425,2002,0.000714834
6286429,2002,0.002095128
6286430,2002,1.73E-04
6286435,2002,0.000882419
6286436,2002,0.002102811
6286437,2002,0.002102811
6286438,2002,0.002102811
6286439,2002,0.002102177
6286440,2002,0.002219102
6286441,2002,0.001390328
6286448,26055,0.021319042
6286452,26055,0.021437521
6289593,2002,0.002092127
6289601,2002,0.000458357
6289602,2002,0.002578471
6289603,2002,0.001948977
6289604,2002,0.002427343
6289605,2002,0.002103803
6289606,2002,0.002103578
6289607,2002,0.002102103
6289608,2002,0.004206166
6289609,2002,0.002099146
6289610,2002,0.002102619
6289611,2002,0.002098742
6289612,2002,0.002098742
6289613,2002,0.003289167
6289626,26055,0.021319064
6289630,26055,0.003572018
6289631,26055,0.017838641
6292771,2002,0.002092385
6292778,2002,0.001537786
6292779,2002,0.002097977
6292786,2002,0.002098791
6292791,2002,0.002096902
6292804,26055,0.021319065
6292809,26055,0.021551348
6295949,2002,0.002092385
6295954,2002,4.00E-05
6295955,2002,0.002562636
6295956,2002,0.001017114
6295962,2002,0.002253991
6295963,2002,0.002099636
6295964,2002,0.001397352
6295969,2002,0.002101598
6295982,26055,0.007406429
6295983,26055,0.013912636
6295987,26055,0.021488438
6299127,2002,0.002092311
6299131,2002,0.001065687
6299132,2002,0.00252949
6299140,2002,0.00209652
6299147,2002,0.002106572
6299161,26055,0.021319065
6299165,26055,0.025528185
6302305,2002,0.002092215
6302308,2002,0.002094408
6302309,2002,0.001503012
6302318,2002,0.002104758
6302325,2002,0.001073499
6302326,2002,0.001468226
6302339,26055,0.021420002
6302343,26055,0.015337593
6302344,26055,0.006890881
6305483,2002,0.00239888
6305484,2002,0.002093976
6305485,2002,0.002304546
6305486,2002,0.000474118
6305496,2002,0.002101355
6305504,2002,0.00214912
6305505,2002,0.002433474
6305506,2002,0.000229668
6305517,26055,0.024370031
6305518,26055,0.004808736
6305522,26055,0.026942279
6308661,2002,0.00209107
6308674,2002,0.002098599
6308684,2002,0.002307778
6308685,2002,0.001041643
6308696,26055,0.026821475
6308697,26055,0.002033516
6308700,26055,0.006033772
6308701,26055,0.019030455
6311839,2002,0.002091039
6311852,2002,0.002128606
6311863,2002,0.002232588
6311875,26055,0.028204387
6311879,26055,0.014747536
6311880,26055,0.009017248
6315017,2002,0.002096922
6315030,2002,0.002105695
6315034,2002,0.001430775
6315041,2002,0.002114399
6315042,2002,8.40E-05
6315053,26055,0.001946756
6315054,26055,0.025996507
6318195,2002,0.002102264
6318208,2002,0.002100715
6318211,2002,0.002055253
6318212,2002,0.000789908
6318220,2002,0.002177774
6318232,26055,0.007551965
6318233,26055,0.019217147
6321373,2002,0.002094787
6321386,2002,0.002091377
6321388,2002,0.001534478
6321389,2002,0.001185759
6321398,2002,0.002180027
6321411,26055,0.015775477
6321412,26055,0.01099176
6324551,2002,0.002094787
6324564,2002,0.000817135
6324565,2002,0.002846697
6324566,2002,0.00194903
6324576,2002,0.002181066
6324588,26055,0.016710268
6324589,26055,0.021364648
6324590,26055,0.042765055
6324591,26055,0.002754633
6327729,2002,0.002094767
6327743,2002,0.001507655
6327744,2002,0.001014477
6327754,2002,0.000753332
6327755,2002,0.001427152
6327763,2002,3.20E-05
6327764,2002,0.001346455
6327764,26055,0.007669864
6327765,26055,0.021364648
6327766,26055,0.00465438
6327769,26055,0.026885542
6330907,2002,0.002094697
6330920,2002,0.001218923
6330921,2002,0.002813003
6330933,2002,0.002247115
6330947,26055,0.004871558
6330948,26055,0.022915602
6330949,26055,0.011917966
6330950,26055,0.026611434
6330951,26055,0.035661102
6334085,2002,0.002094697
6334098,2002,0.001617163
6334099,2002,0.000887317
6334111,2002,0.002095364
6334116,2002,0.000232458
6334126,26055,0.010106354
6334127,26055,0.014280801
6334129,26055,0.006623813
6334130,26055,0.019340547
6337263,2002,0.00209472
6337276,2002,0.00063862
6337277,2002,0.001957452
6337289,2002,0.002095364
6337291,2002,1.57E-04
6337292,2002,0.002729986
6337293,2002,0.002105565
6337294,2002,0.00251865
6337295,2002,0.000855143
6337308,26055,0.014388157
6337309,26055,0.011593381
6340440,2002,0.000460049
6340441,2002,0.001895577
6340454,2002,0.000315225
6340455,2002,0.00200494
6340467,2002,0.003817525
