GRIDCODE,CVENTMUN,Fur,Frur,Fpob,Suma de Pob_Urb_Cel,Suma de POB  RURAL en CELL,Promedio de POB_TOTxMUN rur,
6283204,02002,,5.06534E-05,5.06534E-05,,5,98710,
6283237,02002,,9.11762E-05,9.11762E-05,,9,98710,
6283238,02002,,0.000111438,0.000111438,,11,98710,
6283251,02002,0.000576472,0.00015196,0.000531743,483.1504348,15,98710,838116
6283252,02002,0.000938859,0.000131699,0.000853811,786.8726311,13,98710,838116
6283253,02002,0.000206168,,0.000206168,172.792322,,,838116
6283257,02002,,0.001864046,0.001864046,,184,98710,
6283259,02002,,0.000202614,0.000202614,,20,98710,
6283260,02002,,2.02614E-05,2.02614E-05,,2,98710,
6283265,26055,,0.000371609,0.000371609,,4,10764,
6283269,26055,,0.026198439,0.026198439,,282,10764,
6283270,26055,,0.005667038,0.005667038,,61,10764,
6283271,26055,,0.002415459,0.002415459,,26,10764,
6283272,26055,,0.000371609,0.000371609,,4,10764,
6283273,26055,,0.010312152,0.010312152,,111,10764,
6283274,26055,,0.001672241,0.001672241,,18,10764,
6283275,26055,,0.000371609,0.000371609,,4,10764,
6283278,26055,,9.29023E-05,9.29023E-05,,1,10764,
6283281,26055,,0.000464511,0.000464511,,5,10764,
6286415,02002,,6.07841E-05,6.07841E-05,,6,98710,
6286416,02002,,9.11762E-05,9.11762E-05,,9,98710,
6286417,02002,,6.07841E-05,6.07841E-05,,6,98710,
6286419,02002,,3.03921E-05,3.03921E-05,,3,98710,
6286425,02002,,0.000303921,0.000303921,,30,98710,
6286426,02002,,4.05227E-05,4.05227E-05,,4,98710,
6286427,02002,,0.000506534,0.000506534,,50,98710,
6286429,02002,0.001544658,,0.001544658,1294.602457,,,838116
6286430,02002,0.001929982,,0.001929982,1617.548698,,,838116
6286431,02002,1.45568E-05,1.01307E-05,1.40904E-05,12.20029807,1,98710,838116
6286432,02002,,1.01307E-05,1.01307E-05,,1,98710,
6286435,02002,,0.000131699,0.000131699,,13,98710,
6286436,02002,,1.01307E-05,1.01307E-05,,1,98710,
6286437,02002,,4.05227E-05,4.05227E-05,,4,98710,
6286439,02002,,0.007598014,0.007598014,,750,98710,
6286440,02002,,0.000374835,0.000374835,,37,98710,
6286441,02002,,4.05227E-05,4.05227E-05,,4,98710,
6286445,26055,,0.000278707,0.000278707,,3,10764,
6286449,26055,,0.001021925,0.001021925,,11,10764,
6286451,26055,,0.000464511,0.000464511,,5,10764,
6286452,26055,,0.07172055,0.07172055,,772,10764,
6289593,02002,,5.06534E-05,5.06534E-05,,5,98710,
6289594,02002,,0.000121568,0.000121568,,12,98710,
6289602,02002,,0.00058758,0.00058758,,58,98710,
6289604,02002,,0.000162091,0.000162091,,16,98710,
6289605,02002,,8.10455E-05,8.10455E-05,,8,98710,
6289606,02002,,0.000111438,0.000111438,,11,98710,
6289607,02002,0.001189449,6.07841E-05,0.001070525,996.8961185,6,98710,838116
6289608,02002,0.000854066,0.000749671,0.000843066,715.8064342,74,98710,838116
6289609,02002,2.16325E-05,0.0093101,0.001000325,18.13057362,919,98710,838116
6289610,02002,,1.01307E-05,1.01307E-05,,1,98710,
6289612,02002,,0.002552933,0.002552933,,252,98710,
6289613,02002,,0.000395097,0.000395097,,39,98710,
6289614,02002,,0.011559113,0.011559113,,1141,98710,
6289618,02002,,0.000182352,0.000182352,,18,98710,
6289622,26055,,0.000557414,0.000557414,,6,10764,
6289623,26055,,0.000464511,0.000464511,,5,10764,
6289624,26055,,0.001114827,0.001114827,,12,10764,
6289625,26055,,0.001207729,0.001207729,,13,10764,
6289626,26055,,0.003623188,0.003623188,,39,10764,
6289629,26055,,0.001300632,0.001300632,,14,10764,
6289630,26055,,0.001207729,0.001207729,,13,10764,
6289631,26055,,0.000743218,0.000743218,,8,10764,
6289632,26055,,0.001021925,0.001021925,,11,10764,
6292771,02002,,0.000273529,0.000273529,,27,98710,
6292779,02002,,7.09148E-05,7.09148E-05,,7,98710,
6292783,02002,,0.000101307,0.000101307,,10,98710,
6292785,02002,,9.11762E-05,9.11762E-05,,9,98710,
6292791,02002,,0.000425489,0.000425489,,42,98710,
6292792,02002,,0.000131699,0.000131699,,13,98710,
6292796,02002,,0.000405227,0.000405227,,40,98710,
6292797,02002,,4.05227E-05,4.05227E-05,,4,98710,
6292804,26055,,0.002601263,0.002601263,,28,10764,
6292806,26055,,0.037997027,0.037997027,,409,10764,
6292807,26055,,0.001300632,0.001300632,,14,10764,
6292808,26055,,9.29023E-05,9.29023E-05,,1,10764,
6292809,26055,,0.00204385,0.00204385,,22,10764,
6295949,02002,,0.000486273,0.000486273,,48,98710,
6295953,02002,,0.00295816,0.00295816,,292,98710,
6295956,02002,,0.016138183,0.016138183,,1593,98710,
6295962,02002,,0.000506534,0.000506534,,50,98710,
6295966,02002,,5.06534E-05,5.06534E-05,,5,98710,
6295969,02002,,0.000334313,0.000334313,,33,98710,
6295972,02002,,0.000324182,0.000324182,,32,98710,
6295977,26055,,0.000371609,0.000371609,,4,10764,
6295978,26055,,0.000371609,0.000371609,,4,10764,
6295981,26055,,0.000185805,0.000185805,,2,10764,
6295984,26055,,0.000371609,0.000371609,,4,10764,
6295987,26055,,0.000743218,0.000743218,,8,10764,
6295988,26055,,0.001300632,0.001300632,,14,10764,
6295990,26055,,0.030100334,0.030100334,,324,10764,
6299126,02002,,0.00177287,0.00177287,,175,98710,
6299127,02002,,0.000526796,0.000526796,,52,98710,
6299130,02002,,7.09148E-05,7.09148E-05,,7,98710,
6299134,02002,,3.03921E-05,3.03921E-05,,3,98710,
6299138,02002,,0.000162091,0.000162091,,16,98710,
6299140,02002,,0.00059771,0.00059771,,59,98710,
6299142,02002,,4.05227E-05,4.05227E-05,,4,98710,
6299147,02002,1.11194E-05,3.03921E-05,1.31501E-05,9.31932998,3,98710,838116
6299148,02002,8.22095E-05,,8.22095E-05,68.90107633,,,838116
6299149,02002,4.51448E-06,0.000547057,6.16802E-05,3.783659407,54,98710,838116
6299151,02002,,8.10455E-05,8.10455E-05,,8,98710,
6299153,02002,,0.000638233,0.000638233,,63,98710,
6299156,26055,,0.00083612,0.00083612,,9,10764,
6299157,26055,,0.001672241,0.001672241,,18,10764,
6299158,26055,,0.000185805,0.000185805,,2,10764,
6299160,26055,,0.000371609,0.000371609,,4,10764,
6299162,26055,,0.000278707,0.000278707,,3,10764,
6299165,26055,,0.000464511,0.000464511,,5,10764,
6302305,02002,,0.000607841,0.000607841,,60,98710,
6302306,02002,,0.000131699,0.000131699,,13,98710,
6302308,02002,,3.03921E-05,3.03921E-05,,3,98710,
6302309,02002,,0.000111438,0.000111438,,11,98710,
6302313,02002,,1.01307E-05,1.01307E-05,,1,98710,
6302318,02002,,0.000192483,0.000192483,,19,98710,
6302320,02002,,0.00014183,0.00014183,,14,98710,
6302322,02002,,1.01307E-05,1.01307E-05,,1,98710,
6302324,02002,1.86505E-05,3.03921E-05,1.98876E-05,15.6312487,3,98710,838116
6302325,02002,0.000371672,,0.000371672,311.5041942,,,838116
6302326,02002,0.002203777,,0.002203777,1847.020484,,,838116
6302327,02002,0.00311933,,0.00311933,2614.360798,,,838116
6302328,02002,,1.01307E-05,1.01307E-05,,1,98710,
6302332,02002,,0.000334313,0.000334313,,33,98710,
6302334,26055,,0.000557414,0.000557414,,6,10764,
6302335,26055,,0.000185805,0.000185805,,2,10764,
6302337,26055,,0.000371609,0.000371609,,4,10764,
6302339,26055,,0.001672241,0.001672241,,18,10764,
6302340,26055,,9.29023E-05,9.29023E-05,,1,10764,
6305482,02002,,9.11762E-05,9.11762E-05,,9,98710,
6305483,02002,,0.000233006,0.000233006,,23,98710,
6305485,02002,,0.000121568,0.000121568,,12,98710,
6305491,02002,,4.05227E-05,4.05227E-05,,4,98710,
