GRIDCODE,CVENTMUN,F_ter
6283203,2002,0.001920604
6283204,2002,0.014221568
6286381,2002,0.00885087
6286382,2002,0.006694304
6286440,2002,0.005024599
6289557,2002,0.004486253
6289558,2002,0.013214724
6289559,2002,0.004708337
6289617,2002,0.005618688
6289618,2002,0.016064984
6292735,2002,0.01477401
6292796,2002,9.03E-04
6292797,2002,0.012513148
6295912,2002,0.001185324
6295913,2002,0.01168709
6295975,2002,0.011969635
6299089,2002,0.00261289
6299090,2002,0.014248316
6299153,2002,0.008517822
6299154,2002,0.004213351
6302266,2002,0.003991437
6302267,2002,0.012858424
6302332,2002,0.010644298
6302333,2002,0.009821937
6305444,2002,0.011706749
6305502,2002,2.77E-05
6305503,2002,0.012883852
6305504,2002,0.005389536
6305511,2002,0.003931664
6305512,2002,0.013884552
6305513,2002,0.002158752
6308680,2002,0.015360727
6308691,2002,0.012322307
6308692,2002,0.005447657
6311857,2002,0.013834207
6311858,2002,0.001597095
6311870,2002,0.010690895
6311871,2002,0.005262149
6315034,2002,0.004344501
6315035,2002,0.00326598
6315049,2002,0.011331936
6315050,2002,0.004295821
6318228,2002,0.012020597
6318229,2002,0.003798741
6321407,2002,0.014217505
6321408,2002,3.73E-04
6324585,2002,2.48E-04
6324586,2002,0.011190941
6327763,2002,0.011483108
6330941,2002,0.011512912
6334118,2002,0.010090517
6334119,2002,0.010709307
6337295,2002,0.00321045
6337296,2002,0.009087847
6340473,2002,0.00620382
6362716,2002,0.006377016
6362717,2002,0.005559545
6365879,2002,9.31E-05
6365880,2002,0.007612606
6365888,2002,0.007874101
6365889,2002,0.011528667
6365890,2002,0.011531586
6365891,2002,0.011535201
6365892,2002,0.011545817
6365893,2002,0.011582871
6365894,2002,0.005184574
6365895,2002,0.006287789
6365896,2002,0.011820155
6365897,2002,0.011759997
6365898,2002,0.011419218
6365899,2002,0.011596252
6365900,2002,0.011652564
6365901,2002,0.011544098
6365902,2002,0.011654081
6365903,2002,0.012820411
6369058,2002,0.009662602
6369059,2002,0.010386225
6369060,2002,0.003835032
6369061,2002,0.011620679
6369062,2002,0.011543793
6369063,2002,0.011541395
6369064,2002,0.011551359
6369065,2002,0.011616775
6369066,2002,0.003676138
6369081,2002,0.00117134
6369082,2002,0.015266824
6369083,2002,0.01145199
6369084,2002,0.004380634
6372234,2002,0.009929358
6372237,2002,0.002130427
6372238,2002,0.007716388
6372262,2002,0.007068088
6372263,2002,0.011429634
6372264,2002,0.011428305
6372265,2002,0.011430374
6372266,2002,0.011441219
6372267,2002,0.011698244
6372268,2002,0.010009051
6375412,2002,3.86E-04
6375413,2002,0.013809114
6375414,2002,0.003561724
6375446,2002,0.00385352
6442098,2002,0.013479551
6442099,2002,0.004282074
6445277,2002,0.007957331
6445278,2002,0.012083652
6445279,2002,0.011936971
6445280,2002,0.004284209
6448458,2002,0.007629341
6448459,2002,0.012081716
6448460,2002,0.011477242
6448461,2002,0.01140707
6448462,2002,0.011577832
6448463,2002,0.011590504
6448464,2002,0.011737211
6448465,2002,0.001271491
