GRIDCODE,CVENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
882,07087,75871.41176,138.879351
1941,07087,75871.41176,849.769414
1942,07087,75871.41176,3001.969335
1943,07087,75871.41176,1237.06935
1943,07087,75871.41176,4931.564127
1943,07087,75871.41176,288.4790403
3002,07087,75871.41176,2499.999072
3002,07087,75871.41176,3804.42833
3002,07087,75871.41176,1299.512905
3003,07087,75871.41176,164.5352435
4057,07087,75871.41176,5099.979514
4058,07087,75871.41176,749.4939613
4061,07087,75871.41176,126.418651
4062,07087,75871.41176,6183.762804
5114,07089,477718.3552,3250.449687
5115,07089,477718.3552,22.72970193
5117,07087,75871.41176,6383.800182
5117,07087,75871.41176,78.53858365
5121,07087,75871.41176,6277.081084
6171,07089,477718.3552,58.68431901
6172,07089,477718.3552,815.8150056
6173,07089,477718.3552,642.0908674
6176,07087,75871.41176,5337.706662
6176,07089,477718.3552,3002.046499
6176,07087,75871.41176,877.0032881
6176,07087,75871.41176,2112.439091
6180,07087,75871.41176,3679.046211
6181,07087,75871.41176,2184.144566
6181,07087,75871.41176,2256.345769
7229,07089,477718.3552,1109.197131
7230,07089,477718.3552,7607.659284
7230,07089,477718.3552,3323.657606
7230,07089,477718.3552,4626.688532
7234,07089,477718.3552,7256.08744
7235,07089,477718.3552,1052.048894
7235,07087,75871.41176,2607.507346
7236,07087,75871.41176,1921.769536
7236,07035,30190.10663,1567.422837
7236,07087,75871.41176,1773.914756
7239,07087,75871.41176,3403.351778
7240,07087,75871.41176,3055.910013
8287,07089,477718.3552,2139.528845
8287,07054,121557.373,1913.61809
8288,07089,477718.3552,6174.568193
8289,07089,477718.3552,4451.153548
8290,07089,477718.3552,10179.01641
8292,07089,477718.3552,6888.033108
8293,07089,477718.3552,1418.864456
8295,07035,30190.10663,6467.032883
8298,07035,30190.10663,3090.73905
8298,07087,75871.41176,3546.991798
9345,07054,121557.373,5221.098923
9346,07054,121557.373,3950.277373
9349,07089,477718.3552,11004.69608
9350,07089,477718.3552,5488.831725
9350,07089,477718.3552,1029.669255
9350,07089,477718.3552,3560.557317
9351,07089,477718.3552,1787.461078
9351,07089,477718.3552,5906.328164
9352,07089,477718.3552,1104.759883
9354,07035,30190.10663,651.1373995
9354,07102,126617.2125,4036.834771
9354,07035,30190.10663,2444.95366
9357,07035,30190.10663,6333.305372
10404,07054,121557.373,9268.597176
10409,07089,477718.3552,407.5511869
10409,07089,477718.3552,715.9404389
10409,07089,477718.3552,13977.20318
10410,07089,477718.3552,5657.514284
10410,07089,477718.3552,908.5853684
10411,07089,477718.3552,1234.255237
10413,07102,126617.2125,6694.047569
10413,07102,126617.2125,310.5663467
10415,07035,30190.10663,5506.934897
10416,07035,30190.10663,1928.612698
11461,07054,121557.373,7219.862984
11462,07054,121557.373,1786.642734
11463,07054,121557.373,1668.98299
11464,07054,121557.373,4629.497795
11464,07054,121557.373,1138.153989
11465,07054,121557.373,4905.737442
11465,07054,121557.373,600.5093344
11466,07054,121557.373,2283.170313
11468,07089,477718.3552,3702.354541
11468,07089,477718.3552,3196.395057
11468,07089,477718.3552,4027.421815
11468,07089,477718.3552,790.3305293
11469,07089,477718.3552,1689.254418
11469,07089,477718.3552,1021.802653
11469,07089,477718.3552,7348.783505
11469,07089,477718.3552,1916.408425
11469,07089,477718.3552,561.6995881
11469,07089,477718.3552,2581.443765
11469,07089,477718.3552,151.6495963
11469,07089,477718.3552,921.1729399
11469,07089,477718.3552,192.9819823
11472,07102,126617.2125,6799.377607
11472,07055,12404.87414,117.6303542
11474,07055,12404.87414,3902.863115
11474,07035,30190.10663,2199.967828
12519,07054,121557.373,6896.663951
12520,07054,121557.373,2472.23345
12521,07054,121557.373,135.1701111
12521,07054,121557.373,3764.996932
12522,07054,121557.373,3826.141237
12523,07054,121557.373,28.8538134
12523,07054,121557.373,1713.767593
12524,07054,121557.373,1593.89968
12524,07054,121557.373,182.9969121
12524,07054,121557.373,374.905847
12524,07054,121557.373,1970.45575
12524,07054,121557.373,524.6341292
12525,07089,477718.3552,38.73110058
12525,07054,121557.373,4584.454299
12526,07089,477718.3552,7876.433205
12527,07089,477718.3552,541.1349846
12527,07089,477718.3552,4075.419252
12528,07089,477718.3552,5644.665276
12528,07089,477718.3552,8178.360039
12529,07089,477718.3552,10763.66936
12531,07102,126617.2125,777.279561
12531,07055,12404.87414,369.3367262
12532,07102,126617.2125,7028.563465
12533,07055,12404.87414,2768.70929
12533,07102,126617.2125,857.3546467
12533,07055,12404.87414,2553.724851
12533,07102,126617.2125,999.755643
12533,07055,12404.87414,2692.609945
13577,07054,121557.373,7565.567257
13578,07054,121557.373,1111.662603
13580,07054,121557.373,1233.393944
13581,07054,121557.373,1234.582875
13581,07054,121557.373,2748.014467
13582,07054,121557.373,5791.984853
13582,07054,121557.373,3991.727249
13582,07054,121557.373,1443.903128
13583,07054,121557.373,1391.311695
13587,07089,477718.3552,1422.842792
13587,07089,477718.3552,222.5444979
13588,07089,477718.3552,3537.355977
13588,07089,477718.3552,9779.841553
13588,07089,477718.3552,2789.747229
13588,07089,477718.3552,374.7846037
13589,07089,477718.3552,3890.459376
13591,07102,126617.2125,8035.644303
13592,07102,126617.2125,6040.735833
13592,07102,126617.2125,6143.514953
14635,07054,121557.373,3022.475286
14636,07054,121557.373,740.0446114
14641,07054,121557.373,5466.785514
14641,07054,121557.373,503.1248577
14642,07054,121557.373,1240.628503
14642,07054,121557.373,5069.399564
14642,07054,121557.373,1275.85274
14643,07089,477718.3552,2935.383468
14643,07054,121557.373,3382.028831
14644,07089,477718.3552,2835.29886
14644,07089,477718.3552,470.4403151
14645,07089,477718.3552,5726.862249
14646,07089,477718.3552,12468.91983
14647,07089,477718.3552,12284.85399
14647,07089,477718.3552,1982.910893
14648,07089,477718.3552,2379.353249
14648,07089,477718.3552,2288.089027
14648,07089,477718.3552,8613.840721
14648,07089,477718.3552,4888.017282
14648,07089,477718.3552,1571.534416
14648,07089,477718.3552,3817.288244
14648,07089,477718.3552,1551.291841
14648,07089,477718.3552,910.7138449
14649,07102,126617.2125,3805.760711
14649,07089,477718.3552,4089.694138
14649,07102,126617.2125,634.0085892
14649,07102,126617.2125,2371.408604
14650,07102,126617.2125,5976.1972
14650,07102,126617.2125,2146.322116
14651,07102,126617.2125,3620.102561
14651,07102,126617.2125,2394.000484
14651,07102,126617.2125,2532.132275
14651,07102,126617.2125,2013.009528
14651,07102,126617.2125,3360.866289
14652,07102,126617.2125,10039.82626
