GRIDCODE,CVENTMUN,POB URBANA en CELL,POBTOT en MUN,Furb
3002,07087,891,19106,0.046634565
3002,07087,1517,19106,0.079399142
3002,07087,206,19106,0.010781953
3003,07087,1511,19106,0.079085104
3003,07087,375,19106,0.019627342
6171,07089,23,233185,9.86341E-05
6171,07089,360,233185,0.001543839
6172,07089,211,233185,0.000904861
6172,07089,54,233185,0.000231576
6180,07087,8,19106,0.000418717
6180,07087,0,19106,0
6180,07087,353,19106,0.018475871
6180,07087,34,19106,0.001779546
6180,07087,647,19106,0.033863708
6180,07087,112,19106,0.005862033
6181,07087,1136,19106,0.059457762
6181,07087,669,19106,0.035015178
6181,07087,2022,19106,0.105830629
6181,07087,1228,19106,0.064273003
6181,07087,2,19106,0.000104679
6181,07087,1712,19106,0.08960536
6181,07087,67,19106,0.003506752
6181,07087,3511,19106,0.183764263
6181,07087,64,19106,0.003349733
6181,07087,0,19106,0
6181,07087,701,19106,0.036690045
6181,07087,994,19106,0.052025542
7229,07089,524,233185,0.002247143
7230,07089,2755,233185,0.011814654
7230,07089,628,233185,0.002693141
7230,07089,2155,233185,0.009241589
7230,07089,1588,233185,0.006810044
7230,07089,664,233185,0.002847524
7231,07089,92,233185,0.000394537
7231,07089,148,233185,0.000634689
7240,07087,50,19106,0.002616979
7240,07087,275,19106,0.014393384
7240,07087,60,19106,0.003140375
7240,07087,619,19106,0.0323982
7240,07087,342,19106,0.017900136
8288,07089,355,233185,0.001522396
9357,07035,27,3519,0.007672634
10415,07035,217,3519,0.061665246
10415,07035,916,3519,0.260301222
10416,07035,1306,3519,0.371128161
10416,07035,1052,3519,0.298948565
12523,07054,272,11098,0.024508921
12523,07054,654,11098,0.058929537
12523,07054,1088,11098,0.098035682
12524,07054,2514,11098,0.226527302
12524,07054,559,11098,0.050369436
12524,07054,28,11098,0.002522977
12524,07054,1269,11098,0.114344927
12528,07089,7,233185,3.00191E-05
12533,07055,923,2610,0.353639847
12533,07055,1549,2610,0.59348659
12533,07055,138,2610,0.052873563
13581,07054,30,11098,0.00270319
13581,07054,1455,11098,0.131104704
13581,07054,188,11098,0.016939989
13581,07054,1860,11098,0.167597765
13582,07054,607,11098,0.05469454
13582,07054,120,11098,0.010812759
13582,07054,210,11098,0.018922328
13583,07054,76,11098,0.006848081
13583,07054,168,11098,0.015137863
13587,07089,1513,233185,0.00648841
13587,07089,1032,233185,0.004425671
13587,07089,950,233185,0.004074018
13588,07089,3054,233185,0.013096897
13588,07089,3211,233185,0.013770182
13588,07089,3249,233185,0.013933143
13588,07089,497,233185,0.002131355
13588,07089,1108,233185,0.004751592
13588,07089,216,233185,0.000926303
13588,07089,1616,233185,0.00693012
13588,07089,554,233185,0.002375796
13588,07089,891,233185,0.003821
13588,07089,556,233185,0.002384373
13588,07089,2875,233185,0.012329266
13588,07089,1619,233185,0.006942985
13588,07089,343,233185,0.001470935
13588,07089,1713,233185,0.007346099
13588,07089,134,233185,0.000574651
13588,07089,375,233185,0.001608165
13588,07089,433,233185,0.001856895
13588,07089,251,233185,0.001076399
13588,07089,34,233185,0.000145807
13588,07089,62,233185,0.000265883
13588,07089,660,233185,0.002830371
13588,07089,383,233185,0.001642473
13588,07089,0,233185,0
13588,07089,9,233185,3.8596E-05
13588,07089,493,233185,0.002114201
13588,07089,1035,233185,0.004438536
13589,07089,181,233185,0.000776208
13589,07089,1279,233185,0.005484915
13589,07089,2744,233185,0.011767481
13589,07089,1046,233185,0.004485709
13589,07089,15,233185,6.43266E-05
13589,07089,172,233185,0.000737612
13589,07089,220,233185,0.000943457
13589,07089,1773,233185,0.007603405
13589,07089,1128,233185,0.004837361
13589,07089,15,233185,6.43266E-05
13589,07089,313,233185,0.001342282
13589,07089,73,233185,0.000313056
13589,07089,1047,233185,0.004489997
13589,07089,1064,233185,0.004562901
13589,07089,2267,233185,0.009721895
13589,07089,93,233185,0.000398825
13589,07089,176,233185,0.000754766
13589,07089,5,233185,2.14422E-05
13589,07089,3227,233185,0.013838798
13589,07089,47,233185,0.000201557
13589,07089,28,233185,0.000120076
13589,07089,129,233185,0.000553209
13589,07089,2400,233185,0.010292257
13589,07089,668,233185,0.002864678
13589,07089,78,233185,0.000334498
13589,07089,246,233185,0.001054956
13589,07089,1956,233185,0.00838819
13589,07089,492,233185,0.002109913
13589,07089,1305,233185,0.005596415
13589,07089,3879,233185,0.016634861
13590,07089,750,233185,0.00321633
13590,07089,1742,233185,0.007470463
13590,07089,266,233185,0.001140725
13590,07089,432,233185,0.001852606
13590,07089,120,233185,0.000514613
13590,07089,2753,233185,0.011806077
13590,07089,434,233185,0.001861183
13590,07089,221,233185,0.000947745
13590,07089,1454,233185,0.006235392
13590,07089,1650,233185,0.007075927
14644,07089,575,233185,0.002465853
14644,07089,29,233185,0.000124365
14644,07089,48,233185,0.000205845
14644,07089,1461,233185,0.006265412
14644,07089,78,233185,0.000334498
14644,07089,4,233185,1.71538E-05
14646,07089,1,233185,4.28844E-06
14646,07089,23,233185,9.86341E-05
14646,07089,33,233185,0.000141519
14646,07089,71,233185,0.000304479
14647,07089,616,233185,0.002641679
14647,07089,765,233185,0.003280657
14647,07089,860,233185,0.003688059
14647,07089,191,233185,0.000819092
14647,07089,36,233185,0.000154384
14647,07089,44,233185,0.000188691
14647,07089,3413,233185,0.014636447
14647,07089,22,233185,9.43457E-05
14647,07089,730,233185,0.003130562
14647,07089,4999,233185,0.021437914
14647,07089,461,233185,0.001976971
14647,07089,338,233185,0.001449493
14647,07089,4754,233185,0.020387246
14647,07089,213,233185,0.000913438
14647,07089,19,233185,8.14804E-05
14647,07089,153,233185,0.000656131
14647,07089,38,233185,0.000162961
14647,07089,137,233185,0.000587516
14647,07089,118,233185,0.000506036
14648,07089,1740,233185,0.007461886
14648,07089,853,233185,0.00365804
14648,07089,1556,233185,0.006672813
14648,07089,1745,233185,0.007483329
14648,07089,592,233185,0.002538757
14648,07089,1972,233185,0.008456805
14648,07089,2315,233185,0.00992774
14648,07089,2883,233185,0.012363574
14648,07089,70,233185,0.000300191
14648,07089,346,233185,0.0014838
14648,07089,366,233185,0.001569569
14648,07089,1565,233185,0.006711409
14648,07089,3777,233185,0.01619744
14648,07089,2729,233185,0.011703154
14648,07089,1426,233185,0.006115316
14648,07089,455,233185,0.00195124
