GRIDCODE,CVENTMUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
882,07087,477436.7049,2841.995961
883,07087,477436.7049,589.3216396
884,07087,477436.7049,2917.635051
1941,07087,477436.7049,34949.8516
1942,07087,477436.7049,1168.0155
1943,07087,477436.7049,6642.419376
2998,07087,477436.7049,2646.383794
3000,07087,477436.7049,1511.198199
3001,07087,477436.7049,16924.90514
3002,07087,477436.7049,24777.29906
3003,07087,477436.7049,17406.98689
4057,07087,477436.7049,18844.80129
4057,07089,2605735.551,3858.556285
4058,07087,477436.7049,292.0775773
4059,07087,477436.7049,19823.56808
4062,07087,477436.7049,15155.92982
5113,07089,2605735.551,1729.697825
5114,07089,2605735.551,15546.20855
5115,07089,2605735.551,7069.252307
5118,07087,477436.7049,11388.27356
5119,07087,477436.7049,7990.456619
5121,07087,477436.7049,3331.91199
6171,07089,2605735.551,2567.148774
6172,07089,2605735.551,25186.5758
6174,07089,2605735.551,10477.6208
6175,07089,2605735.551,1663.926357
6176,07087,477436.7049,3449.645653
6177,07087,477436.7049,31164.86565
6178,07087,477436.7049,10247.62435
6179,07087,477436.7049,21176.82716
6180,07087,477436.7049,44268.52
6181,07087,477436.7049,100216.4748
7229,07089,2605735.551,8340.408449
7230,07089,2605735.551,94187.69526
7231,07089,2605735.551,13893.69579
7232,07089,2605735.551,1234.724263
7233,07089,2605735.551,20617.67467
7234,07089,2605735.551,12210.48205
7236,07035,374739.0171,2512.701044
7236,07087,477436.7049,7956.207986
7237,07035,374739.0171,6609.022679
7237,07087,477436.7049,5363.321385
7238,07035,374739.0171,15566.39417
7238,07087,477436.7049,17848.8258
7239,07035,374739.0171,1827.387713
7239,07087,477436.7049,23653.11231
7240,07087,477436.7049,22888.24845
8288,07089,2605735.551,2130.623033
8289,07089,2605735.551,22219.12632
8290,07089,2605735.551,9563.130408
8292,07089,2605735.551,13564.058
8293,07089,2605735.551,8774.223096
8294,07089,2605735.551,5844.628819
8295,07035,374739.0171,11563.96393
8296,07035,374739.0171,43440.3751
8297,07035,374739.0171,69914.36292
8298,07035,374739.0171,41907.60643
9345,07054,380582.1696,5592.405507
9347,07054,380582.1696,7501.993511
9347,07089,2605735.551,194.093481
9348,07089,2605735.551,22374.02654
9349,07089,2605735.551,37246.19813
9350,07089,2605735.551,17760.89814
9351,07089,2605735.551,2951.123865
9352,07089,2605735.551,26151.97503
9353,07089,2605735.551,3884.77992
9354,07035,374739.0171,485.8633632
9355,07035,374739.0171,11341.68557
9356,07035,374739.0171,43258.64858
9357,07035,374739.0171,29953.62616
10404,07054,380582.1696,13237.65432
10405,07054,380582.1696,7430.596597
10406,07054,380582.1696,865.5389541
10406,07089,2605735.551,2462.784883
10407,07054,380582.1696,5090.976081
10407,07089,2605735.551,2296.30059
10408,07089,2605735.551,24532.24636
10409,07089,2605735.551,10375.15442
10410,07089,2605735.551,17439.07688
10411,07089,2605735.551,23842.41048
10412,07089,2605735.551,10432.4054
10413,07102,632666.0926,13657.53971
10414,07035,374739.0171,11656.17523
10415,07035,374739.0171,49325.29633
10416,07035,374739.0171,25682.08777
11461,07054,380582.1696,16154.24901
11463,07054,380582.1696,5548.13967
11464,07054,380582.1696,11987.228
11465,07054,380582.1696,7531.951346
11466,07054,380582.1696,4677.562479
11467,07089,2605735.551,2539.426226
11468,07089,2605735.551,5150.781878
11469,07089,2605735.551,11334.94737
11470,07089,2605735.551,26477.03554
11471,07089,2605735.551,4718.806624
11472,07089,2605735.551,119.4149282
11472,07102,632666.0926,18093.38708
11473,07055,79864.87784,15033.88405
11473,07102,632666.0926,10153.35245
11474,07035,374739.0171,9693.818349
11474,07055,79864.87784,15831.13283
12521,07054,380582.1696,5381.308552
12522,07054,380582.1696,21193.25339
12523,07054,380582.1696,39090.00587
12524,07054,380582.1696,59219.29864
12525,07054,380582.1696,20790.5622
12526,07089,2605735.551,6232.184939
12527,07089,2605735.551,7124.965669
12528,07089,2605735.551,20214.97135
12529,07089,2605735.551,9248.469537
12530,07089,2605735.551,13623.19065
12531,07089,2605735.551,3633.412373
12531,07102,632666.0926,8221.903836
12532,07055,79864.87784,5045.345884
12532,07102,632666.0926,9715.082814
12533,07055,79864.87784,38627.95666
12533,07102,632666.0926,926.785014
13581,07054,380582.1696,41887.21723
13582,07054,380582.1696,17502.71051
13583,07054,380582.1696,6322.575415
13584,07054,380582.1696,12843.28174
13585,07054,380582.1696,6461.241493
13586,07089,2605735.551,10786.17014
13587,07089,2605735.551,22854.42719
13588,07089,2605735.551,165487.5425
13589,07089,2605735.551,226872.4657
13590,07089,2605735.551,65065.74436
13590,07102,632666.0926,19936.22541
13591,07102,632666.0926,26451.40084
