GRIDCODE,CVENTMUN,Fa
267387,01001,1
713880,02002,1
715943,02004,1
367721,03003,1
323255,03008,0.5
330676,03008,0.5
445000,03009,1
211671,04002,1
161856,04003,1
565010,05002,0.5
565010,05002,0.5
471803,05010,1
416753,05027,1
417729,05035,1
170969,06002,1
173092,06005,1
168822,06007,1
64425,07019,1
85558,07061,1
84528,07078,1
10409,07089,1
84505,07101,1
541550,08019,1
656969,08037,1
180662,09017,1
362623,10005,1
416667,10012,1
247288,11020,1
239882,11037,1
75799,12001,1
65258,12023,1
107577,12029,1
107508,12038,1
205029,13048,1
221816,14039,1
277920,14061,1
229162,14067,1
221816,14097,1
230283,14120,1
176409,15106,1
195420,16003,1
123366,16052,1
177382,16102,1
195420,16053,1
156299,17007,1
156299,17018,1
154183,17028,1
292736,18009,1
256710,18017,1
259917,18019,1
426311,19006,1
429484,19025,1
87556,20067,1
43066,20318,1
87556,20385,1
40978,20413,1
170097,21074,1
170097,21114,1
145774,21156,1
226160,22005,1
226160,22011,1
226154,22014,1
250975,23001,1
279572,23003,1
159877,23004,0.5
167273,23004,0.5
271096,23005,1
288021,23007,1
288615,24028,1
272810,24034,1
281274,24040,1
428130,25001,1
390059,25006,1
326557,25012,1
416514,25015,1
495885,26018,1
520207,26029,1
564684,26030,1
648352,26043,1
139553,27002,1
134288,27004,1
117395,27017,1
346926,28013,1
428515,28022,1
491986,28027,1
436963,28032,1
292955,28038,1
425328,28040,1
184930,29003,1
134226,30048,1
134226,30108,1
119363,30130,1
227313,30175,1
172292,30193,1
257234,31050,1
271051,31096,0.5
278465,31096,0.5
313971,32032,1
290667,32055,1
308678,32056,1
