GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
883,7087,,0.001504702,0.000684619,,24,24
884,7087,,0.007147335,0.00325194,,114,114
1941,7087,,0.08369906,0.038081926,,1335,1335
1942,7087,,0.000438871,0.000199681,,7,7
1943,7087,,0.066269592,0.030151757,,1057,1057
2998,7087,,0.010783699,0.004906435,,172,172
2999,7087,,0.004451411,0.002025331,,71,71
3001,7087,,0.055360502,0.02518827,,883,883
3002,7087,0.13681566,0.015673981,0.081697855,2614,250,2864
3003,7087,0.098712446,0.005203762,0.056167275,1886,83,1969
4057,7087,,0.072351097,0.032918759,,1154,1154
4057,7089,,0.005213944,0.001419874,,455,455
4058,7087,,0.001504702,0.000684619,,24,24
4059,7087,,0.090721003,0.041276814,,1447,1447
4060,7087,,0.015109718,0.006874715,,241,241
4061,7087,,0.006144201,0.002795527,,98,98
4062,7087,,0.09862069,0.044871063,,1573,1573
5114,7089,,0.00278459,0.000758306,,243,243
5115,7089,,0.00482433,0.001313773,,421,421
5116,7089,,0.001776179,0.000483693,,155,155
5117,7087,,0.009028213,0.004107713,,144,144
5117,7089,,0.000859441,0.000234045,,75,75
5118,7087,,0.028526646,0.012979233,,455,455
5119,7087,,0.040564263,0.018456184,,647,647
5120,7087,,0.004952978,0.002253537,,79,79
5121,7087,,0.056489028,0.025701734,,901,901
6171,7089,0.001642473,,0.001195191,383,,383
6172,7089,0.001136437,0.00527124,0.002262436,265,460,725
6175,7089,,0.001363647,0.000371352,,119,119
6176,7087,,0.006269592,0.002852579,,100,100
6176,7089,,0.000206266,5.62E-05,,18,18
6177,7087,,0.059811912,0.027213601,,954,954
6178,7087,,0.003134796,0.001426289,,50,50
6179,7087,,0.056677116,0.025787312,,904,904
6180,7087,0.060399874,0.115548589,0.085491785,1154,1843,2997
6181,7087,0.633622946,0.000376176,0.345504336,12106,6,12112
7229,7089,0.002247143,,0.001635195,524,,524
7230,7089,0.033406952,0.02091307,0.030004587,7790,1825,9615
7231,7089,0.001029226,3.44E-05,0.000758306,240,3,243
7232,7089,,0.000160429,4.37E-05,,14,14
7233,7089,,0.013968785,0.003804014,,1219,1219
7234,7089,,0.005901497,0.00160711,,515,515
7235,7087,,0.000501567,0.000228206,,8,8
7235,7089,,0.00131781,0.000358869,,115,115
7236,7087,,0.027398119,0.012465769,,437,437
7237,7035,,0.052481959,0.037899724,,480,480
7238,7087,,0.028714734,0.013064811,,458,458
7239,7087,,0.023761755,0.010811273,,379,379
7240,7087,0.070449074,,0.03839571,1346,,1346
8287,7054,,0.000710824,0.000413954,,11,11
8288,7089,0.001522396,4.58E-05,0.001120296,355,4,359
8289,7089,,0.001741801,0.000474331,,152,152
8291,7089,,0.000217725,5.93E-05,,19,19
8292,7089,,0.001180299,0.000321422,,103,103
8293,7089,,0.007448491,0.002028391,,650,650
8294,7089,,0.000423991,0.000115462,,37,37
8295,7089,,0.000160429,4.37E-05,,14,14
8296,7035,,0.086813908,0.06269246,,794,794
8297,7035,,0.062103652,0.044848006,,568,568
8298,7035,,0.269407391,0.194551915,,2464,2464
8298,7087,,0.003260188,0.001483341,,52,52
9345,7054,,0.016025848,0.009332781,,248,248
9347,7054,,0.013117932,0.007639333,,203,203
9347,7089,,0.002028281,0.000552347,,177,177
9348,7054,,0.000129241,7.53E-05,,2,2
9348,7089,,0.010313295,0.002808542,,900,900
9349,7089,,0.004079481,0.001110934,,356,356
9350,7089,,0.00979763,0.002668115,,855,855
9351,7089,,0.003139825,0.000855045,,274,274
9352,7089,,0.000160429,4.37E-05,,14,14
9353,7089,,0.000481287,0.000131065,,42,42
9354,7035,,0.031598513,0.022818792,,289,289
9354,7089,,0.000217725,5.93E-05,,19,19
9356,7035,,0.267986005,0.193525464,,2451,2451
