GRIDCODE	CVENTMUN	Ft
882	07087	0.005896135
1941	07087	0.036077033
1942	07087	0.127448866
1943	07087	0.209369978
1943	07087	0.012247402
4057	07087	0.216520068
4058	07087	0.03181983
5114	07089	0.019116206
5115	07089	0.000133676
5117	07087	0.003334362
6171	07089	0.000345128
6172	07089	0.004797886
6173	07089	0.003776198
6176	07087	0.089683783
7229	07089	0.006523295
7230	07089	0.019546749
7230	07089	0.027209998
7235	07087	0.110701948
7236	07087	0.081588891
7236	07035	0.140821729
7236	07087	0.075311703
8287	07089	0.012582774
8287	07054	0.019853065
8288	07089	0.036313227
8295	07035	0.581016639
9345	07054	0.054166928
9346	07054	0.040982635
9351	07089	0.034735681
9352	07089	0.006497199
9354	07035	0.058500037
9354	07102	0.053549001
9354	07035	0.219661595
10404	07054	0.096158193
10410	07089	0.033272383
10410	07089	0.005343478
10411	07089	0.007258773
10413	07102	0.088797184
10413	07102	0.004119692
11461	07054	0.07490335
11462	07054	0.018535743
11463	07054	0.017315068
11464	07054	0.04802929
11464	07054	0.011807918
11465	07054	0.050895172
11465	07054	0.006230057
11466	07054	0.023687029
11468	07089	0.018798305
11468	07089	0.023685653
11468	07089	0.004648009
11469	07089	0.003303409
11469	07089	0.015181718
11469	07089	0.000891866
11469	07089	0.005417506
11469	07089	0.001134946
11472	07102	0.090194397
11472	07055	0.036995598
12519	07054	0.071550282
12520	07054	0.025648488
12521	07054	0.001402339
12521	07054	0.03906042
12522	07054	0.039694769
12523	07054	0.017779691
12524	07054	0.001898524
12524	07054	0.003889506
12524	07054	0.020442734
12524	07054	0.005442881
12525	07089	0.000227781
12525	07054	0.047561981
12526	07089	0.046322058
12527	07089	0.003182467
12527	07089	0.023967931
12528	07089	0.048097718
12531	07102	0.010310688
12531	07055	0.116159075
12532	07102	0.09323457
12533	07102	0.013261855
12533	07055	0.846845327
13577	07054	0.078489901
13578	07054	0.011533079
13580	07054	0.012795996
13581	07054	0.028509612
13587	07089	0.001308805
13591	07102	0.106593594
13592	07102	0.081494316
14635	07054	0.031357039
14636	07054	0.007677683
14641	07054	0.056715834
14641	07054	0.00521973
14642	07054	0.01323649
