GRIDCODE,CVENTMUN,Fp
530693,02001,0.33
688417,02001,0.34
689474,02001,0.33
650347,02002,1
709586,02005,1
399434,03001,0.5
415320,03001,0.5
493693,03002,0.25
501099,03002,0.25
510555,03002,0.25
525397,03002,0.25
370900,03003,0.33
376195,03003,0.34
380419,03003,0.33
321138,03008,0.5
327499,03008,0.5
437588,03009,0.5
445000,03009,0.5
210608,04002,0.33
212729,04002,0.34
222209,04002,0.33
161854,04003,0.33
161855,04003,0.34
168220,04003,0.33
192603,04004,1
162478,06007,0.5
164594,06007,0.5
7230,07089,0.5
7230,07089,0.5
51655,07097,1
78971,12001,1
94815,12057,1
170935,14022,1
225985,14067,0.5
230222,14067,0.5
120191,16052,1
247166,18004,1
261990,18012,0.5
267242,18012,0.5
230219,18020,1
57959,20079,1
43067,20318,1
35675,20324,1
92947,20407,1
39924,20413,1
244620,23001,1
278511,23003,0.5
279572,23003,0.5
159878,23004,0.25
167274,23004,0.25
167274,23004,0.25
177884,23004,0.25
263684,23005,0.34
276391,23005,0.33
276392,23005,0.33
288021,23007,1
248847,23008,1
254146,23008,0.5
221307,23009,0.5
263683,23011,1
424954,25001,1
301159,25009,0.5
315984,25009,0.5
329730,25012,0.5
330787,25012,0.5
384749,25018,1
518090,26029,0.5
520204,26029,0.5
468361,26033,1
600638,26047,1
657802,26048,1
674717,26055,1
143781,27002,1
156532,27003,1
127931,27004,1
150162,27014,1
299309,28003,1
291899,28009,1
407338,28022,1
350144,28037,1
289779,28038,1
158540,30011,1
231558,30033,1
135292,30039,0.5
137408,30039,0.5
253788,30151,1
223093,30158,1
152190,30178,1
241083,30189,1
213570,30211,1
251913,31011,1
277380,31028,1
264633,31038,1
268876,31059,0.5
270999,31059,0.5
287994,31061,0.5
289059,31061,0.5
286933,31065,1
274190,31083,1
286952,31096,1
