GRIDCODE,CVENTMUN,Promedio de LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de LONG_CARR_x_CELDA x CARRILES
3681909,19049,208043.8668,1880.699574
3681910,19004,80000.85424,5498.489255
3681910,19049,208043.8668,23.9620893
3681916,19004,80000.85424,516.2082289
3681917,19004,80000.85424,2399.813693
3681918,19004,80000.85424,2005.040896
3685028,05004,381838.4949,2050.860716
3685076,19049,208043.8668,797.0493615
3685077,19049,208043.8668,3284.266015
3685078,19049,208043.8668,2054.044007
3685086,19049,208043.8668,708.1092965
3685087,19049,208043.8668,4126.245426
3685094,19004,80000.85424,2168.372164
3685096,19004,80000.85424,2150.385526
3688206,05004,381838.4949,2502.227409
3688207,05004,381838.4949,646.6697744
3688236,19049,208043.8668,825.8517007
3688237,19049,208043.8668,1089.178684
3688238,19049,208043.8668,1076.630188
3688239,19049,208043.8668,1008.798951
3688240,19049,208043.8668,1113.888302
3688241,19049,208043.8668,2196.112485
3688242,19049,208043.8668,1430.353116
3688254,19049,208043.8668,3128.49313
3688256,19049,208043.8668,615.0714679
3688257,19049,208043.8668,1473.670595
3688264,19049,208043.8668,5028.215853
3688274,19004,80000.85424,2021.724638
3691385,05004,381838.4949,1921.021592
3691386,05004,381838.4949,1164.524279
3691402,05004,381838.4949,523.8391617
3691403,05004,381838.4949,1116.918814
3691404,05004,381838.4949,1050.536125
3691405,05004,381838.4949,57.74010782
3691405,19049,208043.8668,954.0567429
3691406,19049,208043.8668,1104.339749
3691407,19049,208043.8668,565.151137
3691408,19049,208043.8668,894.8197306
3691409,19049,208043.8668,1034.18506
3691410,19049,208043.8668,1118.950678
3691411,19049,208043.8668,1012.249793
3691412,19049,208043.8668,1014.363732
3691413,19049,208043.8668,1008.271035
3691414,19049,208043.8668,288.2803246
3691420,19049,208043.8668,2084.371077
3691431,19049,208043.8668,1132.0763
3691432,19049,208043.8668,1570.075588
3691435,19049,208043.8668,2193.97445
3691441,19049,208043.8668,5097.136922
3691442,19049,208043.8668,662.0042428
3691452,19004,80000.85424,356.6456593
3691452,19009,368849.6112,1668.791591
3694564,05004,381838.4949,1608.527185
3694565,05004,381838.4949,1745.950544
3694577,05004,381838.4949,267.7069333
3694578,05004,381838.4949,1037.340105
3694579,05004,381838.4949,1062.816948
3694580,05004,381838.4949,646.6842563
3694585,19049,208043.8668,537.3332033
3694586,19049,208043.8668,144.8896873
3694598,19049,208043.8668,2120.913253
3694606,19049,208043.8668,657.2651202
3694607,19049,208043.8668,2072.80712
3694608,19049,208043.8668,2231.599125
3694609,19049,208043.8668,1668.823494
3694613,19049,208043.8668,1975.371123
3694614,19049,208043.8668,796.0673838
3694618,19049,208043.8668,3190.610713
3694619,19049,208043.8668,1467.105086
3694630,19009,368849.6112,2004.635683
3697742,05004,381838.4949,2446.981818
3697743,05004,381838.4949,3773.588371
3697744,05004,381838.4949,167.1170449
3697752,05004,381838.4949,465.2042689
3697753,05004,381838.4949,1009.931682
3697754,05004,381838.4949,1100.794939
3697755,05004,381838.4949,817.3162317
3697776,19049,208043.8668,2669.885096
3697783,19049,208043.8668,2306.960067
3697784,19049,208043.8668,1541.06418
3697792,19049,208043.8668,2180.562446
3697796,19049,208043.8668,4627.136618
3697808,19009,368849.6112,2003.299439
3700922,05004,381838.4949,1884.979445
3700923,05004,381838.4949,2035.578497
3700924,05004,381838.4949,2017.933277
3700925,05004,381838.4949,2112.213254
3700926,05004,381838.4949,1605.365756
3700927,05004,381838.4949,717.7898541
3700928,05004,381838.4949,634.2466836
3700929,05004,381838.4949,1193.919139
3700930,05004,381838.4949,586.3567411
3700954,19049,208043.8668,456.1318789
3700955,19049,208043.8668,2121.354609
3700956,19049,208043.8668,28.50881745
3700957,19049,208043.8668,2056.183944
3700958,19049,208043.8668,2011.796392
3700959,19049,208043.8668,2079.435176
3700960,19049,208043.8668,2176.841621
3700961,19049,208043.8668,654.5868459
3700970,19049,208043.8668,1540.024605
3700971,19049,208043.8668,1080.714719
3700973,19049,208043.8668,4780.519121
3700974,19049,208043.8668,94.30237707
3700986,19009,368849.6112,2001.644915
3704105,05004,381838.4949,409.8993866
3704106,05004,381838.4949,521.5527786
3704133,19049,208043.8668,886.358571
3704134,19049,208043.8668,1998.259921
3704149,19049,208043.8668,1401.743376
3704150,19049,208043.8668,5430.897139
3704151,19049,208043.8668,2008.774914
3704164,19009,368849.6112,2005.968356
3704172,19038,268632.0068,197.719051
3704173,19038,268632.0068,2628.883098
3707327,19049,208043.8668,3763.715846
3707328,19049,208043.8668,885.0548227
3707342,19009,368849.6112,2016.334421
3707349,19038,268632.0068,746.8030123
3707350,19038,268632.0068,2400.897157
3710504,19049,208043.8668,302.5628477
3710505,19049,208043.8668,4336.567121
3710520,19009,368849.6112,2025.643352
3710526,19009,368849.6112,549.5039959
3710526,19038,268632.0068,578.3239726
3710527,19038,268632.0068,1879.320935
3713682,19049,208043.8668,5486.663655
3713683,19049,208043.8668,780.0714746
3713684,19049,208043.8668,1470.473643
3713698,19009,368849.6112,2030.37826
3713704,19009,368849.6112,2056.589008
3716859,19049,208043.8668,166.6423334
3716860,19049,208043.8668,3956.815659
3716861,19049,208043.8668,2330.300573
3716862,19049,208043.8668,916.1535943
3716863,19049,208043.8668,2530.693609
3716864,19049,208043.8668,1203.011495
3716876,19009,368849.6112,2035.029827
3716882,19009,368849.6112,2006.522308
3720037,19049,208043.8668,4838.17975
