GRIDCODE,CVENTMUN,Promedio de LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),Suma de LONG VIALIDAD x SENTIDO x CELDA
3681850,05004,793510.7655,1536.05901
3681862,05004,793510.7655,2044.250752
3681914,19004,671477.7225,1494.942381
3681915,19004,671477.7225,1831.618411
3681916,19004,671477.7225,13455.41035
3681918,19004,671477.7225,427.3171034
3681919,19004,671477.7225,672.0271435
3681920,19004,671477.7225,4940.077737
3681921,19004,671477.7225,18.81161332
3681922,19004,671477.7225,1420.90838
3681923,19004,671477.7225,649.1095379
3685028,05004,793510.7655,10160.80091
3685029,05004,793510.7655,308.8837792
3685065,19049,1067317.126,1361.414737
3685066,19049,1067317.126,1689.902936
3685067,19049,1067317.126,6145.233907
3685078,19049,1067317.126,1571.375051
3685079,19049,1067317.126,455.2812687
3685086,19049,1067317.126,181.0051587
3685087,19049,1067317.126,232.551395
3685092,19004,671477.7225,12394.88162
3685093,19004,671477.7225,1901.071456
3685094,19004,671477.7225,862.3996212
3685096,19004,671477.7225,1529.32828
3685097,19004,671477.7225,1764.685574
3685098,19004,671477.7225,508.6011795
3685101,19038,1265704.987,3099.314178
3685102,19038,1265704.987,14753.2604
3688206,05004,793510.7655,42.90244678
3688207,05004,793510.7655,4179.09874
3688242,19049,1067317.126,1881.456128
3688243,19049,1067317.126,3868.236172
3688245,19049,1067317.126,207.1945281
3688256,19049,1067317.126,7127.152703
3688257,19049,1067317.126,4099.226616
3688262,19049,1067317.126,1746.11158
3688263,19049,1067317.126,6712.220617
3688264,19049,1067317.126,9659.241494
3688265,19049,1067317.126,4398.709959
3688270,19004,671477.7225,3881.625416
3688272,19009,1742727.524,6048.068884
3688273,19004,671477.7225,1705.067885
3688274,19004,671477.7225,10063.89795
3688275,19004,671477.7225,7319.889243
3688276,19004,671477.7225,1867.105254
3688279,19004,671477.7225,1305.357219
3688280,19038,1265704.987,3283.652478
3691388,05004,793510.7655,223.4925234
3691389,05004,793510.7655,8479.099921
3691390,05004,793510.7655,232.377699
3691420,19049,1067317.126,483.2378005
3691434,19049,1067317.126,2827.017513
3691435,19049,1067317.126,4244.830926
3691438,19049,1067317.126,404.0148151
3691439,19049,1067317.126,593.7484351
3691440,19049,1067317.126,17648.72371
3691441,19049,1067317.126,21633.36963
3691442,19049,1067317.126,3599.69647
3691452,19004,671477.7225,951.3239453
3691452,19009,1742727.524,15175.61765
3691453,19004,671477.7225,2706.567436
3691453,19009,1742727.524,4378.223642
3691457,19004,671477.7225,3949.228649
3691457,19038,1265704.987,9439.464681
3691458,19038,1265704.987,16993.45568
3691459,19038,1265704.987,2245.689339
3694566,05004,793510.7655,506.6970392
3694567,05004,793510.7655,921.3855858
3694613,19049,1067317.126,7860.451784
3694614,19049,1067317.126,6114.258012
3694616,19049,1067317.126,3142.192241
3694617,19049,1067317.126,9126.837771
3694618,19049,1067317.126,25938.11854
3694619,19049,1067317.126,8108.273305
3694630,19009,1742727.524,371.4621285
3694633,19009,1742727.524,295.2558883
3694634,19009,1742727.524,5825.048343
3694635,19038,1265704.987,2936.487363
3694636,19038,1265704.987,5749.717347
3697782,19049,1067317.126,44.37038395
3697783,19049,1067317.126,6897.098947
3697784,19049,1067317.126,747.9241208
3697791,19049,1067317.126,10026.36243
3697792,19049,1067317.126,12578.41673
3697793,19049,1067317.126,3242.515798
3697794,19049,1067317.126,7693.550745
3697795,19049,1067317.126,21724.32347
3697796,19049,1067317.126,19414.62302
3697797,19049,1067317.126,28.98339271
3697812,19009,1742727.524,2732.93655
3697813,19009,1742727.524,2227.103909
3697813,19038,1265704.987,823.0899681
3697814,19038,1265704.987,4026.647689
3700923,05004,793510.7655,5240.769607
3700926,05004,793510.7655,16150.85728
3700960,19049,1067317.126,333.9661956
3700961,19049,1067317.126,573.9373893
3700969,19049,1067317.126,5614.870495
3700970,19049,1067317.126,11112.14715
3700971,19049,1067317.126,16898.14104
3700972,19049,1067317.126,20104.16229
3700973,19049,1067317.126,21242.94883
3700974,19049,1067317.126,8508.428478
3700984,19009,1742727.524,771.9634668
3700987,19009,1742727.524,4786.460624
3700988,19009,1742727.524,500.2868951
3700989,19009,1742727.524,7337.288708
3700990,19009,1742727.524,8076.042599
3700991,19009,1742727.524,266.2128732
3700992,19009,1742727.524,1248.845646
3704101,05004,793510.7655,1143.100384
3704146,19049,1067317.126,531.4590115
3704147,19049,1067317.126,578.4820888
3704148,19049,1067317.126,3919.684599
3704149,19049,1067317.126,19298.44078
3704150,19049,1067317.126,27879.66756
3704151,19049,1067317.126,6329.62422
3704161,19009,1742727.524,104.9716656
3704162,19009,1742727.524,19808.36416
3704163,19009,1742727.524,8601.1146
3704164,19009,1742727.524,3184.344981
3704165,19009,1742727.524,3493.466791
3704166,19009,1742727.524,5642.001653
3704167,19009,1742727.524,1690.984957
3704169,19009,1742727.524,3334.694111
3704170,19009,1742727.524,1179.176919
3707277,05004,793510.7655,2342.63045
3707322,19049,1067317.126,386.0388137
3707323,19049,1067317.126,8814.501144
3707324,19049,1067317.126,14444.47252
3707325,19049,1067317.126,15930.78841
3707326,19049,1067317.126,10842.18231
3707327,19049,1067317.126,21123.35136
3707328,19049,1067317.126,13551.66416
3707329,19049,1067317.126,1910.112256
3707336,19009,1742727.524,161.9761633
3707341,19009,1742727.524,88.7356431
3707342,19009,1742727.524,4631.186116
3707343,19009,1742727.524,5226.942397
3707344,19009,1742727.524,1353.774588
3707345,19009,1742727.524,4090.116592
3707346,19009,1742727.524,2021.615911
3707347,19009,1742727.524,142.3588921
3710455,05004,793510.7655,10026.46003
3710456,05004,793510.7655,1858.600623
3710501,19049,1067317.126,1427.036419
3710502,19049,1067317.126,9388.940198
3710503,19049,1067317.126,14624.02734
3710504,19049,1067317.126,3699.794152
3710505,19049,1067317.126,6853.530525
3710506,19049,1067317.126,3538.549093
3710507,19049,1067317.126,387.2523935
3710514,19009,1742727.524,2153.529902
3710515,19009,1742727.524,7180.681685
3710518,19009,1742727.524,2261.450679
3710519,19009,1742727.524,895.9366846
3710520,19009,1742727.524,1289.661732
3710521,19009,1742727.524,5506.527554
3710523,19009,1742727.524,5080.634518
3710524,19009,1742727.524,2000.279225
3713638,05004,793510.7655,2455.313368
3713639,05004,793510.7655,6664.424189
3713679,19049,1067317.126,2061.84113
3713680,19049,1067317.126,4156.202092
3713681,19049,1067317.126,17637.23022
3713682,19049,1067317.126,22612.54944
3713683,19049,1067317.126,1214.028092
3713684,19049,1067317.126,4849.591383
3713694,19009,1742727.524,175.6621134
3713696,19009,1742727.524,451.6844268
3713697,19009,1742727.524,598.1744246
3713698,19009,1742727.524,6151.504313
3713699,19009,1742727.524,811.0176287
3713701,19009,1742727.524,6529.393635
3716857,19049,1067317.126,1575.872127
3716858,19049,1067317.126,8143.316326
3716859,19049,1067317.126,15237.88718
3716860,19049,1067317.126,8946.420448
3716861,19049,1067317.126,5275.459291
3716872,19009,1742727.524,3048.835028
3716873,19009,1742727.524,5289.843468
3716874,19009,1742727.524,45.24267261
3716877,19009,1742727.524,6856.564698
3720034,19049,1067317.126,1943.59366
3720035,19049,1067317.126,6284.118563
3720036,19049,1067317.126,10351.33306
3720037,19049,1067317.126,15849.23399
3720038,19049,1067317.126,8464.637089
3720039,19049,1067317.126,1613.836168
3720042,19049,1067317.126,793.7759667
3720043,19049,1067317.126,1612.010477
3720051,19009,1742727.524,918.4139995
3720052,19009,1742727.524,319.1771336
3720053,19009,1742727.524,56.84987178
3720054,19009,1742727.524,105.9548093
3720059,19009,1742727.524,139.824296
3723168,05004,793510.7655,2913.435789
3723170,05004,793510.7655,978.0393673
3723171,05004,793510.7655,23.50549017
3723212,19049,1067317.126,5735.260358
3723213,19049,1067317.126,6775.001278
3723214,19049,1067317.126,13096.62814
3723215,19049,1067317.126,11961.179
3723216,19049,1067317.126,5330.479227
3723221,19049,1067317.126,3600.32034
3723222,19049,1067317.126,8350.283123
3723223,19049,1067317.126,1353.864064
3723226,19009,1742727.524,1495.48332
3723227,19009,1742727.524,294.0403928
3723228,19009,1742727.524,563.9094832
3723229,19009,1742727.524,3187.473416
3723231,19009,1742727.524,4444.154865
3723232,19009,1742727.524,8129.122253
3723237,19009,1742727.524,12888.16735
3726346,05004,793510.7655,1104.040549
3726348,05004,793510.7655,7919.498152
3726388,19049,1067317.126,1669.85714
3726389,19049,1067317.126,1505.726801
3726390,19049,1067317.126,12750.23215
3726391,19049,1067317.126,6092.306024
3726392,19049,1067317.126,11869.64459
3726393,19049,1067317.126,10879.0276
3726394,19049,1067317.126,5015.919484
3726399,19049,1067317.126,5420.772268
3726400,19049,1067317.126,2918.920386
3726403,19009,1742727.524,1416.471594
3726404,19009,1742727.524,1927.19458
3726405,19009,1742727.524,1014.55
3726406,19009,1742727.524,6772.774255
3726407,19009,1742727.524,9036.666094
3726408,19009,1742727.524,4668.818555
3726409,19009,1742727.524,3882.424887
3726410,19009,1742727.524,5035.218728
3726411,19009,1742727.524,3016.598544
3726412,19009,1742727.524,10438.11835
3726416,19009,1742727.524,523.0296507
3729566,19049,1067317.126,1669.139155
3729567,19049,1067317.126,17630.13021
3729568,19049,1067317.126,15010.52014
3729569,19049,1067317.126,9269.647012
3729570,19049,1067317.126,9223.671887
3729571,19049,1067317.126,10584.12762
3729572,19049,1067317.126,345.4830312
3729575,19049,1067317.126,713.0077026
3729579,19049,1067317.126,9296.904722
3729580,19009,1742727.524,4502.774747
3729580,19049,1067317.126,919.0508492
3729581,19009,1742727.524,6499.188956
3729585,19009,1742727.524,1784.491204
3729586,19009,1742727.524,1484.077743
3729587,19009,1742727.524,3218.461438
3729588,19009,1742727.524,944.950643
3729589,19009,1742727.524,788.6743801
3729590,19009,1742727.524,5052.815139
3729591,19009,1742727.524,7178.714939
3729592,19009,1742727.524,7867.436628
3729594,19009,1742727.524,10713.9565
3732745,19049,1067317.126,10806.30765
3732746,19049,1067317.126,10884.07084
3732747,19049,1067317.126,15028.96139
3732748,19049,1067317.126,13972.48494
3732749,19049,1067317.126,1284.71469
3732753,19049,1067317.126,11890.87156
3732754,19049,1067317.126,3456.223642
3732757,19049,1067317.126,659.4640537
3732758,19009,1742727.524,5895.141063
3732759,19009,1742727.524,1044.873631
3732762,19009,1742727.524,16651.14472
3732763,19009,1742727.524,7969.930264
3732764,19009,1742727.524,3079.662048
3732765,19009,1742727.524,14.13705233
3732769,19009,1742727.524,1830.162231
3732770,19009,1742727.524,141.2242295
3735922,19049,1067317.126,1134.889303
3735923,19049,1067317.126,8871.383216
3735924,19049,1067317.126,12440.94147
3735925,19049,1067317.126,11673.31683
3735926,19049,1067317.126,14538.46169
3735927,19049,1067317.126,163.8191108
3735931,19049,1067317.126,2009.486827
3735932,19049,1067317.126,5017.566742
3735936,19009,1742727.524,197.4236233
3735939,19009,1742727.524,938.2163271
3735940,19009,1742727.524,11945.19908
3735941,19009,1742727.524,1954.003545
3735943,19009,1742727.524,1293.243757
3735944,19009,1742727.524,4168.762878
3735947,19009,1742727.524,2466.264492
3735948,19009,1742727.524,9723.38014
3735949,19009,1742727.524,7780.17616
3735950,19009,1742727.524,13477.11399
3735951,19009,1742727.524,5113.035245
3739098,19039,6495657.542,1239.363569
3739099,19039,6495657.542,1005.429802
3739100,19049,1067317.126,198.4300763
3739101,19049,1067317.126,8421.49102
3739102,19049,1067317.126,15715.26356
3739103,19049,1067317.126,7726.476738
3739104,19049,1067317.126,1706.273063
3739115,19009,1742727.524,991.9918982
3739116,19009,1742727.524,1927.194933
3739118,19009,1742727.524,3821.959873
3739119,19009,1742727.524,678.0290593
3739120,19009,1742727.524,2046.162366
3739121,19009,1742727.524,426.8683246
3739122,19009,1742727.524,141.8705571
3739123,19009,1742727.524,3672.376025
3739124,19009,1742727.524,7783.547248
3739125,19009,1742727.524,2223.764066
3739126,19009,1742727.524,49.15072348
3739127,19009,1742727.524,3715.999326
3739128,19009,1742727.524,9832.364845
3742274,19039,6495657.542,1550.940696
3742275,19039,6495657.542,7212.464597
3742276,19039,6495657.542,3167.398834
3742277,19039,6495657.542,1683.932527
3742278,19039,6495657.542,1328.366961
3742278,19049,1067317.126,256.6507749
3742279,19049,1067317.126,11877.18885
3742280,19049,1067317.126,15970.85179
3742281,19049,1067317.126,7985.50513
3742285,19009,1742727.524,5328.16717
3742286,19009,1742727.524,2725.872173
3742293,19009,1742727.524,5824.329513
3742294,19009,1742727.524,1722.234219
3742295,19009,1742727.524,3188.161508
3742296,19009,1742727.524,8409.946817
3742297,19009,1742727.524,6228.150335
3742298,19009,1742727.524,989.0329755
3742299,19009,1742727.524,3125.245526
3742300,19009,1742727.524,8042.898515
3742301,19009,1742727.524,6489.813436
3742302,19009,1742727.524,5246.92894
3742305,19009,1742727.524,722.4811441
3742306,19009,1742727.524,1411.053213
3742307,19009,1742727.524,2156.495732
3742308,19009,1742727.524,89.52693855
3745452,19039,6495657.542,1647.841131
3745453,19039,6495657.542,12607.37828
3745454,19039,6495657.542,10223.83704
3745455,19039,6495657.542,5250.761101
3745456,19039,6495657.542,14422.94628
3745456,19049,1067317.126,1304.758686
3745457,19039,6495657.542,8036.170344
3745457,19049,1067317.126,6113.90345
3745458,19039,6495657.542,1946.313195
3745458,19049,1067317.126,19836.08678
3745459,19049,1067317.126,2221.73205
3745463,19009,1742727.524,5537.873089
3745464,19009,1742727.524,10528.34438
3745465,19009,1742727.524,411.2924852
3745469,19009,1742727.524,1263.920459
3745470,19009,1742727.524,2490.866687
3745475,19009,1742727.524,8257.838335
3745476,19009,1742727.524,4980.16184
3745477,19009,1742727.524,14148.33445
3745478,19009,1742727.524,5485.055654
3745479,19009,1742727.524,3086.752156
3745480,19009,1742727.524,4040.044015
3745483,19009,1742727.524,5262.426247
3745485,19009,1742727.524,879.4786215
3745486,19009,1742727.524,1049.378652
3748631,19039,6495657.542,467.4408684
3748632,19039,6495657.542,277.8981152
3748633,19039,6495657.542,118.0211337
3748634,19039,6495657.542,20275.04826
3748635,19039,6495657.542,11166.29848
3748636,19039,6495657.542,1737.888672
3748636,19049,1067317.126,94.66061312
3748642,19009,1742727.524,2326.42629
3748643,19009,1742727.524,1145.736409
3748643,19031,2319257.738,4183.611606
3748644,19031,2319257.738,1964.85752
3748645,19031,2319257.738,8963.212571
3748646,19031,2319257.738,1724.455077
3748647,19009,1742727.524,2361.674692
3748648,19009,1742727.524,1584.19013
3748653,19009,1742727.524,3201.799241
3748654,19009,1742727.524,3563.265641
3748655,19009,1742727.524,2091.99065
3748656,19009,1742727.524,8603.554485
3748657,19009,1742727.524,4378.307653
3748658,19009,1742727.524,7420.367201
3748659,19009,1742727.524,3443.036233
3748660,19009,1742727.524,4639.002756
3748661,19009,1742727.524,901.0429278
3751811,19039,6495657.542,6834.808084
3751812,19039,6495657.542,18270.1045
3751813,19039,6495657.542,4959.235621
3751820,19031,2319257.738,55.7121344
3751821,19031,2319257.738,2720.502094
3751822,19031,2319257.738,1511.070453
3751823,19031,2319257.738,9618.287968
3751824,19031,2319257.738,1762.805167
3751826,19009,1742727.524,2098.6028
3751827,19009,1742727.524,2320.633303
3751833,19009,1742727.524,1078.316869
3751834,19009,1742727.524,3006.385925
3751835,19009,1742727.524,2401.049466
3751836,19009,1742727.524,3116.001918
3751837,19009,1742727.524,936.1732248
3751838,19009,1742727.524,4367.270841
3754987,19039,6495657.542,14878.90754
3754988,19039,6495657.542,11457.33664
3754989,19039,6495657.542,15186.53677
3754990,19039,6495657.542,10927.1112
3754991,19039,6495657.542,463.7217588
3754997,19031,2319257.738,7977.407371
3754998,19031,2319257.738,8171.808972
3754999,19031,2319257.738,2586.72267
3755002,19009,1742727.524,5387.011997
3755010,19009,1742727.524,3811.552758
3755011,19009,1742727.524,746.5249519
3755012,19009,1742727.524,4959.752537
3755013,19009,1742727.524,5761.757892
3755015,19009,1742727.524,2605.222519
3755016,19009,1742727.524,4600.075752
3755018,19009,1742727.524,2747.229911
3755019,19009,1742727.524,1521.841709
3758163,19039,6495657.542,2.855651799
3758165,19039,6495657.542,16141.01645
3758166,19039,6495657.542,18097.68412
3758167,19039,6495657.542,11288.75397
3758168,19039,6495657.542,2314.463603
3758174,19031,2319257.738,5109.663855
3758175,19031,2319257.738,13917.57239
3758176,19031,2319257.738,12823.42102
3758177,19031,2319257.738,1016.79134
3758180,19009,1742727.524,329.1501091
3758188,19009,1742727.524,1061.290769
3758189,19009,1742727.524,334.6034276
3758193,19009,1742727.524,2378.160719
3758194,19009,1742727.524,44.52891708
3758195,19009,1742727.524,2576.487119
3758196,19009,1742727.524,1593.619828
3761339,19039,6495657.542,15306.71279
3761340,19039,6495657.542,308.8092264
3761341,19039,6495657.542,11666.18878
3761342,19039,6495657.542,9029.625499
3761343,19039,6495657.542,17048.19926
3761344,19039,6495657.542,24546.16302
3761345,19039,6495657.542,4710.549953
3761350,19031,2319257.738,797.3850638
3761351,19031,2319257.738,3760.261995
3761352,19031,2319257.738,1770.815838
3761353,19031,2319257.738,3756.996452
3761354,19031,2319257.738,4121.240369
3761355,19031,2319257.738,1904.076061
3761356,19031,2319257.738,896.4448817
3761358,19009,1742727.524,987.9671486
3761359,19009,1742727.524,6243.354463
3761360,19009,1742727.524,43.7202047
3761364,19009,1742727.524,1820.042943
3761365,19009,1742727.524,6270.401839
3761366,19009,1742727.524,2639.873108
3761367,19009,1742727.524,2708.140682
3761368,19009,1742727.524,2824.393756
3761369,19009,1742727.524,10072.63644
3761372,19009,1742727.524,3030.603574
3761373,19009,1742727.524,557.2759105
3764516,19039,6495657.542,7680.318883
3764517,19039,6495657.542,33023.41775
3764518,19039,6495657.542,5578.97439
3764519,19039,6495657.542,10942.60945
3764520,19039,6495657.542,16188.00713
3764521,19039,6495657.542,27259.40319
3764522,19039,6495657.542,20075.36578
3764529,19031,2319257.738,1036.45197
3764530,19031,2319257.738,3024.61528
3764531,19031,2319257.738,183.6426839
3764532,19031,2319257.738,2141.581299
3764533,19031,2319257.738,522.6956968
3764534,19031,2319257.738,47.3583392
3764542,19009,1742727.524,21197.44903
3764543,19009,1742727.524,27064.17943
3764544,19009,1742727.524,7089.004166
3764545,19009,1742727.524,4710.499563
3764546,19009,1742727.524,8278.570712
3764547,19009,1742727.524,2806.809784
3764548,19009,1742727.524,5231.769603
3764549,19009,1742727.524,1891.692916
3764550,19009,1742727.524,470.4361015
3767693,19039,6495657.542,1043.796992
3767694,19039,6495657.542,8299.499208
3767695,19039,6495657.542,26159.89818
3767696,19039,6495657.542,27604.46092
3767697,19039,6495657.542,21476.81959
3767698,19039,6495657.542,33882.43684
3767699,19039,6495657.542,33550.22084
3767700,19039,6495657.542,3439.612502
3767708,19031,2319257.738,7408.80803
3767709,19031,2319257.738,1298.547157
3767720,19009,1742727.524,24796.25645
3767721,19009,1742727.524,55340.37248
3767722,19009,1742727.524,22417.18716
3767723,19009,1742727.524,21413.29083
3767724,19009,1742727.524,24568.32951
3767725,19009,1742727.524,10738.81964
3767726,19009,1742727.524,339.7490274
3767727,19009,1742727.524,576.4847233
3770872,19039,6495657.542,3697.25384
3770873,19039,6495657.542,20104.11415
3770874,19039,6495657.542,18107.96622
3770875,19039,6495657.542,18819.74961
3770876,19039,6495657.542,42671.7939
3770877,19039,6495657.542,12278.22367
3770885,19031,2319257.738,12973.22776
3770886,19031,2319257.738,3160.105565
3770887,19031,2319257.738,4817.252441
3770888,19031,2319257.738,5519.250506
3770889,19031,2319257.738,6561.329857
3770890,19031,2319257.738,138.2021988
3770897,19009,1742727.524,23591.68644
3770898,19009,1742727.524,16587.32528
3770899,19009,1742727.524,16011.8318
3770900,19009,1742727.524,20691.42635
3770901,19009,1742727.524,25866.83859
3770902,19009,1742727.524,24151.75509
3770903,19009,1742727.524,8141.099055
3770904,19009,1742727.524,38.65224664
3770905,19009,1742727.524,1239.92295
3774050,19039,6495657.542,2372.327238
3774051,19039,6495657.542,9516.570393
3774052,19039,6495657.542,41691.61104
3774053,19039,6495657.542,30978.56353
3774054,19039,6495657.542,12404.9245
3774055,19039,6495657.542,26.16538191
3774060,19031,2319257.738,3928.591423
3774061,19031,2319257.738,7472.283596
3774062,19031,2319257.738,10280.30893
3774063,19031,2319257.738,14417.35647
3774064,19031,2319257.738,665.5023705
3774065,19031,2319257.738,1628.569383
3774066,19031,2319257.738,1081.885588
3774070,19009,1742727.524,1563.851092
3774071,19009,1742727.524,40433.69016
3774072,19009,1742727.524,10410.53529
3774074,19009,1742727.524,2339.329419
3774075,19009,1742727.524,2383.540162
3774076,19009,1742727.524,9452.406901
3774077,19009,1742727.524,16029.67315
3774078,19009,1742727.524,12351.73646
3774079,19009,1742727.524,26425.81691
3774080,19009,1742727.524,49701.24506
3774081,19009,1742727.524,13831.66004
3774082,19009,1742727.524,4069.849984
3774083,19009,1742727.524,4340.686486
3774084,19009,1742727.524,2002.005428
3774085,19009,1742727.524,2187.475553
3774086,19009,1742727.524,829.490021
3777220,19019,1041963.048,442.656278
3777224,19039,6495657.542,1098.58778
3777225,19039,6495657.542,145.2444591
3777228,19039,6495657.542,2402.415831
3777229,19039,6495657.542,35728.31086
3777230,19039,6495657.542,41328.44721
3777231,19039,6495657.542,29553.38689
3777232,19039,6495657.542,296.8722593
3777238,19031,2319257.738,7502.749327
3777239,19031,2319257.738,27668.62191
3777240,19031,2319257.738,29814.07476
3777241,19031,2319257.738,34597.00355
3777242,19031,2319257.738,26342.8922
3777243,19031,2319257.738,25396.30382
3777244,19031,2319257.738,28804.4411
3777245,19031,2319257.738,7511.565365
3777248,19009,1742727.524,5200.400991
3777249,19009,1742727.524,22374.75806
3777250,19009,1742727.524,4287.73109
3777252,19009,1742727.524,2415.818861
3777253,19009,1742727.524,14901.34449
3777254,19009,1742727.524,14100.18193
3777255,19009,1742727.524,8244.95694
3777256,19009,1742727.524,12810.27868
3777257,19009,1742727.524,29919.53687
3777258,19009,1742727.524,30660.64202
3777259,19009,1742727.524,9169.042909
3777260,19009,1742727.524,3832.440636
3777261,19009,1742727.524,3537.683903
3780389,19048,1366935.919,622.9638113
3780390,19048,1366935.919,3129.533408
3780391,19048,1366935.919,317.7717145
3780396,19019,1041963.048,720.3791762
3780397,19019,1041963.048,16135.03693
3780398,19019,1041963.048,8421.014475
3780399,19019,1041963.048,3827.176787
3780400,19019,1041963.048,3342.271234
3780401,19019,1041963.048,17994.87583
3780402,19019,1041963.048,811.9484235
3780402,19039,6495657.542,7629.350249
3780403,19039,6495657.542,22688.49208
3780404,19039,6495657.542,11883.19576
3780405,19039,6495657.542,28360.95609
3780406,19039,6495657.542,32629.7785
3780407,19039,6495657.542,25345.45356
3780408,19039,6495657.542,48534.13339
3780409,19039,6495657.542,6112.901742
3780416,19031,2319257.738,23271.44771
3780417,19031,2319257.738,46452.13754
3780418,19031,2319257.738,33853.97972
3780419,19031,2319257.738,33027.14289
3780420,19031,2319257.738,51550.09106
3780421,19031,2319257.738,27739.22196
3780422,19031,2319257.738,15980.53244
3780423,19031,2319257.738,11892.57819
3780424,19031,2319257.738,177.9094703
3780425,19031,2319257.738,4044.800955
3780426,19031,2319257.738,9794.294878
3780428,19031,2319257.738,616.0469382
3780431,19009,1742727.524,172.9744195
3780432,19009,1742727.524,355.7972388
3780438,19009,1742727.524,1613.284147
3780439,19009,1742727.524,1465.31363
3783567,19048,1366935.919,6473.342938
3783568,19048,1366935.919,9095.763671
3783569,19048,1366935.919,94.04611541
3783574,19019,1041963.048,9540.326647
3783575,19019,1041963.048,17621.6752
3783576,19019,1041963.048,31206.35755
3783577,19019,1041963.048,14534.70183
3783578,19019,1041963.048,16550.39463
3783579,19019,1041963.048,18947.72745
