GRIDCODE,CVENTMUN,Fb
3681850,05004,4.81227E-05
3681851,05004,0.003567551
3681852,05004,0.003867801
3681853,05004,0.003867801
3681854,05004,0.003867801
3681855,05004,0.003805559
3681856,05004,0.003462117
3681857,05004,0.003867801
3681858,05004,0.003867801
3681859,05004,0.003867801
3681860,05004,0.003867801
3681861,05004,0.00383614
3681862,05004,0.0018615
3681863,05004,0.001803141
3681864,05004,0.002398785
3681865,05004,0.003867801
3681866,05004,0.003867801
3681867,05004,0.003867801
3681868,05004,0.003867801
3681869,05004,0.003867801
3681870,05004,0.00268263
3681870,19049,0.000587252
3681871,05004,0.000820742
3681871,19049,0.001509817
3681872,05004,5.52371E-05
3681872,19049,0.001889124
3681873,19049,0.001916494
3681874,19049,0.001916494
3681875,19049,0.001916494
3681876,19049,0.001916494
3681877,19049,0.001916494
3681878,19049,0.001916494
3681879,19049,0.001916494
3681880,05004,4.40114E-05
3681880,19049,0.001894687
3681881,05004,0.00059935
3681881,19049,0.001619517
3681882,05004,0.001771864
3681882,19049,0.001038536
3681883,05004,0.002509665
3681883,19049,0.000672956
3681884,05004,0.003158418
3681884,19049,0.000351499
3681885,05004,0.002878565
3681885,19049,0.000490166
3681886,05004,0.001007443
3681886,19049,0.001417307
3681887,19049,0.001916494
3681888,19049,0.001916494
3681889,19049,0.001812493
3681890,19049,0.000614226
3681891,19049,0.000399277
3681892,19049,0.001681028
3681893,19049,0.001916494
3681894,19049,0.001916494
3681895,19049,0.001916494
3681896,19049,0.001916494
3681897,19049,0.001916494
3681898,19049,0.001916494
3681899,19049,0.001916494
3681900,19049,0.001916494
3681901,19049,0.001916494
3681902,19049,0.001916494
3681903,19049,0.001916494
3681904,19049,0.001916494
3681905,19049,0.001916494
3681906,19049,0.001916494
3681907,19049,0.001916494
3681908,19004,0.003034236
3681908,19049,0.001843439
3681909,19004,0.043629037
3681909,19049,0.00086604
3681910,19004,0.079586229
3681910,19049,3.00152E-07
3681911,19004,0.079598695
3681912,19004,0.079598695
3681913,19004,0.057373337
3681914,19004,0.000664042
3681915,19004,0.016518556
3681916,19004,0.011287879
3681922,19004,0.001107747
3681924,19038,0.048831356
3681925,19038,0.104435802
3685028,05004,0.00107378
3685029,05004,0.003804325
3685030,05004,0.003867801
3685031,05004,0.003867801
3685032,05004,0.002930803
3685033,05004,0.002233889
3685034,05004,0.003255956
3685035,05004,0.003867801
3685036,05004,0.003867801
3685037,05004,0.003867801
3685038,05004,0.003867801
3685039,05004,0.003867801
3685040,05004,0.003758117
3685041,05004,0.003867801
3685042,05004,0.003867801
3685043,05004,0.003867801
3685044,05004,0.003867801
3685045,05004,0.003867801
3685046,05004,0.003867801
3685047,05004,0.003867801
3685048,05004,0.002523499
3685048,19049,0.000658692
3685049,19049,0.001812863
3685050,19049,0.001876434
3685051,19049,0.001916494
3685052,19049,0.001916494
3685053,19049,0.001782838
3685054,19049,0.000346422
3685055,19049,0.000812255
3685056,19049,0.001531537
