GRIDCODE,CVENTMUN,Fpav
3681909,19049,0.009727483
3681910,19004,0.45697794
3681910,19049,0.000123938
3681918,19004,0.166638401
3685028,05004,0.075204478
3685076,19049,0.004122553
3685077,19049,0.016987105
3685078,19049,0.010624066
3685086,19049,0.003662531
3685087,19049,0.021342048
3685096,19004,0.178717954
3688206,05004,0.091755965
3688207,05004,0.023713196
3688240,19049,0.000445581
3688241,19049,0.011358883
3688242,19049,0.00739817
3688254,19049,0.016181405
3688256,19049,0.003181315
3688257,19049,0.00762222
3688264,19049,0.026007281
3688274,19004,0.168024982
3691385,05004,0.070443314
3691386,05004,0.042702773
3691420,19049,0.010780926
3691431,19049,0.005855402
3691432,19049,0.008120852
3691435,19049,0.011347824
3691441,19049,0.026363759
3691442,19049,0.003424063
3691452,19004,0.029640723
3691452,19009,0.006997922
3694564,05004,0.058984233
3694565,05004,0.064023509
3694598,19049,0.010969932
3694606,19049,0.003399551
3694607,19049,0.010721114
3694608,19049,0.011542429
3694609,19049,0.008631603
3694613,19049,0.010217149
3694614,19049,0.004117474
3694618,19049,0.016502694
3694619,19049,0.007588261
3694630,19009,0.008406253
3697742,05004,0.089730125
3697743,05004,0.138376409
3697744,05004,0.006128134
3697776,19049,0.013809362
3697783,19049,0.011932216
3697784,19049,0.007970797
3697792,19049,0.011278454
3697796,19049,0.023932791
3697808,19009,0.008400649
3700922,05004,0.069121659
3700923,05004,0.074644083
3700924,05004,0.073997038
3700925,05004,0.077454258
3700926,05004,0.043720826
3700954,19049,0.002359236
3700955,19049,0.010972215
3700956,19049,0.000147455
3700957,19049,0.010635135
3700958,19049,0.01040555
3700959,19049,0.010755396
3700960,19049,0.011259209
3700961,19049,0.003385699
3700970,19049,0.00796542
3700971,19049,0.005589746
3700973,19049,0.024726127
3700974,19049,0.000487757
3700986,19009,0.008393711
3704133,19049,0.004584484
3704134,19049,0.010335536
3704149,19049,0.007250193
3704150,19049,0.028090056
3704151,19049,0.010389923
3704164,19009,0.008411841
3704172,19038,0.023495273
3704173,19038,0.312394413
3707327,19049,0.019466948
3707328,19049,0.004577741
3707342,19009,0.00845531
3707349,19038,0.088743805
3707350,19038,0.285302477
3710504,19049,0.001564936
3710505,19049,0.022429888
3710520,19009,0.008494346
3710526,19009,0.001953911
3710526,19038,0.066741298
3710527,19038,0.223322734
3713682,19049,0.028378496
3713683,19049,0.004034739
3713684,19049,0.007605684
3713698,19009,0.008514202
3716859,19049,0.000861919
3716860,19049,0.020465712
3716861,19049,0.012052939
3716862,19049,0.004738592
3716863,19049,0.013089426
3716864,19049,0.006222298
3716876,19009,0.008533708
3720037,19049,0.025024363
3720038,19049,0.009125476
3720039,19049,0.004649245
3720042,19049,0.011977499
3720043,19049,0.008226972
3720053,19009,0.006000141
3720054,19009,0.002605457
3723214,19049,0.015644962
3723215,19049,0.021878854
3723216,19049,0.010679961
3723221,19049,0.011847561
3723231,19009,0.008516814
3726391,19049,0.001571615
3726392,19049,0.022527431
3726393,19049,0.0033975
3726399,19049,0.006265758
3726400,19049,0.00571101
3726409,19009,0.00848621
3729569,19049,0.022744825
3729577,19049,0.016450298
3729578,19049,0.01124074
3729579,19049,0.007012765
3729587,19009,0.008505141
3732747,19049,0.022424257
3732754,19049,0.010755195
3732755,19049,0.001742928
3732757,19009,0.002269703
3732757,19049,0.00150002
3732758,19009,0.010408624
3732765,19009,0.008501024
3735924,19049,0.019006594
3735925,19049,0.004786237
3735931,19009,0.00498686
3735932,19009,0.000881597
3735932,19049,0.005967218
3735936,19009,0.005898058
3735937,19009,0.004457586
3735943,19009,0.008511702
3735950,19009,0.004158465
3739102,19049,0.022862525
3739108,19009,0.003381399
3739109,19009,0.007848219
3739115,19009,0.008327856
3739116,19009,0.005228655
3739120,19009,0.00702949
3739121,19009,0.00148209
3739128,19009,0.010890635
3742279,19049,0.018498097
3742280,19049,0.004096729
3742285,19009,0.000783306
3742286,19009,0.011601106
3742294,19009,0.004021471
3742295,19009,0.009467126
3742296,19009,0.006748677
3742298,19009,0.008510836
3742305,19009,0.00627809
3742306,19009,0.008024696
3745456,19039,0.002554081
