GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Suma de POB  en CELL (rur+urb),Promedio de POBTOT en MUN Rur,Promedio de POBTOT en MUN URB,Pot Tot
3681850,05004,,0.000212796,0.000212796,3,14098,,14098
3681861,05004,,0.000283728,0.000283728,4,14098,,14098
3681862,05004,,0.008086253,0.008086253,114,14098,,14098
3681863,05004,,0.001063981,0.001063981,15,14098,,14098
3681864,05004,,0.003617534,0.003617534,51,14098,,14098
3681892,19049,,0.022595756,0.022595756,82,3629,,3629
3681900,19049,,0.000826674,0.000826674,3,3629,,3629
3681910,19004,,0.011029412,0.011029412,72,6528,,6528
3681916,19004,,0.004136029,0.004136029,27,6528,,6528
3681918,19004,,0.000612745,0.000612745,4,6528,,6528
3681919,19004,,0.005514706,0.005514706,36,6528,,6528
3681922,19004,,0.01685049,0.01685049,110,6528,,6528
3681923,19038,,0.000856837,0.000856837,12,14005,,14005
3681927,19038,,0.001999286,0.001999286,28,14005,,14005
3685028,05004,,0.031635693,0.031635693,446,14098,,14098
3685032,05004,,0.002624486,0.002624486,37,14098,,14098
3685067,19049,,0.1049876,0.1049876,381,3629,,3629
3685069,19049,,0.009920088,0.009920088,36,3629,,3629
3685077,19049,,0.003582254,0.003582254,13,3629,,3629
3685086,19049,0,0.013502342,0.001210803,49,3629,36840,40469
3685087,19049,0,0.009368972,0.000840149,34,3629,36840,40469
3685092,19004,,0.067708333,0.067708333,442,6528,,6528
3685096,19004,,0.006433824,0.006433824,42,6528,,6528
3685101,19004,,0.005055147,0.005055147,33,6528,,6528
3685102,19038,,0.022706176,0.022706176,318,14005,,14005
3688207,05004,,0.005390836,0.005390836,76,14098,,14098
3688208,05004,,7.0932E-05,7.0932E-05,1,14098,,14098
3688218,05004,,0.000283728,0.000283728,4,14098,,14098
3688228,19049,,0.002204464,0.002204464,8,3629,,3629
3688230,19049,,0.003582254,0.003582254,13,3629,,3629
3688232,19049,,0.003031138,0.003031138,11,3629,,3629
3688234,19049,,0.012124552,0.012124552,44,3629,,3629
3688237,19049,,0.011573436,0.011573436,42,3629,,3629
3688238,19049,,0.003306696,0.003306696,12,3629,,3629
3688240,19049,,0.003857812,0.003857812,14,3629,,3629
3688243,19049,,0.034444751,0.034444751,125,3629,,3629
3688256,19049,5.42888E-05,,5.42888E-05,2,,36840,36840
3688257,19049,0,0.097547534,0.008747436,354,3629,36840,40469
3688260,19049,,0.002204464,0.002204464,8,3629,,3629
3688261,19049,,0.002480022,0.002480022,9,3629,,3629
3688262,19049,5.42888E-05,,5.42888E-05,2,,36840,36840
3688263,19049,0.000515744,0.000826674,0.000543626,22,3629,36840,40469
3688264,19049,0.002551574,0.004960044,0.00276755,112,3629,36840,40469
3688265,19049,0.00067861,0.006062276,0.001161383,47,3629,36840,40469
3688271,19009,,0.000218174,0.000218174,4,18334,,18334
3688272,19004,,0.005821078,0.005821078,38,6528,,6528
3688272,19009,,0.005508891,0.005508891,101,18334,,18334
3688274,19004,,0.032935049,0.032935049,215,6528,,6528
3691386,05004,,0.000141864,0.000141864,2,14098,,14098
3691387,05004,,0.002340758,0.002340758,33,14098,,14098
3691389,05004,,0.015392254,0.015392254,217,14098,,14098
3691390,05004,,0.005603632,0.005603632,79,14098,,14098
3691403,05004,,0.001915165,0.001915165,27,14098,,14098
3691404,05004,,0.001134913,0.001134913,16,14098,,14098
3691405,19049,,0.000275558,0.000275558,1,3629,,3629
3691406,19049,,0.003857812,0.003857812,14,3629,,3629
3691408,19049,,0.009368972,0.009368972,34,3629,,3629
3691410,19049,,0.01791127,0.01791127,65,3629,,3629
3691413,19049,,0.001102232,0.001102232,4,3629,,3629
3691414,19049,,0.001928906,0.001928906,7,3629,,3629
3691434,19049,2.71444E-05,,2.71444E-05,1,,36840,36840
3691435,19049,0.002171553,,0.002171553,80,,36840,36840
3691438,19049,0.000162866,0.000826674,0.000222392,9,3629,36840,40469
3691439,19049,0.001221498,0.001928906,0.001284934,52,3629,36840,40469
3691440,19049,0.021416938,0.000826674,0.019570535,792,3629,36840,40469
3691441,19049,0.019896851,,0.019896851,733,,36840,36840
3691442,19049,0.001004343,,0.001004343,37,,36840,36840
3691443,19049,,0.006613392,0.006613392,24,3629,,3629
3691450,19009,,0.000109087,0.000109087,2,18334,,18334
3691451,19009,,0.000436348,0.000436348,8,18334,,18334
3691452,19009,,0.043743864,0.043743864,802,18334,,18334
3691455,19004,,0.003063725,0.003063725,20,6528,,6528
3691457,19004,,0.050704657,0.050704657,331,6528,,6528
3691458,19038,,0.03977151,0.03977151,557,14005,,14005
3691459,19038,,0.009496608,0.009496608,133,14005,,14005
3691460,19038,,0.001499464,0.001499464,21,14005,,14005
3694580,05004,,0.000141864,0.000141864,2,14098,,14098
3694585,19049,,0.00826674,0.00826674,30,3629,,3629
3694586,19049,,0.000826674,0.000826674,3,3629,,3629
3694587,19049,,0.000551116,0.000551116,2,3629,,3629
3694598,19049,,0.000826674,0.000826674,3,3629,,3629
3694613,19049,0.010857763,,0.010857763,400,,36840,36840
3694614,19049,0.002252986,0.042435933,0.005856334,237,3629,36840,40469
3694615,19049,,0.002480022,0.002480022,9,3629,,3629
3694616,19049,0.002415852,,0.002415852,89,,36840,36840
3694617,19049,0.015879479,,0.015879479,585,,36840,36840
3694618,19049,0.047638436,,0.047638436,1755,,36840,36840
3694619,19049,0.005781759,,0.005781759,213,,36840,36840
3694629,19009,,0.000381804,0.000381804,7,18334,,18334
3694631,19009,,0.000272717,0.000272717,5,18334,,18334
3694632,19009,,0.002290826,0.002290826,42,18334,,18334
3694634,19009,,0.010635977,0.010635977,195,18334,,18334
3697741,05004,,7.0932E-05,7.0932E-05,1,14098,,14098
3697742,05004,,0.000638388,0.000638388,9,14098,,14098
3697743,05004,,0.000141864,0.000141864,2,14098,,14098
3697752,05004,,0.000283728,0.000283728,4,14098,,14098
3697753,05004,,7.0932E-05,7.0932E-05,1,14098,,14098
3697754,05004,,0.00070932,0.00070932,10,14098,,14098
3697762,19049,,0.002204464,0.002204464,8,3629,,3629
3697764,19049,,0.001928906,0.001928906,7,3629,,3629
3697783,19049,,0.077431799,0.077431799,281,3629,,3629
3697790,19049,5.42888E-05,,5.42888E-05,2,,36840,36840
3697791,19049,0.01354506,,0.01354506,499,,36840,36840
3697792,19049,0.014413681,,0.014413681,531,,36840,36840
3697793,19049,0.003827362,,0.003827362,141,,36840,36840
3697794,19049,0.010396308,0.003857812,0.009809978,397,3629,36840,40469
3697795,19049,0.036427796,,0.036427796,1342,,36840,36840
3697796,19049,0.02888165,,0.02888165,1064,,36840,36840
3697797,19049,0.000352877,,0.000352877,13,,36840,36840
3697808,19009,,0.000872696,0.000872696,16,18334,,18334
3697812,19009,,0.001363587,0.001363587,25,18334,,18334
3697814,19038,,0.024348447,0.024348447,341,14005,,14005
3700919,05004,,0.001205845,0.001205845,17,14098,,14098
3700920,05004,,0.000283728,0.000283728,4,14098,,14098
3700922,05004,,0.000212796,0.000212796,3,14098,,14098
3700923,05004,,0.001134913,0.001134913,16,14098,,14098
3700924,05004,,0.001631437,0.001631437,23,14098,,14098
3700925,05004,,0.000496524,0.000496524,7,14098,,14098
3700926,05004,,0.039792878,0.039792878,561,14098,,14098
3700927,05004,,0.00035466,0.00035466,5,14098,,14098
3700929,05004,,0.000567456,0.000567456,8,14098,,14098
3700938,05004,,0.000425592,0.000425592,6,14098,,14098
3700939,05004,,0.000638388,0.000638388,9,14098,,14098
3700948,19049,,0.001653348,0.001653348,6,3629,,3629
3700955,19049,,0.027280242,0.027280242,99,3629,,3629
3700957,19049,,0.000275558,0.000275558,1,3629,,3629
3700958,19049,,0.003306696,0.003306696,12,3629,,3629
3700959,19049,,0.00413337,0.00413337,15,3629,,3629
3700963,19049,,0.000551116,0.000551116,2,3629,,3629
3700968,19049,0,,0,0,,36840,36840
3700969,19049,0.006243214,,0.006243214,230,,36840,36840
3700970,19049,0.012785016,,0.012785016,471,,36840,36840
3700971,19049,0.023995657,,0.023995657,884,,36840,36840
3700972,19049,0.034120521,,0.034120521,1257,,36840,36840
