GRIDCODE,CVENTMUN,Fter
3681916,19004,0.101527974
3681917,19004,0.471996004
3685094,19004,0.426476022
3688236,19049,0.05616094
3688237,19049,0.074068139
3688238,19049,0.073214795
3688239,19049,0.068602023
3688240,19049,0.069890092
3691402,05004,0.038422454
3691403,05004,0.081923545
3691404,05004,0.07705452
3691405,05004,0.00423511
3691405,19049,0.064879352
3691406,19049,0.075099147
3691407,19049,0.038432347
3691408,19049,0.060851018
3691409,19049,0.070328371
3691410,19049,0.076092743
3691411,19049,0.068836692
3691412,19049,0.068980448
3691413,19049,0.068566122
3691414,19049,0.019604118
3694577,05004,0.019635716
3694578,05004,0.076086621
3694579,05004,0.077955292
3694580,05004,0.047432872
3694585,19049,0.036540625
3694586,19049,0.009853029
3697752,05004,0.034121713
3697753,05004,0.074076274
3697754,05004,0.080740894
3697755,05004,0.059948353
3700926,05004,0.030298417
3700927,05004,0.052648311
3700928,05004,0.046520603
3700929,05004,0.08757135
3700930,05004,0.043007981
3704105,05004,0.030065221
3704106,05004,0.038254752
3710526,19009,0.004960354
3710526,19038,1
3713704,19009,0.122091267
3716882,19009,0.119119012
3720060,19009,0.122465455
3723238,19009,0.119158618
3726416,19009,0.122601064
3729587,19009,0.014390093
3729594,19009,0.128787366
3732772,19009,0.121494609
3735950,19009,0.124932162
3758162,19039,0.300864679
3761340,19039,0.094689771
3761341,19039,0.254177313
3764519,19039,0.307250323
3767697,19039,0.043017915
3837590,19018,0.010434571
3837591,19018,0.01395659
3840750,19018,0.001805515
3840752,19018,0.008027206
3840763,19018,0.004232532
3840764,19018,0.021479514
3840765,19018,0.040633014
3840766,19018,0.040242126
3840767,19018,0.029618707
3840768,19018,0.010006455
3843928,19018,0.019480482
3843929,19018,0.020270902
3843930,19018,0.013952035
3843931,19018,0.022873369
3843938,19018,0.000706242
3843939,19018,0.021038602
3843940,19018,0.042088311
3843941,19018,0.031556901
3843945,19018,0.012186916
3843946,19018,0.020789017
3843947,19018,0.02005318
3843948,19018,0.020078765
3843949,19018,0.011196104
3847109,19018,0.012767365
3847110,19018,0.020512773
3847111,19018,0.019837076
3847112,19018,0.019591221
3847114,19018,0.017738737
3847115,19018,0.02090865
3847116,19018,0.020237323
3847117,19018,0.026044749
3847118,19018,0.001015064
3847119,19018,0.0199527
3847127,19018,0.0089624
3847128,19018,0.020047632
3847129,19018,0.020133452
3847130,19018,0.005487983
3847130,19021,0.066261767
3847131,19021,0.091164321
3847132,19021,0.084554463
3850294,19018,0.023310969
3850295,19018,0.003907015
3850297,19018,0.019976798
3850310,19021,0.006049289
3850311,19021,0.090787045
3850312,19021,0.091218776
3850313,19021,0.141448624
3850314,19021,0.091014276
3850315,19021,0.078156198
3853471,19018,0.009626671
3853472,19018,0.004018751
3853475,19018,0.020002052
3853491,19021,0.08940379
3856652,19018,0.006955374
3856653,19018,0.019899588
3856668,19021,0.065043174
3856669,19021,0.02436263
3859829,19018,0.003043635
3859830,19018,0.006057538
3859831,19018,0.003659234
3859846,19010,0.064883671
3859846,19021,0.080535647
3863009,19018,0.000470794
3863010,19018,0.020135416
3863024,19010,0.651167554
3866187,19018,0.016079669
3866188,19018,0.00587784
3866202,19010,0.283948775
3869365,19018,0.02106671
3872543,19018,0.008199021
3872544,19018,0.0010088
3888420,19018,0.023175193
3891598,19018,0.003905129
3891599,19018,0.024490526
3891600,19018,0.020196791
3891601,19018,0.0199914
3894779,19018,0.00392563
3894780,19018,0.028160987
3894781,19018,0.000561454
3897959,19018,0.012352832
3897959,19037,0.082755629
3901137,19037,0.159858196
3901138,19037,0.107035241
3901139,19037,0.085907939
3901140,19037,0.049501109
3904318,19037,0.05204042
3904319,19037,0.096251291
3904320,19037,0.024162734
3907498,19037,0.085987751
3910676,19037,0.093585266
3913854,19037,0.077892913
3913855,19037,0.021023712
3917033,19037,0.063997798
