GRIDCODE,LONG,LATITUDE,Huso,Pob,X_long(NALCC),Y_lat(NALCC),UTMz
78,78,"IE 2016 area Monterrey",,,,,
3681850,-100.669043,25.33961356,6,3,2633321.774,1477649.062,14
3681851,-100.6590606,25.33952906,6,0,2634321.774,1477649.062,14
3681852,-100.6490781,25.33944392,6,0,2635321.774,1477649.062,14
3681853,-100.6390957,25.33935815,6,0,2636321.774,1477649.062,14
3681854,-100.6291132,25.33927175,6,0,2637321.774,1477649.062,14
3681855,-100.6191308,25.33918472,6,0,2638321.774,1477649.062,14
3681856,-100.6091484,25.33909706,6,0,2639321.774,1477649.062,14
3681857,-100.5991661,25.33900877,6,0,2640321.774,1477649.062,14
3681858,-100.5891837,25.33891984,6,0,2641321.774,1477649.062,14
3681859,-100.5792013,25.33883029,6,0,2642321.774,1477649.062,14
3681860,-100.569219,25.3387401,6,0,2643321.774,1477649.062,14
3681861,-100.5592367,25.33864928,6,4,2644321.774,1477649.062,14
3681862,-100.5492543,25.33855783,6,114,2645321.774,1477649.062,14
3681863,-100.539272,25.33846575,6,15,2646321.774,1477649.062,14
3681864,-100.5292898,25.33837304,6,51,2647321.774,1477649.062,14
3681865,-100.5193075,25.33827969,6,0,2648321.774,1477649.062,14
3681866,-100.5093252,25.33818571,6,0,2649321.774,1477649.062,14
3681867,-100.499343,25.33809111,6,0,2650321.774,1477649.062,14
3681868,-100.4893608,25.33799587,6,0,2651321.774,1477649.062,14
3681869,-100.4793785,25.3379,6,0,2652321.774,1477649.062,14
3681870,-100.4693963,25.3378035,6,0,2653321.774,1477649.062,14
3681871,-100.4594142,25.33770636,6,0,2654321.774,1477649.062,14
3681872,-100.449432,25.3376086,6,0,2655321.774,1477649.062,14
3681873,-100.4394498,25.3375102,6,0,2656321.774,1477649.062,14
3681874,-100.4294677,25.33741117,6,0,2657321.774,1477649.062,14
3681875,-100.4194856,25.33731152,6,0,2658321.774,1477649.062,14
3681876,-100.4095035,25.33721123,6,0,2659321.774,1477649.062,14
3681877,-100.3995214,25.3371103,6,0,2660321.774,1477649.062,14
3681878,-100.3895393,25.33700875,6,0,2661321.774,1477649.062,14
3681879,-100.3795572,25.33690657,6,0,2662321.774,1477649.062,14
3681880,-100.3695752,25.33680375,6,0,2663321.774,1477649.062,14
3681881,-100.3595931,25.3367003,6,0,2664321.774,1477649.062,14
3681882,-100.3496111,25.33659623,6,0,2665321.774,1477649.062,14
3681883,-100.3396291,25.33649152,6,0,2666321.774,1477649.062,14
3681884,-100.3296471,25.33638617,6,0,2667321.774,1477649.062,14
3681885,-100.3196652,25.3362802,6,0,2668321.774,1477649.062,14
3681886,-100.3096832,25.3361736,6,0,2669321.774,1477649.062,14
3681887,-100.2997013,25.33606636,6,0,2670321.774,1477649.062,14
3681888,-100.2897194,25.3359585,6,0,2671321.774,1477649.062,14
3681889,-100.2797375,25.33585,6,0,2672321.774,1477649.062,14
3681890,-100.2697556,25.33574087,6,0,2673321.774,1477649.062,14
3681891,-100.2597737,25.33563111,6,0,2674321.774,1477649.062,14
3681892,-100.2497919,25.33552071,6,82,2675321.774,1477649.062,14
3681893,-100.23981,25.33540969,6,0,2676321.774,1477649.062,14
3681894,-100.2298282,25.33529804,6,0,2677321.774,1477649.062,14
3681895,-100.2198464,25.33518575,6,0,2678321.774,1477649.062,14
3681896,-100.2098646,25.33507283,6,0,2679321.774,1477649.062,14
3681897,-100.1998829,25.33495928,6,0,2680321.774,1477649.062,14
3681898,-100.1899011,25.3348451,6,0,2681321.774,1477649.062,14
3681899,-100.1799194,25.33473029,6,0,2682321.774,1477649.062,14
3681900,-100.1699377,25.33461485,6,3,2683321.774,1477649.062,14
3681901,-100.159956,25.33449877,6,0,2684321.774,1477649.062,14
3681902,-100.1499743,25.33438207,6,0,2685321.774,1477649.062,14
3681903,-100.1399926,25.33426473,6,0,2686321.774,1477649.062,14
3681904,-100.130011,25.33414676,6,0,2687321.774,1477649.062,14
3681905,-100.1200294,25.33402816,6,0,2688321.774,1477649.062,14
3681906,-100.1100478,25.33390893,6,0,2689321.774,1477649.062,14
3681907,-100.1000662,25.33378907,6,0,2690321.774,1477649.062,14
3681908,-100.0900846,25.33366857,6,0,2691321.774,1477649.062,14
3681909,-100.0801031,25.33354745,6,0,2692321.774,1477649.062,14
3681910,-100.0701215,25.33342569,6,72,2693321.774,1477649.062,14
3681911,-100.06014,25.3333033,6,0,2694321.774,1477649.062,14
3681912,-100.0501585,25.33318028,6,0,2695321.774,1477649.062,14
3681913,-100.0401771,25.33305663,6,0,2696321.774,1477649.062,14
3681914,-100.0301956,25.33293235,6,0,2697321.774,1477649.062,14
3681915,-100.0202142,25.33280744,6,0,2698321.774,1477649.062,14
3681916,-100.0102327,25.33268189,6,27,2699321.774,1477649.062,14
3681917,-100.0002513,25.33255572,6,0,2700321.774,1477649.062,14
3681918,-99.99026997,25.33242891,6,4,2701321.774,1477649.062,14
3681919,-99.98028861,25.33230147,6,36,2702321.774,1477649.062,14
3681920,-99.97030727,25.3321734,6,0,2703321.774,1477649.062,14
3681921,-99.96032595,25.3320447,6,0,2704321.774,1477649.062,14
3681922,-99.95034465,25.33191537,6,110,2705321.774,1477649.062,14
3681923,-99.94036337,25.3317854,6,12,2706321.774,1477649.062,14
3681924,-99.93038211,25.33165481,6,0,2707321.774,1477649.062,14
3681925,-99.92040087,25.33152358,6,0,2708321.774,1477649.062,14
3681926,-99.91041965,25.33139172,6,0,2709321.774,1477649.062,14
3681927,-99.90043845,25.33125923,6,28,2710321.774,1477649.062,14
3685028,-100.6689504,25.34868523,6,446,2633321.774,1478649.062,14
3685029,-100.6589672,25.34860072,6,0,2634321.774,1478649.062,14
3685030,-100.6489841,25.34851557,6,0,2635321.774,1478649.062,14
3685031,-100.6390009,25.3484298,6,0,2636321.774,1478649.062,14
3685032,-100.6290178,25.3483434,6,37,2637321.774,1478649.062,14
3685033,-100.6190347,25.34825636,6,0,2638321.774,1478649.062,14
3685034,-100.6090516,25.34816869,6,0,2639321.774,1478649.062,14
3685035,-100.5990685,25.34808039,6,0,2640321.774,1478649.062,14
3685036,-100.5890855,25.34799146,6,0,2641321.774,1478649.062,14
3685037,-100.5791024,25.3479019,6,0,2642321.774,1478649.062,14
3685038,-100.5691194,25.34781171,6,0,2643321.774,1478649.062,14
3685039,-100.5591364,25.34772088,6,0,2644321.774,1478649.062,14
3685040,-100.5491534,25.34762943,6,0,2645321.774,1478649.062,14
3685041,-100.5391704,25.34753734,6,0,2646321.774,1478649.062,14
3685042,-100.5291874,25.34744462,6,0,2647321.774,1478649.062,14
3685043,-100.5192044,25.34735127,6,0,2648321.774,1478649.062,14
3685044,-100.5092215,25.34725729,6,0,2649321.774,1478649.062,14
3685045,-100.4992385,25.34716267,6,0,2650321.774,1478649.062,14
3685046,-100.4892556,25.34706743,6,0,2651321.774,1478649.062,14
3685047,-100.4792727,25.34697155,6,0,2652321.774,1478649.062,14
