GRIDCODE,CID,Fracc,Fracv
400869,5030,0.002800648,0.000124716
400870,5030,0.028569522,0.00127223
400871,5030,0.015552289,0.000692559
400871,5030,0.017627743,0.000784981
400872,5030,0.012063804,0.000537213
400872,19017,0.007079537,0.00019256
400873,19017,0.000992855,2.70E-05
400874,19017,0.004559958,0.000124029
400875,19017,0.017201496,0.000467873
400876,19017,0.009275344,0.000252285
400877,19017,0.028255662,0.000768542
400878,19017,0.00082717,2.25E-05
400882,19017,0.006489983,0.000176525
400883,19017,0.020653518,0.000561767
400884,19017,0.016092954,0.000437722
400885,19017,0.008855489,0.000240866
400886,19017,0.029662474,0.000806807
400887,19017,0.025526319,0.000694305
400894,19043,0.156125963,0.004625118
400895,19043,0.022429144,0.000664447
400901,19038,0.003704573,0.000842851
400902,19038,0.009865689,0.002244604
400903,19038,0.016132383,0.003670379
400904,19038,0.00130701,0.000297366
400905,19038,1.31E-04,2.97E-05
400907,19038,0.000160671,3.66E-05
400908,19038,0.017398909,0.003958534
400909,19038,0.014643495,0.003331633
400909,19038,5.11E-05,1.16E-05
400910,19038,0.008684884,0.001975952
400911,19038,0.008701362,0.001979701
401921,5030,0.006444289,0.000286971
401922,5030,0.003520158,0.000156756
401923,5030,0.001000081,4.45E-05
401931,5004,0.001844235,0.000440405
401931,19017,0.000683796,1.86E-05
401932,5004,5.19E-05,1.24E-05
401932,19017,0.017449772,0.000474626
401933,19017,0.032132406,0.000873988
401934,19017,0.021934843,0.000596619
401935,19017,0.031737791,0.000863255
401936,19017,0.00892098,0.000242647
401937,19017,6.40E-05,1.74E-06
401938,19017,0.000521425,1.42E-05
401939,19017,0.013693851,0.000372467
401940,19017,0.029224473,0.000794893
401941,19017,0.010341518,0.000281285
401943,19017,0.00052872,1.44E-05
401944,19017,0.025166929,0.00068453
401945,19017,0.046560709,0.001266432
401946,19017,0.007957741,0.000216447
401952,19043,0.046075571,0.001364955
401953,19043,0.170683598,0.005056377
401960,19038,0.011086952,0.002522461
401961,19038,0.018205665,0.004142084
401962,19038,0.021083235,0.004796778
401963,19038,0.018355094,0.004176082
401964,19038,0.015393307,0.003502227
401965,19038,0.007267789,0.00165354
401967,19038,0.000265774,6.05E-05
401968,19038,0.001405365,0.000319743
402980,5030,0.023745755,0.001057423
402981,5030,0.033327894,0.001484125
402982,5030,0.011491428,0.000511725
402983,5030,0.01106138,0.000492574
402984,5030,0.013158545,0.000585963
402985,5030,0.000767248,3.42E-05
402989,5004,0.001077602,0.000257332
402990,5004,0.012613716,0.003012168
402991,5004,0.007537596,0.001799985
402991,19017,0.006664291,0.000181266
402992,5004,0.000644678,0.00015395
402992,19017,0.04017137,0.001092644
402993,19017,0.024025398,0.000653481
402994,19017,0.001441038,3.92E-05
402996,19017,0.001155086,3.14E-05
402997,19017,0.024960278,0.000678909
402998,19017,0.023191968,0.000630812
402999,19017,0.001312604,3.57E-05
403000,19017,0.007918338,0.000215375
403001,19017,0.021636376,0.0005885
403002,19017,0.034002951,0.000924866
403003,19017,0.024086309,0.000655138
403004,19017,0.006069722,0.000165094
403009,19043,0.043461054,0.001287502
403010,19043,0.194963626,0.005775655
403011,19043,0.185020638,0.005481101
403012,19043,1.71E-04,5.05E-06
403019,19038,0.010576749,0.002406382
403020,19038,0.012130505,0.002759887
403021,19038,0.020432878,0.004648811
403022,19038,0.020070774,0.004566427
403023,19038,0.013589453,0.003091821
403024,19038,0.020774146,0.004726455
403025,19038,0.014188236,0.003228054
403026,19038,1.26E-04,2.88E-05
403028,19022,0.004325253,0.000484397
403029,19022,0.000965077,0.000108082
404039,5030,0.035990625,0.001602699
404040,5030,0.022106935,0.000984444
404041,5030,0.011721834,0.000521985
404042,5030,0.002670097,0.000118902
404042,5030,0.015753973,0.00070154
404043,5030,0.015672254,0.000697901
404044,5030,0.009974905,0.000444193
404048,5004,0.01597827,0.003815626
404049,5004,0.01680566,0.004013208
404050,5004,0.013151288,0.00314054
404051,5004,0.004471759,0.00106786
404051,19017,0.005463163,0.000148596
404052,5004,0.001899028,0.00045349
404052,19017,0.023993566,0.000652615
404053,19017,4.01E-04,1.09E-05
404054,19017,0.014949497,0.00040662
404055,19017,0.04062167,0.001104892
404056,19017,0.030394783,0.000826725
404057,19017,0.015373434,0.000418151
404058,19017,0.033281258,0.000905236
404059,19017,0.031574763,0.00085882
404060,19017,0.016966359,0.000461478
404061,19017,0.002350665,6.39E-05
404068,19043,0.00930856,0.000275759
404069,19043,0.17176131,0.005088303
404077,19038,0.006015743,0.001368679
404078,19038,0.006163005,0.001402184
404078,19038,0.012432584,0.002828615
404079,19038,0.009179928,0.002088582
404080,19038,5.55E-05,1.26E-05
404080,19038,0.013628851,0.003100785
404081,19038,0.020025303,0.004556081
404082,19038,0.017851104,0.004061416
404083,19038,0.021451463,0.004880556
404084,19022,0.000999146,0.000111897
404084,19038,0.020008082,0.004552163
404085,19022,0.001615953,0.000180975
404085,19038,0.006093973,0.001386478
404086,19022,1.29E-04,1.44E-05
404087,19022,0.022795775,0.002552964
404088,19022,0.017369042,0.001945209
405098,5030,0.029656531,0.001320635
405099,5030,0.00652592,0.000290606
405100,5030,0.021692542,0.000965991
405100,5030,8.68097E-05,3.87E-06
405101,5030,0.00335172,0.000149256
405101,5030,0.005702871,0.000253955
405101,5030,0.005254298,0.000233979
405102,5030,0.020125547,0.000896211
405103,5030,0.016265047,0.000724299
405104,5030,0.000253565,1.13E-05
405107,5004,0.009513531,0.00227184
405108,5004,0.013724569,0.00327744
405108,5004,0.005739765,0.001370662
405109,5004,0.002518988,0.000601537
405109,5004,0.001164711,0.000278134
405110,5004,0.000594861,0.000142053
405111,5004,0.009957454,0.00237785
405111,19017,0.000979873,2.67E-05
405112,5004,0.008221784,0.00196337
405112,19017,0.012724664,0.000346106
405113,5004,0.002197724,0.000524819
405113,19017,0.025063238,0.00068171
405114,5004,0.002957314,0.000706209
405114,19017,0.026065694,0.000708976
405115,5004,0.000126416,3.02E-05
405115,19017,0.039250808,0.001067606
405116,5004,0.001979407,0.000472684
405116,19017,0.030548217,0.000830899
405117,5004,0.003503776,0.000836705
405117,19017,0.009676044,0.000263184
405118,5004,0.005179895,0.001236964
405119,5004,0.008441339,0.0020158
405120,5004,0.004032918,0.000963065
