GRIDCODE,CID,Fracc
400862,05030,0.002385912
400862,05030,0.010346469
400862,05030,0.000518141
400863,05030,0.005379308
400863,05030,0.006664173
400863,05030,0.001207041
400864,05030,0.000658994
400864,05030,0.001845703
400864,05030,0.002675635
400864,05030,0.008070191
400865,05030,1.59368E-08
400865,05030,0.007131354
400865,05030,0.006119153
400866,05030,0.002809213
400866,05030,0.005644406
400866,05030,0.000529664
400866,05030,0.004267239
400867,05030,0.006612044
400867,05030,0.006625014
400867,05030,1.34647E-05
400868,05030,0.003638754
400868,05030,0.001436545
400868,05030,0.002745797
400868,05030,0.005429426
400869,05030,0.011382619
400869,05030,0.000204457
400869,05030,0.000656479
400870,05030,0.002955412
400870,05030,2.30033E-05
400871,05030,5.4606E-07
400871,05030,0.001320171
400872,05030,0.003997031
400872,19017,0.004876832
400873,19017,0.001538241
400873,19017,0.003272536
400873,19017,0.016747708
400874,19017,0.016525295
400874,19017,0.003374104
400875,19017,0.006230011
400875,19017,0.007789716
400876,19017,0.008831881
400876,19017,0.008874358
400877,19017,0.004016432
400877,19017,0.004861922
400878,19017,0.014464558
400878,19017,0.007170988
400879,19017,0.014835037
400879,19017,0.001277259
400879,19017,0.005907973
400880,19017,0.000118612
400880,19017,0.014696258
400880,19017,0.007205399
400881,19017,0.013347665
400881,19017,0.008672604
400882,19017,0.001221329
400882,19017,9.68518E-06
400882,19017,0.017770716
400883,19017,0.000863759
400883,19017,0.000179328
400883,19017,0.004114324
400883,19017,0.007256756
400884,19017,0.006481583
400884,19017,0.007996903
400884,19017,5.68314E-05
400885,19017,0.001895863
400885,19017,0.013898452
400885,19017,0.002107201
400886,19017,0.006955727
400886,19017,0.001268308
400887,19017,3.5705E-08
400887,19017,0.000176657
400887,19017,0.008466954
400887,19017,0.001504145
400888,19017,6.56768E-05
400888,19017,0.010407262
400888,19017,0.007866831
400888,19017,0.0036805
400889,19017,0.01010586
400889,19017,0.004407725
400889,19017,0.003744377
400889,19017,0.003762307
400890,19017,0.000680511
400890,19017,0.017589358
400890,19043,0.002128185
400890,19043,0.003185298
400890,19043,0.002255712
400891,19017,0.000359917
400891,19043,0.022083588
400891,19043,0.000637436
400891,19043,0.002069711
400891,19043,0.018924981
400892,19043,0.003910744
400892,19043,0.013209118
400892,19043,0.006241728
400892,19043,0.021080525
400893,19043,0.002987909
400893,19043,0.004126864
400893,19043,0.037327341
400894,19043,0.022169941
400894,19043,0.006830336
400895,19038,0.000175085
400895,19038,1.26227E-08
400895,19038,0.001341418
400895,19043,0.001245257
400895,19043,0.013218169
400895,19043,0.024018963
400896,19038,0.000483795
400896,19038,0.008846646
400896,19038,1.70204E-05
400896,19038,0.006066523
400896,19038,3.34432E-05
400896,19043,0.005865456
400896,19043,0.000466853
400897,19038,0.012365725
400897,19038,0.001680607
400897,19038,0.003580981
400897,19043,9.88276E-05
400897,19043,0.000855567
400898,19038,0.006160711
400898,19038,0.011853457
400899,19038,0.004537761
400899,19038,0.002044985
400899,19038,0.011431421
400900,19038,0.014539949
400900,19038,0.000526908
400900,19038,0.002947311
400901,19038,9.01468E-05
400901,19038,0.014813053
400902,19038,0.009729317
400903,19038,0.004466772
400904,19038,0.016916587
400905,19038,0.006141848
400905,19038,0.01176265
400906,19038,0.018002987
400906,19038,1.11807E-05
400907,19038,0.013273809
400907,19038,0.004605433
400908,19038,0.000181504
400908,19038,0.003221685
400909,19038,0.005674159
400910,19038,0.010055282
400910,19038,0.000665631
400911,19022,0.003245827
400911,19038,0.000977261
400911,19038,0.000521732
400911,19038,0.002041989
400911,19038,0.006316989
401921,05030,0.000124239
401921,05030,0.010809253
401922,05030,1.57466E-05
401922,05030,0.004688093
401922,05030,0.002195578
401922,05030,0.00508544
401923,05030,0.003951373
401923,05030,0.002981364
401923,05030,0.000783401
401923,05030,0.005174808
401924,05030,0.010672471
401924,05030,6.68073E-06
401924,05030,0.002571371
401925,05030,0.008823599
401925,05030,0.004426923
401926,05030,2.30269E-08
401926,05030,0.013250499
401927,05030,0.000195423
401927,05030,0.003788932
401927,05030,0.009266167
401928,05030,0.004531719
401928,05030,0.005295334
401928,05030,0.00342347
401929,05004,0.000152473
401929,05004,0.000214637
401929,05030,0.00203219
401929,05030,0.005899909
401929,05030,0.004653318
401930,05004,0.001764233
401930,05004,5.59157E-05
401930,05004,0.000742395
401930,05030,2.86787E-05
401930,05030,0.006431764
401930,05030,0.002147435
401931,05004,0.002661616
401931,05004,0.000163703
401931,05030,0.003920416
401931,19017,0.003545035
401931,19017,0.001393615
401932,19017,0.003997762
401932,19017,0.009545281
401932,19017,0.000312202
401933,19017,0.005011494
401933,19017,0.002063758
401934,19017,0.011818213
401935,19017,0.005942471
401935,19017,0.001143134
401935,19017,0.000173185
401936,19017,0.004008155
401936,19017,0.013031621
401936,19017,0.00083128
401937,19017,0.01836662
401937,19017,0.002829873
401937,19017,0.000794004
401938,19017,0.002785282
401938,19017,0.012897619
401938,19017,0.006094849
401939,19017,2.10927E-06
401939,19017,0.01564905
401940,19017,0.000281912
401940,19017,0.002100989
401940,19017,0.000624265
401940,19017,0.005420587
401941,19017,0.004436477
401941,19017,0.001622922
401941,19017,0.011039643
