GRIDCODE	CVE_ENTMUN	Fpav
400862	5030	0.024450274
400876	19017	0.180263316
400877	19017	0.04147534
400900	19038	0.008475404
400901	19038	0.06800675
400905	19038	0.076523452
400906	19038	0.039364751
401921	5030	0.026283072
401934	19017	0.152171721
401935	19017	0.122887145
401960	19038	0.019451461
401961	19038	0.01388199
401963	19038	0.060843417
401964	19038	0.055815107
401965	19038	0.004323107
402980	5030	0.004480196
402981	5030	0.019781689
402992	19017	0.067010308
402993	19017	0.290189607
403020	19038	0.031854668
403021	19038	0.04712395
403022	19038	0.041919648
403023	19038	0.046134286
404040	5030	0.023981007
404041	5030	0.002614861
404042	5030	0.007814601
404049	5004	0.001858601
404050	5004	0.013050324
404051	5004	0.034162679
404051	19017	0.146002563
404078	19038	0.00431595
404079	19038	0.102268016
404080	19038	0.035246908
404082	19038	0.014974278
404083	19038	0.030854243
405098	5030	0.003853651
405099	5030	0.045643175
405100	5030	0.025968352
405101	5030	0.017355483
405102	5030	0.025455508
405103	5030	0.024452278
405104	5030	0.024236438
405105	5004	0.003610293
405105	5030	0.020880142
405106	5004	0.020309899
405107	5004	0.025250288
405108	5004	0.038576339
405109	5004	0.036957011
405118	5004	0.017045195
405119	5004	0.019841851
405120	5004	0.007229479
405136	19038	0.001919753
405137	19038	0.089967698
405142	19038	0.014311221
405143	19022	0.000394964
405143	19038	0.034233512
405144	19022	0.04715423
405147	19022	0.009204376
406157	5030	0.021173747
406158	5030	0.037804415
406167	5004	0.007175227
406168	5004	0.032335139
406174	5004	0.013222887
406175	5004	0.020657162
406176	5004	0.020698953
406177	5004	0.002502835
406193	19004	0.002925329
406194	19004	0.131710541
406194	19038	0.029707859
406195	19038	0.063177606
406203	19022	0.047265698
406204	19022	0.141667473
406205	19022	0.128676589
406206	19022	0.167963684
407217	5030	0.029542133
407226	5004	0.020594398
407227	5004	0.024525592
407230	5004	0.004802401
407231	5004	0.020723892
407232	5004	0.020638768
407233	5004	0.007487453
407251	19004	0.072820639
407252	19004	0.239271366
407253	19004	0.048063382
407262	19022	0.03922583
407263	19022	0.077320219
407265	19022	0.013328966
408276	5030	0.005919918
408277	5030	0.023984043
408285	5004	0.041001402
408286	5004	0.001871224
408287	5004	0.020603114
408288	5004	0.02024981
408289	5004	0.034530922
408310	19004	0.184865667
408311	19004	0.058843549
408312	19004	0.096575746
408320	19022	0.028618191
408321	19022	0.088867709
409336	5030	0.013494449
409337	5030	0.024176226
409344	5004	0.04143602
409345	5004	0.019992222
409348	5004	0.008864101
409349	5004	0.016719391
409360	19049	0.011804464
409361	19049	0.00739817
409365	19049	0.051096444
409366	19049	0.00762222
409368	19049	0.060739342
409369	19004	0.07536653
409369	19049	0.000123938
409371	19004	0.084668791
409378	19022	0.026981884
409379	19022	0.095317316
410396	5030	0.025524891
410403	5004	0.04398639
410404	5004	0.01181172
410408	5004	0.022961471
410409	5004	0.018284971
410420	19049	0.03556022
410422	19049	0.023302565
410423	19049	0.036750548
410424	19049	0.008120852
410425	19049	0.036960901
410426	19049	0.040435486
410427	19049	0.037376083
410430	19004	0.00488846
410430	19009	0.016126839
410434	19009	0.004730344
410434	19038	0.003174617
410435	19009	0.019447446
410436	19009	0.009290779
410437	19009	0.004124441
410437	19022	0.088012871
411455	5030	0.018974139
411456	5030	0.005163054
411462	5004	0.040168414
411468	5004	0.012606229
411469	5004	0.017113844
411479	19049	0.028398927
411480	19049	0.031796082
411481	19049	0.014644907
411484	19049	0.040272307
411485	19049	0.068271604
411489	19009	0.017113248
411492	19038	0.031513425
411493	19009	0.006101385
411493	19038	0.017741236
411495	19009	0.008427957
411496	19009	0.006390104
412514	5030	0.030041353
412515	5030	0.079700863
412516	5030	0.048489435
412517	5030	0.048768631
412518	5004	0.019311723
412518	5030	0.020040619
412519	5004	0.018899255
412520	5004	0.012732731
412521	5004	0.057571387
412543	19049	0.089788629
412544	19049	0.031656
412548	19009	0.017303881
412550	19009	0.001323698
412550	19038	0.002962587
412551	19038	0.009913097
413570	5030	0.050204948
413571	5030	0.049168093
413572	5030	0.050143997
413573	5030	0.024873716
413574	5030	0.025944075
413578	5004	0.000738107
413579	5004	0.056726331
413580	5004	0.013202114
413601	19049	0.039744008
413602	19049	0.074755399
413603	19049	0.011977499
413604	19049	0.032051301
413607	19009	0.017348842
414633	5027	0.002014611
414633	5030	0.04054503
414634	5030	0.020831916
414637	5004	0.034238117
414637	5027	0.021799412
414638	5004	0.001122326
414660	19049	0.068961913
414662	19009	0.003975651
414662	19049	0.016722413
414663	19009	0.001537635
414663	19049	0.037946751
414664	19009	0.014066981
414666	19009	0.017287359
414668	19009	0.002817198
415691	5027	0.002087846
415692	5027	0.023125305
415692	5030	0.006514734
415693	5027	0.044091706
415693	5030	0.001724849
415696	5027	0.052569948
415718	19039	0.014752266
415718	19049	0.028761772
415719	19049	0.026959254
415720	19009	0.000530659
415721	19009	0.022941205
415723	19009	0.011908397
415724	19009	0.018482614
415725	19009	0.017297781
415727	19009	0.02317187
416749	5027	0.010339555
416750	5027	0.033329325
416752	5027	0.038474526
416753	5027	0.034408779
416755	5027	0.051324829
416776	19039	0.015418995
416777	19039	0.058873221
416780	19009	0.003295283
416780	19031	0.045494356
416783	19009	0.003954713
416784	19009	0.0190168
416785	19009	0.008478458
416786	19009	0.018563322
417807	5027	0.020584541
417808	5027	0.031487249
417812	5027	0.037695793
417813	5027	0.035238731
417814	5027	0.054317244
417835	19039	0.069666158
417839	19031	0.052354037
417843	19009	0.02219072
417844	19009	0.020506722
417848	19009	0.015357002
417849	19009	0.002813461
417855	19042	0.020963432
418865	5027	0.02225467
418866	5027	0.011113899
418872	5027	0.014522704
418873	5027	0.045928379
418874	5027	0.00157243
418893	19039	0.069242763
418894	19039	0.015531398
418898	19031	0.053863239
418901	19009	0.013305901
418902	19009	0.045777318
418903	19009	0.019993253
418904	19009	0.0253484
418905	19009	0.01854597
418906	19009	0.018152394
418907	19009	0.002899267
418908	19009	0.01501369
418909	19009	0.017308503
418910	19009	0.017263668
418911	19009	0.000577834
418911	19042	0.032757491
418912	19042	0.027379148
418914	19042	0.034436065
419924	5027	0.027978855
419933	5027	0.030986565
419934	5027	0.026979279
419935	5027	0.007639432
419952	19039	0.066446103
419957	19031	0.055543143
419958	19031	0.00249011
419959	19009	0.012826311
419959	19031	0.024718905
419960	19009	0.036950005
419961	19009	0.042321862
419962	19009	0.019734591
419963	19009	0.049161145
419964	19009	0.035002888
419965	19009	0.035271403
419966	19009	0.03525409
419967	19009	0.034784484
419968	19009	0.034096736
419969	19009	0.034095305
