GRIDCODE,ID,furb,frural,FpoT, PobUrb, PobR,PobU+R, PobT
0,frac,,,,,,,
400862,5030,0,0.0002689,0.00026892,0,195,195,725123
400871,5030,0,0.0000124,1.24E-05,0,9,9,725123
400872,19017,0,0.0058847,0.005884673,0,194,194,32967
400875,19017,0,0.0134377,0.01343768,0,443,443,32967
400876,19017,0,0.0000607,6.07E-05,0,2,2,32967
400882,19017,0,0.000091,9.10E-05,0,3,3,32967
400883,19017,0,0.007098,0.007098007,0,234,234,32967
400886,19017,0,0.001365,0.001365001,0,45,45,32967
400894,19043,0,0.0838112,0.083811204,0,190,190,2267
400900,19038,0,0.0001184,0.000118417,0,7,7,59113
400901,19038,0,0.0002368,0.000236835,0,14,14,59113
400902,19038,0,0.0003722,0.000372169,0,22,22,59113
400903,19038,0,0.0017932,0.001793176,0,106,106,59113
400904,19038,0,0.0010996,0.001099589,0,65,65,59113
400905,19038,0,0.0025206,0.002520596,0,149,149,59113
400906,19038,0,0.0011334,0.001133422,0,67,67,59113
400907,19038,0,0.0001184,0.000118417,0,7,7,59113
400908,19038,0,0.0000846,8.46E-05,0,5,5,59113
401922,5030,0,0.0000069,6.90E-06,0,5,5,725123
401931,5004,0,0.0113999,0.011399929,0,257,257,22544
401932,19017,0,0.0000303,3.03E-05,0,1,1,32967
401934,19017,0,0.0001213,0.000121333,0,4,4,32967
401937,19017,0,0.0064003,0.00640034,0,211,211,32967
401939,19017,0,0.0000607,6.07E-05,0,2,2,32967
401940,19017,0,0.0055813,0.005581339,0,184,184,32967
401951,19043,0,0.0035289,0.003528893,0,8,8,2267
401953,19043,0,0.0392589,0.039258933,0,89,89,2267
401960,19038,0,0.0023007,0.002300678,0,136,136,59113
401961,19038,0,0.0003722,0.000372169,0,22,22,59113
401962,19038,0,0.0002368,0.000236835,0,14,14,59113
401963,19038,0,0.0003553,0.000355252,0,21,21,59113
401964,19038,0,0.0021315,0.002131511,0,126,126,59113
401965,19038,0,0.0003214,0.000321418,0,19,19,59113
402981,5030,0,0.0020424,0.002042412,0,1481,1481,725123
402982,5030,0,0.0000483,4.83E-05,0,35,35,725123
402984,5030,0,0.0000234,2.34E-05,0,17,17,725123
402988,5004,0,0.0001774,0.000177431,0,4,4,22544
402989,5004,0,0.0003992,0.000399219,0,9,9,22544
402990,5004,0,0.0018187,0.001818666,0,41,41,22544
402991,5004,0,0.0001774,0.000177431,0,4,4,22544
402992,19017,0,0.0000303,3.03E-05,0,1,1,32967
