GRIDCODE,LONG,LATITUDE,Huso,POB,UTMX,UTMY,UTMZ
50,50,"EI 2016 for Monterrey-Saltillo Area V4.0",,,,,
400862,-101.109708,25.134039,6,195,2589321.77420,1454649.06160,14
400863,-101.079807,25.133867,6,0,2592321.77420,1454649.06160,14
400864,-101.049906,25.13369,6,0,2595321.77420,1454649.06160,14
400865,-101.020006,25.133506,6,0,2598321.77420,1454649.06160,14
400866,-100.990105,25.133318,6,0,2601321.77420,1454649.06160,14
400867,-100.960204,25.133123,6,0,2604321.77420,1454649.06160,14
400868,-100.930304,25.132923,6,0,2607321.77420,1454649.06160,14
400869,-100.900403,25.132717,6,0,2610321.77420,1454649.06160,14
400870,-100.870503,25.132505,6,0,2613321.77420,1454649.06160,14
400871,-100.840603,25.132288,6,9,2616321.77420,1454649.06160,14
400872,-100.810703,25.132065,6,194,2619321.77420,1454649.06160,14
400873,-100.780803,25.131837,6,0,2622321.77420,1454649.06160,14
400874,-100.750903,25.131603,6,0,2625321.77420,1454649.06160,14
400875,-100.721003,25.131363,6,443,2628321.77420,1454649.06160,14
400876,-100.691103,25.131117,6,2,2631321.77420,1454649.06160,14
400877,-100.661204,25.130866,6,0,2634321.77420,1454649.06160,14
400878,-100.631304,25.130609,6,0,2637321.77420,1454649.06160,14
400879,-100.601405,25.130346,6,0,2640321.77420,1454649.06160,14
400880,-100.571506,25.130078,6,0,2643321.77420,1454649.06160,14
400881,-100.541607,25.129804,6,0,2646321.77420,1454649.06160,14
400882,-100.511708,25.129524,6,3,2649321.77420,1454649.06160,14
400883,-100.481809,25.129239,6,234,2652321.77420,1454649.06160,14
400884,-100.45191,25.128948,6,0,2655321.77420,1454649.06160,14
400885,-100.422012,25.128652,6,0,2658321.77420,1454649.06160,14
400886,-100.392113,25.128349,6,45,2661321.77420,1454649.06160,14
400887,-100.362215,25.128041,6,0,2664321.77420,1454649.06160,14
400888,-100.332317,25.127728,6,0,2667321.77420,1454649.06160,14
400889,-100.302419,25.127408,6,0,2670321.77420,1454649.06160,14
400890,-100.272521,25.127083,6,0,2673321.77420,1454649.06160,14
400891,-100.242623,25.126753,6,0,2676321.77420,1454649.06160,14
400892,-100.212726,25.126416,6,0,2679321.77420,1454649.06160,14
400893,-100.182828,25.126074,6,0,2682321.77420,1454649.06160,14
400894,-100.152931,25.125726,6,190,2685321.77420,1454649.06160,14
400895,-100.123034,25.125373,6,0,2688321.77420,1454649.06160,14
400896,-100.093137,25.125014,6,0,2691321.77420,1454649.06160,14
400897,-100.06324,25.124649,6,0,2694321.77420,1454649.06160,14
400898,-100.033344,25.124279,6,0,2697321.77420,1454649.06160,14
400899,-100.003447,25.123903,6,0,2700321.77420,1454649.06160,14
400900,-99.973551,25.123521,6,7,2703321.77420,1454649.06160,14
400901,-99.943655,25.123134,6,14,2706321.77420,1454649.06160,14
400902,-99.913759,25.12274,6,22,2709321.77420,1454649.06160,14
400903,-99.883864,25.122342,6,106,2712321.77420,1454649.06160,14
400904,-99.853968,25.121937,6,65,2715321.77420,1454649.06160,14
400905,-99.824073,25.121527,6,149,2718321.77420,1454649.06160,14
400906,-99.794178,25.121111,6,67,2721321.77420,1454649.06160,14
400907,-99.764283,25.12069,6,7,2724321.77420,1454649.06160,14
400908,-99.734388,25.120263,6,5,2727321.77420,1454649.06160,14
400909,-99.704493,25.11983,6,0,2730321.77420,1454649.06160,14
400910,-99.674599,25.119391,6,0,2733321.77420,1454649.06160,14
400911,-99.644705,25.118947,6,0,2736321.77420,1454649.06160,14
401921,-101.109522,25.161258,6,0,2589321.77420,1457649.06160,14
401922,-101.079615,25.161086,6,5,2592321.77420,1457649.06160,14
401923,-101.049708,25.160909,6,0,2595321.77420,1457649.06160,14
401924,-101.019801,25.160725,6,0,2598321.77420,1457649.06160,14
401925,-100.989894,25.160537,6,0,2601321.77420,1457649.06160,14
401926,-100.959988,25.160342,6,0,2604321.77420,1457649.06160,14
401927,-100.930081,25.160142,6,0,2607321.77420,1457649.06160,14
401928,-100.900174,25.159936,6,0,2610321.77420,1457649.06160,14
401929,-100.870268,25.159724,6,0,2613321.77420,1457649.06160,14
401930,-100.840361,25.159507,6,0,2616321.77420,1457649.06160,14
401931,-100.810455,25.159284,6,257,2619321.77420,1457649.06160,14
401932,-100.780549,25.159056,6,1,2622321.77420,1457649.06160,14
401933,-100.750642,25.158821,6,0,2625321.77420,1457649.06160,14
401934,-100.720736,25.158581,6,4,2628321.77420,1457649.06160,14
