GRIDCODE,CVENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
177395,16079,65011.07078,4829.674553
177396,16079,65011.07078,2306.438383
177398,16079,65011.07078,1822.362476
177399,16079,65011.07078,6865.306995
177400,16079,65011.07078,2275.693387
177401,16082,217669.0067,6802.95227
177401,16066,189754.0498,67.04599319
177406,16049,48541.72469,319.5856742
177407,16049,48541.72469,6371.025376
177408,16049,48541.72469,3771.079207
177408,16049,48541.72469,3329.434252
177408,16049,48541.72469,1897.456429
177422,16101,60880.72688,800.0805114
177423,16101,60880.72688,4573.167796
177424,16101,60880.72688,3794.178916
177438,16112,132791.9026,3453.434651
177438,16112,132791.9026,2314.766139
177439,16112,132791.9026,7936.923489
177439,16112,132791.9026,1417.205709
177448,15111,157908.0938,2334.461943
177448,15111,157908.0938,458.4268962
177448,15111,157908.0938,4898.620846
177448,15111,157908.0938,1378.207473
177448,15111,157908.0938,1510.391641
177449,15111,157908.0938,5037.9917
177449,15111,157908.0938,2636.889911
177449,15111,157908.0938,10.27799521
177450,15111,157908.0938,828.5797716
177450,15111,157908.0938,3422.895163
177450,15111,157908.0938,2159.733971
177450,15111,157908.0938,1374.526086
177450,15111,157908.0938,701.8401174
177451,15111,157908.0938,1504.5951
177451,15111,157908.0938,837.2437279
177451,15111,157908.0938,1247.274914
177452,15114,174631.4686,291.6180289
177452,15111,157908.0938,5512.301182
177456,15114,174631.4686,6088.333452
177458,15005,240132.966,6134.34665
177459,15005,240132.966,1833.14085
177460,15005,240132.966,7421.029
177461,15005,240132.966,544.1673489
177461,15005,240132.966,624.4745391
177461,15005,240132.966,752.8950676
177461,15005,240132.966,1674.147909
177462,15005,240132.966,2098.17416
177462,15106,419115.48,357.7847396
177462,15005,240132.966,2742.63205
177462,15005,240132.966,5055.209349
177463,15106,419115.48,5579.192544
177463,15106,419115.48,1323.667321
177463,15106,419115.48,1892.155677
177464,15106,419115.48,8230.001713
177465,15106,419115.48,1426.919033
177466,15106,419115.48,4425.80418
177466,15067,86676.09969,1661.515591
177466,15106,419115.48,3089.262023
177466,15106,419115.48,1632.795125
177466,15106,419115.48,2259.429475
177466,15067,86676.09969,922.3146671
177466,15067,86676.09969,220.4812687
177466,15067,86676.09969,199.650118
177467,15106,419115.48,2045.393089
177467,15106,419115.48,862.1595037
177467,15106,419115.48,1004.41166
177467,15106,419115.48,4802.006513
177467,15106,419115.48,4556.570866
177467,15067,86676.09969,2173.993162
177467,15106,419115.48,563.5134358
177467,15106,419115.48,936.3306831
177468,15106,419115.48,2259.133931
177468,15106,419115.48,3131.955194
177468,15106,419115.48,2423.250147
177468,15106,419115.48,3665.729018
177468,15106,419115.48,3030.990876
177468,15106,419115.48,567.8502502
177468,15106,419115.48,2302.518655
177468,15106,419115.48,489.1906374
177469,15106,419115.48,492.6714197
177469,15106,419115.48,213.5522631
177469,15051,171828.5192,2971.013277
177469,15106,419115.48,555.1964019
177469,15106,419115.48,3277.677762
177469,15051,171828.5192,3753.310509
177470,15051,171828.5192,1385.911811
177471,15051,171828.5192,7092.971916
177472,15051,171828.5192,3981.661353
177472,15051,171828.5192,3874.29403
177474,15037,172664.7861,686.4863488
177474,15037,172664.7861,154.5004287
177475,15037,172664.7861,313.8450815
177475,15037,172664.7861,2403.535797
177475,15037,172664.7861,7383.861622
177475,15037,172664.7861,3328.666685
177475,15037,172664.7861,2464.501878
177475,15037,172664.7861,3012.189595
177476,15037,172664.7861,2124.376803
177476,15037,172664.7861,2901.453421
177476,15037,172664.7861,3395.863217
177476,15037,172664.7861,3632.278982
177476,15037,172664.7861,381.7702683
177476,15037,172664.7861,5329.859351
177476,15037,172664.7861,2918.310701
177476,15037,172664.7861,3407.831149
177477,15037,172664.7861,6760.090896
177477,09004,168339.3265,6678.608288
177477,15037,172664.7861,105.7019969
177477,09004,168339.3265,777.1805139
177478,15037,172664.7861,6131.704366
177478,09004,168339.3265,389.7049674
177478,09004,168339.3265,816.8715049
177478,09004,168339.3265,488.9468567
177478,09004,168339.3265,1563.752188
177479,09004,168339.3265,1423.115994
177479,09010,99600.65871,4130.43265
177479,09004,168339.3265,549.7487654
177479,09010,99600.65871,4805.860692
177479,09004,168339.3265,1479.619815
177479,09010,99600.65871,925.0081873
177479,09010,99600.65871,2247.733419
177480,09010,99600.65871,6306.79928
177480,09010,99600.65871,420.3515473
177481,09010,99600.65871,4325.384778
177481,09014,72320.09066,2043.677437
177481,09010,99600.65871,4795.254291
177481,09014,72320.09066,2255.277061
177482,09014,72320.09066,1229.619003
177482,09010,99600.65871,2242.119966
177482,09014,72320.09066,2965.230202
177482,09003,62288.35673,2761.11813
177482,09014,72320.09066,1216.503599
177482,09014,72320.09066,2780.432424
177482,09014,72320.09066,1967.816024
177483,09003,62288.35673,835.1446073
177483,09003,62288.35673,1224.360768
177483,09003,62288.35673,274.1890037
