GRIDCODE,CVENTMUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
177387,16111,208109.4936,4491.6784
177388,16087,183840.2301,1208.33201
177391,16079,617982.9492,9812.093533
177392,16079,617982.9492,13780.99238
177393,16079,617982.9492,1791.058892
177394,16079,617982.9492,13728.31792
177395,16079,617982.9492,39636.10688
177396,16079,617982.9492,59947.83652
177397,16079,617982.9492,7303.431276
177399,16079,617982.9492,18381.87916
177400,16079,617982.9492,1571.049339
177401,16082,871159.2953,5254.96213
177406,16049,143697.5534,2263.655298
177407,16049,143697.5534,1357.928334
177408,16049,143697.5534,58328.11014
177409,16049,143697.5534,11193.49061
177412,16049,143697.5534,511.3652247
177413,16049,143697.5534,178.1507783
177424,16101,67100.42582,7999.281631
177432,16099,194659.4015,1898.559004
177434,16047,170901.4317,1391.744797
177436,16047,170901.4317,7354.128605
177437,16112,1844959.2,5154.031228
177438,16112,1844959.2,13064.76847
177439,16112,1844959.2,3371.372735
177440,16112,1844959.2,6631.834744
177441,16112,1844959.2,19449.57996
177442,16112,1844959.2,206.6285284
177446,15111,1017529.382,14970.82754
177447,15111,1017529.382,43917.12521
177448,15111,1017529.382,56701.50128
177449,15111,1017529.382,51338.11544
177450,15111,1017529.382,33246.59732
177451,15111,1017529.382,20138.81387
177452,15111,1017529.382,8934.90157
177452,15114,1798667.442,35646.77121
177453,15114,1798667.442,32993.00416
177454,15114,1798667.442,50002.95008
177455,15114,1798667.442,27324.83879
177456,15005,1974595.661,7254.531246
177456,15114,1798667.442,27868.52368
177457,15005,1974595.661,24564.86193
177457,15114,1798667.442,5265.460241
177458,15005,1974595.661,4658.381784
177459,15005,1974595.661,59167.49093
177460,15005,1974595.661,60440.515
177461,15005,1974595.661,106743.3853
177462,15005,1974595.661,138369.1104
177462,15106,6408896.85,2089.085857
177463,15106,6408896.85,67682.27155
177464,15106,6408896.85,98114.34483
177465,15106,6408896.85,164109.5001
177466,15067,768783.274,495.3218267
177466,15106,6408896.85,200178.1937
177467,15067,768783.274,29214.79513
177467,15106,6408896.85,143019.9629
177468,15051,1697892.413,1219.181291
177468,15067,768783.274,19397.93931
177468,15106,6408896.85,123571.6634
177469,15051,1697892.413,33722.5156
177469,15106,6408896.85,30624.6549
177470,15051,1697892.413,35021.50395
177471,15051,1697892.413,123052.4841
177472,15051,1697892.413,88336.10529
177473,15051,1697892.413,32333.03537
177474,15037,1571882.782,3911.925233
177475,15037,1571882.782,88448.43481
177476,15037,1571882.782,144506.9788
177477,09004,798687.1834,37647.81205
177477,15037,1571882.782,44545.57005
177478,09004,798687.1834,180066.937
177478,15037,1571882.782,56254.30334
177479,09004,798687.1834,51761.4445
177479,09010,1985499.808,159104.5104
177480,09010,1985499.808,352151.3619
177481,09010,1985499.808,255763.668
177481,09014,683338.5535,35393.12682
177482,09003,1624227.679,28388.97607
177482,09010,1985499.808,34064.00768
177482,09014,683338.5535,143224.7217
177483,09003,1624227.679,43255.97304
177483,09006,821414.7131,6902.951774
177483,09007,4282985.822,84841.47627
177483,09014,683338.5535,134196.5264
177484,09003,1624227.679,19798.76679
177484,09006,821414.7131,7764.440102
177484,09007,4282985.822,322788.9565
177485,09007,4282985.822,247461.9091
177486,09007,4282985.822,256182.9059
178446,16111,208109.4936,4353.11975
178448,16079,617982.9492,2182.458432
178449,16079,617982.9492,7281.752255
178451,16079,617982.9492,17194.58806
178452,16079,617982.9492,506.0141714
178453,16079,617982.9492,4826.542541
178454,16079,617982.9492,15215.65274
178455,16079,617982.9492,66031.85564
178456,16079,617982.9492,85581.22844
178457,16066,817845.5763,1805.90247
178457,16079,617982.9492,1460.009263
178458,16066,817845.5763,6589.184001
178458,16079,617982.9492,1447.98475
178467,16049,143697.5534,5124.502103
178469,16049,143697.5534,409.7089639
178470,16049,143697.5534,16981.13999
178476,16049,143697.5534,2426.616277
178480,16101,67100.42582,28522.0277
178493,16047,170901.4317,5973.568916
178495,16047,170901.4317,6290.641575
178496,16112,1844959.2,7690.888578
178498,16112,1844959.2,19179.03265
178499,16112,1844959.2,52280.87339
178500,16112,1844959.2,126195.3127
178501,16112,1844959.2,98306.00872
178502,16112,1844959.2,45585.24171
178506,15111,1017529.382,42771.01756
178507,15111,1017529.382,49893.9241
178508,15111,1017529.382,30017.33068
178509,15111,1017529.382,70131.98636
178510,15111,1017529.382,31660.88678
178510,15114,1798667.442,17695.7383
178511,15114,1798667.442,59675.44509
178512,15114,1798667.442,71351.12585
178513,15114,1798667.442,48413.66286
178514,15114,1798667.442,19155.34044
178515,15114,1798667.442,41760.65428
178516,15005,1974595.661,9654.767994
178516,15114,1798667.442,6157.318466
178517,15005,1974595.661,22294.71438
178518,15005,1974595.661,41104.96377
178519,15005,1974595.661,34031.47976
178520,15005,1974595.661,24329.36478
178521,15005,1974595.661,20668.28598
178521,15106,6408896.85,136.3214067
178522,15005,1974595.661,9358.859061
178522,15106,6408896.85,73491.41279
178523,15106,6408896.85,79082.93733
178524,15067,768783.274,338.6274561
178524,15106,6408896.85,76427.25833
178525,15067,768783.274,49934.78672
178525,15087,932188.8642,15844.66204
178525,15106,6408896.85,22127.47824
178526,15067,768783.274,36619.63611
178526,15087,932188.8642,22577.266
178527,15051,1697892.413,105.3610625
178527,15067,768783.274,65434.53593
178527,15087,932188.8642,56549.57407
178528,15051,1697892.413,36872.58124
178528,15067,768783.274,21074.15896
178528,15115,445404.2704,50466.88157
178529,15051,1697892.413,69719.11138
178529,15115,445404.2704,74664.55588
178530,15051,1697892.413,116118.9907
178530,15115,445404.2704,14044.33488
178531,15051,1697892.413,155800.0689
178532,15051,1697892.413,9738.9708
178533,15037,1571882.782,5649.60951
178534,15037,1571882.782,54166.34576
178535,15037,1571882.782,60106.81608
178536,15037,1571882.782,108989.5612
