GRIDCODE,CVE_ENTCVE_MUN,Fa
177387,16111,0.044241895
177389,16111,0.016701327
177390,16079,0.010238248
177390,16111,0.022380233
177391,16079,0.047614021
177392,16079,0.066648474
177393,16079,0.066859905
177394,16079,0.066859905
177395,16079,0.066859905
177396,16079,0.056965995
177397,16079,0.042949394
177398,16079,0.05793188
177399,16079,0.050625899
177400,16079,0.011504381
177400,16082,0.124327066
177401,16082,0.254511287
177403,16082,0.028948537
177404,16082,0.222990015
177405,16001,0.002785945
177405,16082,0.201679654
177406,16001,0.003235743
177406,16049,0.207289928
177406,16082,0.015883482
177407,16049,0.238994901
177408,16049,0.260892852
177409,16049,0.024413821
177420,16101,0.006618247
177421,16101,0.154023066
177422,16101,0.000504796
177435,16047,0.046023631
177436,16047,0.000434541
177437,16112,0.017189943
177438,16112,0.027162939
177439,16112,0.004159042
177439,16112,0.000745148
177439,16112,0.002138272
177440,16112,2.09E-05
177440,16112,0.010574249
177441,16112,0.005307027
177446,15111,0.025544115
177447,15111,0.060630321
177448,15111,0.054814207
177449,15111,0.054904786
177450,15111,0.050127821
177451,15111,0.060622382
177451,15114,4.11E-06
177452,15111,0.014215465
177452,15114,0.024016508
177453,15114,0.031372037
177454,15114,0.031372037
177455,15114,0.031372037
177456,15005,0.000410616
177456,15005,0.000838066
177456,15005,0.007628099
177456,15114,0.016843382
177456,15114,0.003402303
177456,15114,0.003244432
177457,15005,0.008268209
177457,15005,0.0226813
177457,15114,0.002754848
177457,15114,0.001136329
177458,15005,0.001533469
177458,15005,6.09E-06
177458,15005,0.033792278
177459,15005,0.033795734
177459,15005,0.001536098
177460,15005,0.035331833
177461,15005,0.035331833
177462,15005,0.033392267
177462,15106,0.004566081
177463,15005,0.00085946
177463,15106,0.081154084
177464,15106,0.073856665
177464,15106,0.009320741
177465,15106,0.024204521
177465,15106,0.058972885
177466,15067,0.013748917
177466,15106,0.068187863
177466,15106,0.007860667
177467,15067,0.013583951
177467,15106,0.044557742
177467,15106,0.007070166
177468,15051,0.003423959
177468,15106,0.009586319
177468,15106,0.041146047
177469,15051,0.109600175
177469,15106,0.02001992
177470,15051,0.036375372
177470,15051,0.100485337
177471,15051,0.068480981
177471,15051,9.19E-05
177472,15051,0.093597981
177473,15051,0.103210184
177474,15037,0.227915017
177474,15051,0.057080661
177475,15037,0.251847537
177476,15037,0.291484863
177477,9004,0.879771011
177477,15037,0.06442528
177479,9004,0.120228989
177479,9010,1
178446,16090,2.86E-06
178446,16111,0.377007493
178451,16079,0.037780288
178452,16079,0.037154946
178453,16079,0.041002151
178454,16079,0.026117786
178455,16079,0.04752436
178456,16066,0.000283782
178456,16079,0.04032521
178457,16066,0.001232696
178457,16079,0.029474188
178458,16066,0.017552077
178458,16079,0.041217658
178459,16066,0.024406133
178459,16079,0.019420636
178459,16082,0.024816066
178460,16066,0.004201765
178460,16082,0.002683843
178462,16001,0.006841805
178462,16066,0.001224455
178463,16001,0.002670434
178463,16082,0.066016248
178464,16001,0.004930542
178464,16082,0.058143803
178465,16001,0.054094847
178465,16049,0.018045375
178466,16001,0.030978225
178466,16049,0.060103042
178467,16001,0.01196275
178467,16049,0.186776614
178479,16101,0.041434838
178480,16101,0.173768869
178481,16101,0.073796251
178494,16047,0.039649204
178495,16047,0.004851532
178495,16047,0.016635963
178495,16112,0.000572153
178496,16047,0.006337556
178496,16112,0.031243553
178497,16112,9.05E-06
178497,16112,0.037727569
178498,16112,0.031692718
178498,16112,0.001397986
178499,16112,0.020828544
178500,16112,0.020626149
178500,16112,0.002034023
178501,16112,0.019200316
178502,16112,0.013139224
178505,15111,0.025240921
178506,15111,0.059652623
178507,15111,0.060630321
178508,15111,0.060630321
178509,15111,0.060630321
178510,15111,0.039508917
178510,15114,0.01092888
178511,15114,0.031372037
178512,15114,0.031372037
178513,15114,0.01777715
178513,15114,0.000617453
178514,15114,0.010666531
178514,15114,0.010262398
178515,15005,0.003650894
178515,15114,0.00202328
178515,15114,0.026107035
178516,15005,0.019425852
178516,15114,4.96E-05
178516,15114,0.014073714
178517,15005,0.002293984
178517,15005,0.000199767
178517,15005,0.030814545
178517,15114,4.53E-05
178517,15114,0.001751419
178518,15005,0.03006202
178518,15005,0.005269813
178519,15005,0.030685553
178519,15005,0.00464628
178520,15005,0.035331833
178521,15005,0.032529802
178521,15106,0.006596478
178522,15005,0.003852241
178522,15106,0.074108548
178523,15106,0.083177406
178524,15106,0.075272579
178524,15106,0.007904827
178525,15067,0.040329283
178525,15087,0.012338369
178525,15106,0.046157992
178525,15106,0.000283
178526,15067,0.044181752
178526,15087,0.004532178
178527,15051,0.017687136
178527,15067,0.007577455
178527,15067,0.066243433
178527,15087,0.009433481
178527,15087,0.003836279
178527,15106,0.00594425
178527,15115,0.006923657
178528,15051,0.053421867
178528,15067,0.021561898
178528,15067,0.016312617
178528,15115,0.050952344
178528,15115,0.075196761
178529,15051,0.009629388
178529,15051,0.073545318
178529,15051,0.005505851
178529,15115,0.087830242
178529,15115,0.009233865
178529,15115,0.028264951
178530,15051,0.083926819
178530,15051,0.021963213
178530,15115,0.003079742
178530,15115,0.045118628
178531,15051,0.090091091
178532,15051,0.020251847
178533,15037,0.109608634
178533,15051,0.035341582
178534,15037,0.054718669
179505,16090,0.021473729
179505,16090,0.001203684
179505,16111,0.142258567
179505,16111,0.230560192
179506,16090,0.054710059
179509,16079,0.032263333
179510,16079,0.023929889
179511,16079,0.00047176
179514,16066,0.00069962
179514,16079,0.001402721
179515,16066,0.031866382
179515,16079,0.021183275
179516,16066,0.007265442
179517,16066,0.007803399
179518,16066,0.004740248
179519,16066,0.036461956
179521,16001,0.015771658
179521,16053,0.000567305
179521,16066,0.004960394
179522,16001,0.067855004
179522,16053,0.000113681
179523,16001,0.03263792
179524,16001,0.059767799
179524,16001,0.004637695
179525,16001,0.042249357
179526,16001,0.000959741
179538,16101,0.018694036
179539,16101,0.170929678
179540,16101,0.160847042
179541,16101,0.026332992
179553,16047,0.039499619
179554,16047,0.038499451
179554,16047,0.04983077
179555,16047,0.098748084
179555,16112,0.004404241
179556,16047,0.042134527
179556,16112,0.024265423
179557,16112,0.019955357
179557,16112,0.019091711
179558,16112,0.00022787
179558,16112,0.026947802
179559,16112,0.016382065
179559,16112,3.67E-05
179560,16112,0.038457345
179561,16112,0.016843315
179562,16112,0.018925229
179563,16112,0.004742135
179564,15111,0.009455125
179564,16112,0.004926303
179565,15111,0.060625261
179566,15111,0.060630321
179567,15111,0.060589274
179567,15114,2.12E-05
179568,15111,0.056140554
179568,15114,0.002323147
179569,15111,0.022276959
179569,15114,0.019845237
179570,15114,0.031372037
179571,15114,0.030097361
179572,15114,0.009917698
179572,15114,0.01214627
179573,15114,1.74E-05
179573,15114,0.026227206
179574,15114,0.004347283
179574,15114,0.027024754
179575,15005,0.008113982
179575,15005,0.000212644
179575,15114,0.016410205
179575,15114,0.007568408
179576,15005,0.013719373
179576,15005,0.008718073
179576,15114,0.0091619
179576,15114,0.002287355
179577,15005,0.002024501
179577,15005,0.00286398
179577,15005,0.029891023
179578,15005,0.000824017
179578,15005,0.03003228
179579,15005,0.007833919
179579,15005,0.00075479
179579,15005,0.025609995
179580,15005,0.027329219
179580,15005,0.008002614
179581,15005,0.021490034
179581,15087,0.019315631
179581,15106,0.01065338
179582,15087,0.010368315
179582,15106,0.071196508
179583,15087,0.001010784
179583,15106,0.071499901
179584,15087,0.054659689
179584,15106,0.015816904
179585,15067,0.01581458
179585,15087,0.065952436
179586,15067,0.097896391
179586,15067,0.006560829
179586,15087,0.025553643
179587,15067,0.156377866
179587,15067,3.19E-05
179587,15067,0.003607238
179587,15115,0.000783709
179588,15067,0.016531109
179588,15067,0.079180259
179588,15115,0.043857061
179588,15115,0.082651515
179589,15051,0.002702634
179589,15067,0.002132213
179589,15067,0.00957964
179589,15115,0.128016611
179589,15115,0.125313458
179590,15051,0.013586735
179590,15115,0.100341154
180564,16090,0.08371884
180564,16111,0.166850292
180565,16090,0.125818335
180566,16090,0.029967603
180568,16066,0.000915394
180568,16079,0.034664615
180569,16066,0.008479229
180569,16079,0.021009182
180573,16066,0.001543604
180574,16066,0.047149986
180575,16066,0.011550887
180576,16066,0.000512345
180577,16066,0.035134361
180578,16066,0.037543605
180579,16039,0.018320064
180579,16066,0.01094363
180580,16039,0.04144611
180580,16053,0.001616536
180580,16066,0.027235712
180581,16001,0.001740898
180581,16039,0.011909513
180581,16053,0.006483151
180582,16001,0.034481889
180582,16001,0.005719149
180582,16053,0.003355579
180583,16001,0.007362899
180583,16001,0.076324594
180584,16001,0.004167761
180584,16001,0.032870629
180584,16001,0.022453682
180585,16001,0.011866818
180586,16053,0.001772387
180587,16049,0.003483467
180587,16053,0.002193221
180597,16101,0.001360863
180598,16101,0.095694072
180599,16101,0.063759128
180600,16101,0.012236122
180612,16047,0.027166581
180613,16047,0.062870378
180613,16047,0.048431831
180614,16047,0.111302209
180615,16047,0.071210176
180615,16112,0.014065097
180616,16112,0.000800852
180616,16112,0.038246217
180617,16112,0.027877132
180617,16112,0.011169936
180618,16112,0.032759762
180618,16112,0.006287307
180619,16112,0.039047069
180620,16112,0.039047069
180621,16112,0.039047069
180622,16112,0.033181505
180623,15111,0.013697672
180623,16112,0.008821744
180624,15111,0.029478037
180625,15111,0.040307715
180625,15114,0.002120541
180626,15111,0.017143714
180626,15114,0.010082574
180627,15114,0.021991736
180628,15114,0.025353259
180629,15114,0.014864532
180630,15114,0.010459472
180630,15114,0.001871467
180631,15114,0.000163497
180631,15114,0.005756344
180631,15114,0.000661557
180631,15114,0.001262061
180632,15114,0.02405538
180632,15114,0.0004927
180632,15114,0.004452969
180633,15005,0.003951489
180633,15114,0.020921703
180633,15114,0.000918971
180633,15114,0.006022735
180634,15005,0.029063267
180634,15114,0.00556602
180635,15005,0.02459159
180636,15005,0.017834089
180636,15005,0.000733164
180637,15005,0.023920352
180637,15005,0.000891487
180638,15005,0.019557432
180638,15005,0.000181202
180638,15005,0.000700365
180638,15005,0.001101753
180638,15042,0.000256915
180639,15005,0.034179549
180639,15005,0.001152283
180640,15005,0.019866611
180640,15087,0.029144486
180641,15087,0.03629216
180641,15106,0.010759412
180642,15087,0.006164289
180642,15106,0.042376582
180643,15087,0.073252547
180644,15087,0.073252547
180645,15067,0.039233468
180645,15067,0.005877608
180645,15087,0.039372868
180645,15087,0.005860288
180646,15067,0.02042715
180646,15067,0.02049813
180647,15067,0.022554482
180647,15067,0.113520751
180648,15067,0.131822361
180648,15067,0.009809956
180648,15115,0.033695526
180649,15067,0.006822215
180649,15115,0.171733872
181623,16090,0.101438176
181624,16090,0.119389133
181625,16090,0.022258333
181625,16090,0.016441982
181626,16090,0.014395262
181627,16066,0.015959406
181627,16090,0.000480137
181628,16066,0.042966033
181629,16066,0.007235354
181630,16066,0.008563128
181631,16066,0.024062398
181632,16066,0.021241199
181633,16066,0.030854148
181634,16066,0.031715947
181635,16066,0.004065364
181636,16039,0.032371792
181636,16066,0.023930886
181637,16039,0.097049881
181637,16066,0.011326254
181638,16039,0.120339593
181639,16039,0.149261892
181640,16039,0.061336291
181640,16053,0.008848371
181641,16001,0.048669912
181641,16053,0.006291811
181642,16001,0.052311619
181642,16001,0.031438778
181643,16001,0.030468093
181643,16001,0.053282305
181644,16001,0.075800612
181645,16001,0.022959484
181645,16053,0.007712126
181646,16053,0.011989088
181647,16053,0.005734965
181671,16047,0.023776574
181671,16098,0.000138074
181672,16047,0.051091797
181672,16047,0.060103379
181672,16098,8.80E-05
181673,16047,0.104051739
181673,16098,0.002063227
181674,16047,0.041433764
181674,16112,0.024023254
181675,16112,0.039047069
181676,16112,0.001968664
181676,16112,0.025709649
181677,16112,0.026755577
181677,16112,0.002596946
181678,16112,0.015590155
181679,16112,0.023290699
181680,16112,0.039047069
181681,16112,0.009898083
181683,15111,0.002127298
181683,15124,0.008418675
181684,15111,0.00037555
181684,15114,0.003811508
181684,15124,0.018743394
181685,15114,0.009206973
181686,15114,0.005598567
181686,15124,0.000612206
181687,15114,0.015213819
181687,15124,0.000233168
181688,15114,0.00949022
181689,15114,0.025584578
181690,15114,0.003299011
181690,15114,0.027887869
181691,15005,0.005426728
181691,15114,0.002444626
181691,15114,0.024108881
181692,15005,0.007375781
181692,15005,0.021388628
181692,15114,3.67E-05
181692,15114,0.005794661
181693,15005,0.026226805
181693,15005,0.002234989
181694,15005,0.001684235
181695,15005,0.000589508
181696,15005,0.017001719
181696,15042,3.27E-06
181697,15005,0.003229587
181697,15005,0.003670624
181697,15042,0.013563642
181697,15042,0.000408044
181698,15005,8.54E-05
181698,15005,0.005254949
181698,15042,0.007074998
181698,15042,0.012373123
181698,15042,0.006736982
181698,15087,0.000507584
181699,15005,0.002536897
181699,15042,0.010729382
181699,15042,0.001157062
181699,15087,0.039572627
181699,15087,0.000424465
181700,15087,0.054565632
181700,15087,0.018085593
181701,15047,0.00521209
181701,15087,0.03311135
181701,15087,0.006520164
181701,15106,0.025888904
181701,15106,0.001859123
181702,15087,0.065400419
181702,15087,0.007851685
181702,15106,5.04E-07
181703,15087,0.029345499
181703,15087,0.043907048
181704,15067,0.006120072
181704,15087,0.000385205
181704,15087,0.060003463
181706,15067,0.002394322
181707,15067,0.007243671
181708,15067,0.002424452
181708,15115,0.007006904
181710,15046,0.034856496
181711,15046,0.050384973
182682,16090,0.004638723
182683,16090,0.001212031
182684,16090,0.010360266
182685,16090,0.096187086
182686,16066,0.021421228
182686,16090,0.047898742
182687,16066,0.011682052
182688,16032,0.019294445
182688,16066,0.014240923
182689,16032,0.034183115
182689,16066,0.027267658
182690,16066,0.0423723
182691,16066,0.045394381
182692,16066,0.022026913
182693,16066,0.028758516
182693,16066,3.98E-05
182694,16066,0.029978107
182695,16039,0.001852993
182695,16066,0.038664195
182696,16039,0.036598456
182696,16066,0.027849741
182697,16039,0.148793893
182698,16039,0.146294642
182698,16048,0.003272455
182699,16039,0.01682424
182699,16048,0.097332957
182699,16048,0.038895415
182699,16053,0.000890054
182699,16053,7.06E-06
182700,16001,0.001239189
182700,16048,0.009968111
182700,16048,0.01381339
182700,16053,0.007427954
182700,16053,0.005200686
182701,16001,0.011993789
182701,16001,0.04069329
182701,16053,0.001390695
182701,16053,0.004180622
182702,16001,0.019975936
182702,16001,0.049789728
182702,16053,0.000863304
182703,16001,0.004105424
182703,16053,0.000176203
182704,16001,0.015553346
182704,16053,0.007512998
182705,16053,0.010877708
182706,16053,0.011243063
182707,16053,0.00139383
182730,16047,0.000115551
182730,16098,0.015168983
182731,16047,0.000203639
182731,16047,0.010098867
182731,16098,0.02450939
182731,16098,0.058560697
182732,16047,0.002719925
182732,16098,0.065699233
182733,16047,0.002778712
182733,16098,0.022960455
182733,16112,0.016554887
182734,16098,0.005329894
182734,16112,0.026367589
182735,16112,0.006643105
182738,16112,0.00117093
182739,16112,0.009318249
182740,16112,0.000692966
182741,15124,7.54E-05
182742,15124,0.032577228
182743,15114,0.002306548
182743,15124,0.037194443
182744,15114,0.004053208
182744,15124,0.001130684
182746,15114,0.015001054
182747,15114,0.030457982
182748,15114,0.020210815
182749,15114,0.000323873
182749,15114,0.027160974
182750,15005,0.007069383
182750,15114,0.006845709
182750,15114,0.018249242
182751,15005,0.007464211
182751,15005,0.027867621
182752,15005,0.017247529
182752,15005,3.25E-05
182752,15005,0.013197743
182753,15005,0.00052906
182756,15042,0.010775374
182757,15042,0.022929248
182757,15042,0.008172313
182758,15042,0.001267554
182758,15042,0.022324083
182758,15047,0.008716869
182758,15087,0.000170565
182758,15087,0.003006221
182759,15042,0.000876941
182759,15047,0.021704782
182759,15087,0.035054827
182760,15047,0.006529215
182760,15047,0.022017216
182760,15047,0.007213959
182760,15087,0.00101866
182760,15087,0.012703011
182761,15047,0.00416486
182761,15047,0.026885319
182761,15087,0.012790882
182761,15087,0.008771949
182762,15047,0.009452194
182762,15087,0.056169719
182763,15087,0.039773346
182764,15087,0.000520096
182768,15046,0.043707629
182769,15046,0.049887668
182769,15046,0.138212125
182770,15046,0.16579643
183741,16056,0.025871939
183741,16090,0.064645665
183742,16056,1.43E-06
183742,16056,0.027954299
183742,16090,0.028029035
183743,16056,0.004520167
183743,16056,0.000128669
183743,16090,0.001549624
