GRIDCODE,CVE_ENTCVE_MUN,Fb
177387,16087,0.081460708
177387,16111,0.126036408
177387,16111,0.063821189
177388,16087,0.397974266
177388,16087,0.129291455
177388,16111,0.145515603
177388,16111,0.035213849
177389,16087,0.39127357
177389,16111,0.182365615
177390,16079,0.040647983
177390,16111,0.065857326
177391,16079,0.023612071
177392,16079,0.000259397
177396,16079,0.006220825
177397,16079,0.000891377
177397,16079,0.028443554
177398,16079,0.010953467
177399,16079,0.019747462
177399,16082,0.000458401
177400,16079,0.021139221
177400,16082,0.069669832
177401,16066,2.20E-06
177401,16066,0.001407417
177401,16082,0.007464827
177401,16082,0.090559141
177402,16066,0.000733445
177402,16082,0.032895048
177402,16082,0.185128291
177403,16082,0.208668208
177404,16082,0.119911282
177405,16001,0.00145745
177405,16082,0.11984009
177406,16001,0.000656895
177406,16049,0.003592905
177406,16049,1.91E-05
177406,16082,0.055962779
177407,16049,0.001381751
177407,16049,0.008771246
177408,16049,0.007004056
177408,16049,0.001649292
177409,16049,0.024848275
177410,16049,0.006815959
177410,16049,0.019704262
177411,16049,0.009841317
177411,16049,0.016678903
177412,16049,0.02652022
177413,16049,0.004617117
177413,16049,0.021903104
177414,16049,0.000767416
177414,16049,0.02567682
177414,16049,7.60E-05
177415,16049,0.026024908
177415,16049,0.000495313
177416,16049,0.02652022
177417,16049,0.01954778
177417,16049,0.000215104
177417,16101,0.002181118
177417,16101,0.001473989
177418,16101,0.002502185
177418,16101,0.01184285
177419,16101,0.007711828
177419,16101,0.006633207
177420,16101,0.01380615
177420,16101,0.000538885
177421,16101,0.001803832
177421,16101,0.012541203
177422,16101,0.002361146
177422,16101,0.011942786
177422,16101,4.11E-05
177423,16101,0.013919397
177423,16101,0.000425638
177424,16101,0.006161849
177424,16101,0.002879571
177424,16101,0.005303615
177425,16101,0.012334165
177425,16101,0.001429726
177425,16101,0.000581144
177426,16034,0.001001359
177426,16099,0.015633464
177426,16099,0.00929865
177426,16101,0.007511433
177426,16101,0.001206288
177427,16034,0.002456783
177427,16099,0.006881055
177427,16099,0.051768804
177427,16099,0.005834098
177428,16034,3.13E-05
177428,16099,0.051026301
177428,16099,0.036925938
177429,16099,0.0004083
177429,16099,0.087846504
177430,16099,0.005290347
177430,16099,0.071750861
177430,16099,0.011213597
177431,16099,0.049951326
177431,16099,0.032651507
177431,16099,0.005651972
177432,16099,0.02514177
177432,16099,0.047767731
