GRIDCODE,CVENTMUN,Fc
181719,09005,1
178540,09010,1
180661,09017,0.5
179602,09017,0.5
226108,11012,1
246255,11014,1
208146,11019,1
217635,11023,1
257894,11030,1
251564,11033,1
220898,13030,1
203951,13076,1
230424,13084,1
199697,15001,1
206052,15003,1
201839,15010,1
194401,15014,1
185957,15033,1
184874,15042,1
191250,15053,1
193366,15091,1
196524,15102,1
189132,15108,1
181633,16066,1
209217,22001,1
232519,22005,1
227229,22007,1
249483,22009,1
224035,22014,0.5
224036,22014,0.5
216635,22016,1
221934,22017,1
