GRIDCODE,CVENTMUN,Fur,Frura,Fpob,Suma de Purcelda,Suma de PrCelda,,Promedio de Putotal,Promedio de Prtotal,
177387,11004,0,0.000414766,0.000414766,,12,12,,28932,28932
177387,15111,0,0.022489477,0.022489477,,935,935,,41575,41575
177390,11023,0,0.000403573,0.000403573,,38,38,,94159,94159
177390,16111,0,0.013119717,0.013119717,,104,104,,7927,7927
177390,22006,0,0.000273635,0.000273635,,6,6,,21927,21927
177391,11023,0,0.000212407,0.000212407,,20,20,,94159,94159
177391,15106,0,0.035528101,0.035528101,,2174,2174,,61191,61191
177392,16101,0,0.001359031,0.001359031,,11,11,,8094,8094
177392,22008,0,0.000138036,0.000138036,,4,4,,28978,28978
177393,16101,0,0.003212256,0.003212256,,26,26,,8094,8094
177394,11001,0,0.002036508,0.002036508,,109,109,,53523,53523
177394,16099,0,0.003627749,0.003627749,,49,49,,13507,13507
177395,09014,0.024683415,0,0.024683415,9514,,9514,385441,,385441
177395,11001,0,7.47342E-05,7.47342E-05,,4,4,,53523,53523
177395,11007,0,0.01328659,0.01328659,,830,830,,62469,62469
177395,11023,0,0.001518708,0.001518708,,143,143,,94159,94159
177395,15114,0,0.011762497,0.011762497,,1065,1065,,90542,90542
177396,09010,0.007100943,0,0.007100943,5160,,5160,726664,,726664
177396,09014,0.017966433,0,0.017966433,6925,,6925,385441,,385441
177396,13029,0,0.001445138,0.001445138,,41,41,,28371,28371
177397,09003,0.002467707,0,0.002467707,1531,,1531,620414,,620414
177397,09010,0.003598637,0,0.003598637,2615,,2615,726664,,726664
177397,15114,0,0.005975128,0.005975128,,541,541,,90542,90542
177398,13006,0,0.00443242,0.00443242,,77,77,,17372,17372
177398,16079,0,0.00019228,0.00019228,,4,4,,20803,20803
177399,11027,0,0.0002574,0.0002574,,17,17,,66045,66045
177399,11042,0,0.01279219,0.01279219,,857,857,,66994,66994
177399,16112,0,0.006306334,0.006306334,,410,410,,65014,65014
177401,16101,0,0.004447739,0.004447739,,36,36,,8094,8094
177405,15111,0,0.018881539,0.018881539,,785,785,,41575,41575
177407,11007,0,0.021994909,0.021994909,,1374,1374,,62469,62469
177407,11042,0,0.016613428,0.016613428,,1113,1113,,66994,66994
177407,16079,0,0.00235543,0.00235543,,49,49,,20803,20803
177408,09003,0.006010503,0,0.006010503,3729,,3729,620414,,620414
177408,09010,0,0,0,0,,0,726664,,726664
177408,09014,0,0,0,0,,0,385441,,385441
177408,11001,0,0.021187153,0.021187153,,1134,1134,,53523,53523
177408,11007,0,0.020089965,0.020089965,,1255,1255,,62469,62469
177408,11011,0,0.000282819,0.000282819,,6,6,,21215,21215
177408,11042,0,0.002791295,0.002791295,,187,187,,66994,66994
177408,16049,0,0.000460829,0.000460829,,5,5,,10850,10850
177409,09014,0.07058149,0,0.07058149,27205,,27205,385441,,385441
177409,11007,0,0.001120556,0.001120556,,70,70,,62469,62469
177409,11011,0,0.000235682,0.000235682,,5,5,,21215,21215
177409,11027,0,0.010326293,0.010326293,,682,682,,66045,66045
177409,13006,0,0.024810039,0.024810039,,431,431,,17372,17372
177409,16112,0,0.001491986,0.001491986,,97,97,,65014,65014
177410,11007,0,0.018777314,0.018777314,,1173,1173,,62469,62469
177410,11023,0,0.001115135,0.001115135,,105,105,,94159,94159
177410,13029,0,0.000246731,0.000246731,,7,7,,28371,28371
177410,16049,0,0.000737327,0.000737327,,8,8,,10850,10850
177411,11001,0,0.008557069,0.008557069,,458,458,,53523,53523
177411,11042,0,0.002343493,0.002343493,,157,157,,66994,66994
177411,13006,0,0.001842045,0.001842045,,32,32,,17372,17372
177411,16079,0,0.00062491,0.00062491,,13,13,,20803,20803
177411,22006,0,0.000182423,0.000182423,,4,4,,21927,21927
177411,22016,0,4.7064E-05,4.7064E-05,,3,3,,63743,63743
177412,11004,0,0.001106042,0.001106042,,32,32,,28932,28932
177412,15106,0,0.028991192,0.028991192,,1774,1774,,61191,61191
177413,11001,0,7.47342E-05,7.47342E-05,,4,4,,53523,53523
177413,11007,0,0.00326562,0.00326562,,204,204,,62469,62469
177413,11023,0,0.000286749,0.000286749,,27,27,,94159,94159
177413,15111,0,0.025063139,0.025063139,,1042,1042,,41575,41575
177414,11001,0,5.60507E-05,5.60507E-05,,3,3,,53523,53523
177414,16049,0,0.002304147,0.002304147,,25,25,,10850,10850
177415,11023,0,0.000201786,0.000201786,,19,19,,94159,94159
177415,11042,0,0.015777532,0.015777532,,1057,1057,,66994,66994
177415,16049,0,0.000460829,0.000460829,,5,5,,10850,10850
177415,22008,0,0.038442957,0.038442957,,1114,1114,,28978,28978
177416,11027,0,0.010810811,0.010810811,,714,714,,66045,66045
177416,15037,0,0.008286016,0.008286016,,251,251,,30292,30292
177416,22016,0,0.001929624,0.001929624,,123,123,,63743,63743
177417,11001,0,0.000373671,0.000373671,,20,20,,53523,53523
177417,11023,0,0.001019552,0.001019552,,96,96,,94159,94159
177417,11027,0,0.020849421,0.020849421,,1377,1377,,66045,66045
177417,16049,0,0.00156682,0.00156682,,17,17,,10850,10850
177418,11001,0,0.001662837,0.001662837,,89,89,,53523,53523
177418,13006,0,0.006332029,0.006332029,,110,110,,17372,17372
177418,15111,0,0.001635598,0.001635598,,68,68,,41575,41575
177418,22008,0,0.000241563,0.000241563,,7,7,,28978,28978
177419,15037,0,0.041562129,0.041562129,,1259,1259,,30292,30292
177421,16049,0,0.020829493,0.020829493,,226,226,,10850,10850
177422,11007,0,0.000176087,0.000176087,,11,11,,62469,62469
177422,11027,0,0.007010372,0.007010372,,463,463,,66045,66045
177422,16101,0,0.002470966,0.002470966,,20,20,,8094,8094
177423,16082,0,0.008831468,0.008831468,,337,337,,38159,38159
177424,11001,0,0.005791903,0.005791903,,310,310,,53523,53523
177424,11011,0,0.000188546,0.000188546,,4,4,,21215,21215
177424,11042,0,0.000507508,0.000507508,,34,34,,66994,66994
177424,16079,0,0.051242609,0.051242609,,1066,1066,,20803,20803
177424,22008,0,0.009524467,0.009524467,,276,276,,28978,28978
177424,22012,0,0.001952419,0.001952419,,27,27,,13829,13829
177425,16049,0,0.014101382,0.014101382,,153,153,,10850,10850
177427,15005,0,0.012232589,0.012232589,,1083,1083,,88534,88534
177428,11042,0,0.000223901,0.000223901,,15,15,,66994,66994
177428,13006,0,0.027515542,0.027515542,,478,478,,17372,17372
177428,15005,0,0.011520998,0.011520998,,1020,1020,,88534,88534
177429,16049,0,0.000184332,0.000184332,,2,2,,10850,10850
177430,11001,0,7.47342E-05,7.47342E-05,,4,4,,53523,53523
177430,11004,0,0.029932255,0.029932255,,866,866,,28932,28932
177430,11042,0,0.006388632,0.006388632,,428,428,,66994,66994
177430,16082,0,0.000969627,0.000969627,,37,37,,38159,38159
177431,15051,0,0.003714791,0.003714791,,206,206,,55454,55454
177432,11001,0,0.001830989,0.001830989,,98,98,,53523,53523
177432,11023,0,0.000191166,0.000191166,,18,18,,94159,94159
177432,11027,0,0.000151412,0.000151412,,10,10,,66045,66045
177432,15005,0,0.022974225,0.022974225,,2034,2034,,88534,88534
177432,22012,0,0.000361559,0.000361559,,5,5,,13829,13829
177433,11011,0,0.000518501,0.000518501,,11,11,,21215,21215
177433,11042,0,0.005463176,0.005463176,,366,366,,66994,66994
177433,16112,0,0.001153598,0.001153598,,75,75,,65014,65014
177434,15114,0,0.002407722,0.002407722,,218,218,,90542,90542
177436,11027,0,0.000211977,0.000211977,,14,14,,66045,66045
177436,16101,0,0.002470966,0.002470966,,20,20,,8094,8094
177437,11001,0,0.001027596,0.001027596,,55,55,,53523,53523
177437,11023,0,0.001295681,0.001295681,,122,122,,94159,94159
177437,11042,0,0.000641849,0.000641849,,43,43,,66994,66994
177437,16079,0,0.005383839,0.005383839,,112,112,,20803,20803
177437,22008,0,0.007005314,0.007005314,,203,203,,28978,28978
177438,11001,0,0.001532052,0.001532052,,82,82,,53523,53523
177438,11004,0,0.005322826,0.005322826,,154,154,,28932,28932
177438,11023,0,0.002952453,0.002952453,,278,278,,94159,94159
177438,16079,0,0.0019228,0.0019228,,40,40,,20803,20803
177438,22012,0,0.000144624,0.000144624,,2,2,,13829,13829
177439,11004,0,0.001797318,0.001797318,,52,52,,28932,28932
177439,13059,0,0.010676522,0.010676522,,312,312,,29223,29223
177439,16049,0,0.0040553,0.0040553,,44,44,,10850,10850
177440,11001,0,0.003587243,0.003587243,,192,192,,53523,53523
177440,11023,0,0.000499156,0.000499156,,47,47,,94159,94159
177440,16049,0,0.001198157,0.001198157,,13,13,,10850,10850
177441,11023,0,0.000116824,0.000116824,,11,11,,94159,94159
177441,13006,0,0.001208842,0.001208842,,21,21,,17372,17372
177441,13030,0,0.024780769,0.024780769,,1136,1136,,45842,45842
177441,16049,0,0.022857143,0.022857143,,248,248,,10850,10850
177447,11027,0,0.000469377,0.000469377,,31,31,,66045,66045
177447,11042,0,0.00131355,0.00131355,,88,88,,66994,66994
177447,16049,0,0.00156682,0.00156682,,17,17,,10850,10850
177448,09014,0.002405037,0,0.002405037,927,,927,385441,,385441
177448,11023,0,0.000212407,0.000212407,,20,20,,94159,94159
177448,13030,0,0.024977095,0.024977095,,1145,1145,,45842,45842
177448,16112,0,0.000692159,0.000692159,,45,45,,65014,65014
177449,09014,0.005915302,0,0.005915302,2280,,2280,385441,,385441
177449,15037,0,0.074343061,0.074343061,,2252,2252,,30292,30292
177450,09014,0.007256623,0,0.007256623,2797,,2797,385441,,385441
177450,11042,0,0.000179121,0.000179121,,12,12,,66994,66994
177450,15111,0,0.01748647,0.01748647,,727,727,,41575,41575
177450,22016,0,0.00015688,0.00015688,,10,10,,63743,63743
177451,16049,0,0.002304147,0.002304147,,25,25,,10850,10850
177452,11001,0,0.000373671,0.000373671,,20,20,,53523,53523
177452,16101,0,0.001235483,0.001235483,,10,10,,8094,8094
177453,11023,0,8.49627E-05,8.49627E-05,,8,8,,94159,94159
177453,15005,0,4.51804E-05,4.51804E-05,,4,4,,88534,88534
177454,11023,0,0.001083274,0.001083274,,102,102,,94159,94159
177454,11042,0,0.001149357,0.001149357,,77,77,,66994,66994
177454,16079,0,0.00052877,0.00052877,,11,11,,20803,20803
177455,16049,0,0.000184332,0.000184332,,2,2,,10850,10850
