GRIDCODE,CVENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
6359348,02005,178688.9983,3213.723378
6359349,02005,178688.9983,1271.136985
6362526,02005,178688.9983,4234.853005
6365704,02005,178688.9983,4115.763778
6368881,02005,178688.9983,3179.034288
6368882,02005,178688.9983,977.2677
6372059,02005,178688.9983,4115.499566
6375237,02005,178688.9983,3447.036749
6378415,02005,178688.9983,2024.20263
6381593,02005,178688.9983,2046.44937
6384770,02005,178688.9983,1053.452928
6384771,02005,178688.9983,1086.839937
6387948,02005,178688.9983,3466.156181
6387949,02005,178688.9983,642.1134473
6387980,02004,359563.0365,271.7791724
6387981,02004,359563.0365,958.0423963
6391125,02005,178688.9983,78.34748234
6391126,02005,178688.9983,2083.95868
6391127,02005,178688.9983,2048.27997
6391158,02004,359563.0365,1198.01475
6394303,02005,178688.9983,2311.074788
6394305,02005,178688.9983,2139.275293
6394335,02004,359563.0365,751.4350489
6394336,02004,359563.0365,382.7536376
6397481,02005,178688.9983,2984.119366
6397483,02005,178688.9983,2246.069106
6397513,02004,359563.0365,1164.737886
6400658,02005,178688.9983,2845.2853
6400659,02005,178688.9983,269.0686124
6400661,02005,178688.9983,2546.519917
6400691,02004,359563.0365,1044.284914
6403836,02005,178688.9983,4046.700319
6403839,02005,178688.9983,123.6754988
6403840,02005,178688.9983,2233.360161
6403868,02004,359563.0365,900.0301032
6403869,02004,359563.0365,244.4077424
6407014,02004,359563.0365,3284.682147
6407014,02005,178688.9983,749.6298885
6407018,02004,359563.0365,202.5014385
6407018,02005,178688.9983,2416.13168
6407019,02004,359563.0365,3022.661941
6407046,02004,359563.0365,1005.887047
6410192,02004,359563.0365,4024.155934
6410197,02004,359563.0365,1771.478829
6410198,02004,359563.0365,4398.898536
6410199,02004,359563.0365,642.9442777
6410210,02004,359563.0365,348.18467
6410211,02004,359563.0365,35.09539119
6410213,02004,359563.0365,892.7276962
6410214,02004,359563.0365,2153.605731
6410215,02004,359563.0365,342.0287003
6410224,02004,359563.0365,1101.141934
6413370,02004,359563.0365,4031.207952
6413377,02004,359563.0365,2248.108308
6413378,02004,359563.0365,429.785529
6413388,02004,359563.0365,2584.711173
6413389,02004,359563.0365,2020.908205
6413390,02004,359563.0365,2013.341463
6413391,02004,359563.0365,1201.234136
6413393,02004,359563.0365,1801.128366
6413394,02004,359563.0365,2105.497198
6413395,02004,359563.0365,2056.431016
6413396,02004,359563.0365,1591.402432
6413401,02004,359563.0365,1092.655403
6413402,02004,359563.0365,211.8766402
6416547,02004,359563.0365,616.6447129
6416548,02004,359563.0365,3440.875605
6416555,02004,359563.0365,949.5670807
6416556,02004,359563.0365,3141.79333
6416564,02004,359563.0365,70.95938007
6416565,02004,359563.0365,2301.143558
6416566,02004,359563.0365,1199.486334
6416574,02004,359563.0365,655.4908616
6416575,02004,359563.0365,2211.069888
6416576,02004,359563.0365,2086.715986
6416577,02004,359563.0365,227.7985803
6416578,02004,359563.0365,746.1296385
6416579,02004,359563.0365,541.10341
6416580,02004,359563.0365,1895.315801
6416581,02004,359563.0365,2122.922259
6416582,02004,359563.0365,2274.951747
6416583,02004,359563.0365,2254.221997
6419725,02004,359563.0365,4594.278839
6419733,02004,359563.0365,2563.674966
6419742,02004,359563.0365,2377.569651
6419755,02004,359563.0365,1864.397843
6419756,02004,359563.0365,2430.680326
6419757,02004,359563.0365,2239.528425
6419758,02004,359563.0365,154.3483591
6419761,02004,359563.0365,1015.735901
6419762,02004,359563.0365,1279.331015
6422903,02004,359563.0365,4423.436062
6422911,02004,359563.0365,4230.921291
6422912,02004,359563.0365,23.67496224
6422920,02004,359563.0365,2082.495655
6422940,02004,359563.0365,2093.465351
6426080,02004,359563.0365,3891.224384
6426081,02004,359563.0365,246.177011
6426090,02004,359563.0365,4429.713361
6426097,02004,359563.0365,1385.962813
6426098,02004,359563.0365,693.3714503
6426118,02004,359563.0365,2125.424544
6429258,02004,359563.0365,4013.727046
6429268,02004,359563.0365,2596.70341
6429269,02004,359563.0365,1993.344039
6429275,02004,359563.0365,2500.906164
6429296,02004,359563.0365,212.9852459
6429297,02004,359563.0365,2555.190853
6429298,02004,359563.0365,1193.787618
6432436,02004,359563.0365,4049.2253
6432446,02004,359563.0365,3965.487964
6432447,02004,359563.0365,633.6125326
6432452,02004,359563.0365,2642.616221
6432453,02004,359563.0365,204.440759
6432476,02004,359563.0365,1888.612605
6435614,02004,359563.0365,4037.033943
6435624,02004,359563.0365,4363.968646
6435629,02004,359563.0365,2629.739391
6435630,02004,359563.0365,159.6155743
6435651,02004,359563.0365,3646.265688
6435652,02004,359563.0365,4072.504235
6435653,02004,359563.0365,4034.474311
6435654,02004,359563.0365,4129.422769
6438792,02004,359563.0365,2543.471338
6438793,02004,359563.0365,2272.795939
6438802,02004,359563.0365,4087.462821
6438804,02004,359563.0365,1600.222518
6438805,02004,359563.0365,2041.960517
6438806,02004,359563.0365,2086.766528
6438807,02004,359563.0365,243.6694356
6438828,02004,359563.0365,1220.717445
6438829,02004,359563.0365,2932.81363
6441971,02004,359563.0365,5385.992463
6441972,02004,359563.0365,247.3063197
6441977,02004,359563.0365,3799.963398
6441978,02004,359563.0365,5183.623501
6441979,02004,359563.0365,5650.054352
6441980,02004,359563.0365,2096.372091
6441981,02004,359563.0365,1964.440741
6441982,02004,359563.0365,1836.167257
6441985,02004,359563.0365,586.6747526
6441986,02004,359563.0365,1144.66521
6442004,02004,359563.0365,1398.32715
6442005,02004,359563.0365,4183.12335
6442006,02004,359563.0365,4683.550936
6445149,02004,359563.0365,1068.537271
6445150,02004,359563.0365,5311.159043
6445153,02004,359563.0365,3056.883931
6445154,02004,359563.0365,4595.786164
6445155,02004,359563.0365,470.6168167
6445157,02004,359563.0365,2532.752489
6445158,02004,359563.0365,4061.083616
6445159,02004,359563.0365,2137.103405
6445160,02004,359563.0365,2000
6445161,02004,359563.0365,2000
6445162,02004,359563.0365,2057.474413
6445163,02004,359563.0365,1533.57862
6445164,02004,359563.0365,2252.593535
6445165,02004,359563.0365,2003.106742
6445166,02004,359563.0365,2003.106742
6445167,02004,359563.0365,703.1878176
6445170,02004,359563.0365,1050.354078
6445171,02004,359563.0365,2006.098707
6445172,02004,359563.0365,3742.43823
6445173,02004,359563.0365,4026.501501
6445174,02004,359563.0365,2638.706111
6445179,02004,359563.0365,2811.631789
6445180,02004,359563.0365,4256.967369
6445181,02004,359563.0365,4035.274436
6445182,02004,359563.0365,2843.701717
6448327,02004,359563.0365,44.82491863
6448328,02004,359563.0365,8473.171735
6448329,02004,359563.0365,4070.529019
6448330,02004,359563.0365,4311.701549
6448331,02004,359563.0365,1538.902233
6448345,02004,359563.0365,1299.918925
6448346,02004,359563.0365,2003.106742
6448347,02004,359563.0365,2007.694596
6448348,02004,359563.0365,960.0915058
6448352,02004,359563.0365,2174.278161
6448353,02004,359563.0365,4259.998523
6448354,02004,359563.0365,4254.481754
6448355,02004,359563.0365,2439.582243
6448356,02004,359563.0365,2119.813782
6448357,02004,359563.0365,3740.870779
6451506,02004,359563.0365,82.553479
6451533,02004,359563.0365,1674.746916
6451534,02004,359563.0365,2233.188241
