GRIDCODE,CVENTMUN, LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
6359348,02005,1643556.45,4532.247703
6359349,02005,1643556.45,12273.53335
6359350,02005,1643556.45,12485.58631
6359351,02005,1643556.45,3667.847033
6359352,02005,1643556.45,11722.35751
6362526,02005,1643556.45,611.9295111
6362527,02005,1643556.45,2526.116935
6362528,02005,1643556.45,219.5968657
6362529,02005,1643556.45,7612.375412
6362530,02005,1643556.45,4504.586836
6365703,02005,1643556.45,4232.916449
6365704,02005,1643556.45,7648.238346
6365705,02005,1643556.45,22748.76484
6365706,02005,1643556.45,6196.857012
6365707,02005,1643556.45,4.781766238
6368881,02005,1643556.45,8876.006741
6368882,02005,1643556.45,1346.800156
6368883,02005,1643556.45,2510.05049
6368884,02005,1643556.45,3886.652432
6368885,02005,1643556.45,3709.649265
6368886,02005,1643556.45,8499.293779
6372059,02005,1643556.45,8569.508925
6372062,02005,1643556.45,7363.954286
6372063,02005,1643556.45,16062.29308
6372064,02005,1643556.45,3248.572266
6375237,02005,1643556.45,10278.21229
6375240,02005,1643556.45,1731.728086
6375241,02005,1643556.45,262.4085231
6378414,02005,1643556.45,1090.628785
6378415,02005,1643556.45,24137.16719
6378416,02005,1643556.45,3430.931285
6378417,02005,1643556.45,806.955045
6378418,02005,1643556.45,2591.826304
6378419,02005,1643556.45,16922.77526
6378420,02005,1643556.45,4554.584632
6378421,02005,1643556.45,1331.513518
6381592,02005,1643556.45,12382.58189
6381593,02005,1643556.45,33347.14474
6381594,02005,1643556.45,41654.73456
6381595,02005,1643556.45,6810.692193
6381596,02005,1643556.45,755.7667431
6381597,02005,1643556.45,19008.15574
6381598,02005,1643556.45,8965.346072
6381599,02005,1643556.45,10456.5233
6384770,02005,1643556.45,22296.05576
6384771,02005,1643556.45,38149.7818
6384772,02005,1643556.45,28207.90336
6384773,02005,1643556.45,7695.658096
6387947,02005,1643556.45,455.4679296
6387948,02005,1643556.45,28089.3433
6387949,02005,1643556.45,35058.69462
6387950,02005,1643556.45,48515.19264
6387951,02005,1643556.45,1922.749397
6387960,02004,10324921.72,8185.424535
6387961,02004,10324921.72,13442.52506
6391125,02005,1643556.45,5355.177322
6391126,02005,1643556.45,21051.72149
6391127,02005,1643556.45,41364.16339
6391128,02005,1643556.45,43158.64938
6391129,02005,1643556.45,4708.259343
6391138,02004,10324921.72,12612.50434
6391139,02004,10324921.72,6065.215967
6391158,02004,10324921.72,7107.721961
6394303,02005,1643556.45,11096.70969
6394304,02005,1643556.45,12744.57405
6394305,02005,1643556.45,30385.87463
6394306,02005,1643556.45,31216.78596
6394310,02005,1643556.45,928.9738052
6394314,02004,10324921.72,15990.94835
6394315,02004,10324921.72,11409.31101
6394316,02004,10324921.72,22551.8984
6394317,02004,10324921.72,9151.779974
6394335,02004,10324921.72,378.490485
6394336,02004,10324921.72,19544.73954
6397480,02005,1643556.45,1906.304718
6397481,02005,1643556.45,22617.88666
6397482,02005,1643556.45,17540.13619
6397483,02005,1643556.45,23435.20581
6397484,02005,1643556.45,20339.23047
6397486,02005,1643556.45,922.7817089
6397487,02005,1643556.45,10552.98044
6397488,02005,1643556.45,3338.50246
6397492,02004,10324921.72,2330.4365
6397493,02004,10324921.72,6522.717382
6397494,02004,10324921.72,20493.39305
6397495,02004,10324921.72,2304.924174
6400658,02005,1643556.45,988.7672024
6400659,02005,1643556.45,330.5922778
6400660,02005,1643556.45,10559.21341
6400661,02005,1643556.45,35388.22047
6400662,02005,1643556.45,35054.17395
6400663,02005,1643556.45,17715.90995
6400664,02005,1643556.45,14144.02336
6400665,02005,1643556.45,14301.51048
6400667,02004,10324921.72,20.0776806
6400668,02004,10324921.72,28.63982734
6400669,02004,10324921.72,11046.5186
6400670,02004,10324921.72,22943.94822
6400671,02004,10324921.72,2730.327572
6400672,02004,10324921.72,44277.61727
6400673,02004,10324921.72,6710.422439
6400674,02004,10324921.72,8292.327079
6400675,02004,10324921.72,2011.494855
6403836,02005,1643556.45,4468.668873
6403837,02005,1643556.45,3432.393961
6403838,02005,1643556.45,23491.22076
6403839,02005,1643556.45,43709.49924
6403840,02005,1643556.45,28264.14948
6403841,02005,1643556.45,39400.98066
6403842,02005,1643556.45,37262.71011
6403843,02004,10324921.72,90.53883062
6403843,02005,1643556.45,29274.37961
6403844,02004,10324921.72,2205.027717
6403845,02004,10324921.72,70.64522846
