GRIDCODE,CVENTMUN,Fa
6359364,02005,0.014472471
6359365,02005,1.23E-04
6365721,02004,0.003885123
6365722,02004,0.011197511
6365723,02004,0.003956256
6368883,02005,0.000640802
6368884,02005,0.001087937
6368886,02005,0.002171751
6368887,02005,0.005521129
6368888,02005,0.017575184
6368889,02005,0.023908379
6368898,02004,0.000199592
6368899,02004,0.013138626
6368900,02004,0.007535812
6372060,02005,0.03348433
6372061,02005,0.053021069
6372062,02005,0.031117997
6372064,02005,0.005008196
6372065,02005,0.019808085
6372066,02005,0.044203773
6372067,02005,0.006925817
6372076,02004,0.000403788
6372077,02004,0.009903885
6372078,02004,0.006628131
6372094,02004,0.00375975
6375237,02005,0.009219442
6375238,02005,0.054092009
6375239,02005,0.059913093
6375240,02005,0.041182641
6375241,02005,0.026423655
6375242,02005,0.017825357
6375243,02005,0.011658117
6375244,02005,0.019693829
6375245,02005,0.000676412
6375254,02004,0.002700501
6375255,02004,0.0182998
6375256,02004,0.013511951
6375271,02004,0.000872837
6375272,02004,0.017486912
6378415,02005,0.02031134
6378416,02005,0.055037504
6378417,02005,0.055403699
6378418,02005,0.039023764
6378419,02005,0.00274986
6378420,02005,2.76E-05
6378421,02005,0.010364448
6378422,02005,0.011699872
6378429,02004,0.000882061
6378430,02004,0.001203508
6378432,02004,0.003808158
6378433,02004,0.014519576
6378434,02004,0.004943612
6378450,02004,0.006556217
6381594,02005,0.005288479
6381595,02005,0.023230143
6381596,02005,0.04795581
6381597,02005,0.024837286
6381598,02005,0.016230309
6381599,02005,0.002246174
6381600,02005,0.00010911
6381606,02004,0.00634686
6381607,02004,0.010997925
6381608,02004,0.002847384
6381610,02004,0.005858855
6381611,02004,0.007642148
6381619,02004,0.000305361
6381620,02004,0.007189622
6381621,02004,0.00251618
6381628,02004,0.000853285
6384772,02005,0.000581669
6384773,02005,0.027279644
6384774,02005,0.035751522
6384775,02005,0.038204926
6384776,02005,0.04899987
6384777,02005,0.014350083
6384787,02004,0.001464642
6384788,02004,0.014084453
6384796,02004,0.002544704
6384797,02004,0.008602836
6384798,02004,0.004245381
6384803,02004,0.00290335
6384804,02004,0.01288425
6384805,02004,0.013883652
6384806,02004,0.018267048
6387952,02005,0.002559118
6387953,02005,0.006987497
6387954,02005,0.002402894
6387965,02004,0.004064975
6387966,02004,0.014578253
6387974,02004,0.006964554
6387975,02004,0.000268321
6387979,02004,0.005758051
6387980,02004,0.008782214
6387981,02004,0.00517493
6387982,02004,0.007161691
6387983,02004,0.005381048
6387984,02004,0.004405547
6391143,02004,0.005310845
6391144,02004,0.009948873
6391159,02004,0.00334113
6391161,02004,2.80E-06
6391162,02004,0.005492772
6394317,02004,0.000997954
6394318,02004,0.002350941
6394322,02004,8.87E-05
6394340,02004,0.00830568
6397495,02004,0.005299171
6397496,02004,0.004747116
6400673,02004,0.001132969
6400674,02004,0.003163136
6407018,02004,0.000284589
6407018,02005,0.006572556
6407019,02004,0.008356047
6407019,02005,0.002040417
6410197,02004,0.003192048
6410198,02004,9.38797E-05
6410215,02004,0.001941047
6410216,02004,0.002605959
6410217,02004,1.00224E-05
6410225,02004,0.000332091
6410226,02004,0.000513349
6413394,02004,0.005254829
6413395,02004,0.007711524
6413396,02004,0.003859667
6413400,02004,1.93E-06
6413401,02004,0.006414754
6413402,02004,0.012909296
6413403,02004,0.012880754
6413404,02004,0.006180531
6413405,02004,0.001519953
6416548,02004,0.006290548
6416549,02004,0.005982378
6416570,02004,0.000342323
6416571,02004,0.006240995
6416572,02004,0.000213162
6416578,02004,0.000344516
6416579,02004,0.011747485
6416580,02004,0.018348048
6416581,02004,0.018144865
6416582,02004,0.007564293
6416583,02004,0.005129402
6419725,02004,0.002122249
6419726,02004,0.009021306
6419727,02004,0.007523334
6419728,02004,0.000895379
6419749,02004,0.000424247
6419750,02004,0.000661284
6419758,02004,0.004204712
6419759,02004,0.008273848
6419760,02004,0.004165308
6419761,02004,0.009816012
6419762,02004,1.19E-05
