GRIDCODE,CVENTMUN,Fb
6359348,02005,0.003430533
6359349,02005,0.004822066
6359350,02005,0.003494473
6359351,02005,0.004742286
6359352,02005,0.008915794
6359353,02005,0.010038726
6359354,02005,0.010038726
6359355,02005,0.010038726
6359356,02005,0.010038726
6359357,02005,0.010038726
6359358,02005,0.010038726
6359359,02005,0.010038726
6359360,02005,0.010038726
6359361,02004,2.02E-05
6359361,02005,0.009929703
6359362,02004,0.000186531
6359362,02005,0.009032612
6359363,02004,0.000381941
6359363,02005,0.007978609
6359364,02004,0.000578243
6359364,02005,0.004494863
6359365,02004,0.000774207
6359365,02005,0.00584221
6359366,02004,0.000970078
6359366,02005,0.00480631
6359367,02004,0.001165981
6359367,02005,0.003749647
6359368,02004,0.00150012
6359368,02005,0.001947364
6359369,02004,0.001861157
6359370,02004,0.001861157
6359371,02004,0.001861157
6359372,02004,0.001861157
6359373,02004,0.001861157
6359374,02004,0.001861157
6359375,02004,0.001861157
6359376,02004,0.001861157
6359377,02004,0.001861157
6359378,02004,0.001861157
6359379,02004,0.001861157
6359380,02004,0.001861157
6359381,02004,0.001861157
6359382,02004,0.001861157
6362525,02005,0.000493525
6362526,02005,0.008450644
6362527,02005,0.007184237
6362528,02005,0.007586468
6362529,02005,0.007445364
6362530,02005,0.008380134
6362531,02005,0.010038726
6362532,02005,0.010038726
6362533,02005,0.010038726
6362534,02004,0.000341702
6362534,02005,0.008195651
6362535,02004,0.001070573
6362535,02005,0.004264259
6362536,02004,0.001265646
6362536,02005,0.003212074
6362537,02004,0.001461045
6362537,02005,0.002158129
6362538,02004,0.001656639
6362538,02005,0.001103129
6362539,02004,0.001832063
6362539,02005,1.57E-04
6362540,02004,0.001861157
6362541,02004,0.001861157
6362542,02004,0.001861157
6362543,02004,0.001861157
6362544,02004,0.001861157
6362545,02004,0.001861157
6362546,02004,0.001861157
6362547,02004,0.001861157
6362548,02004,0.001861157
6362549,02004,0.001861157
6362550,02004,0.001861157
6362551,02004,0.001861157
6362552,02004,0.001861157
6362553,02004,0.001861157
6362554,02004,0.001861157
6362555,02004,0.001861157
6362556,02004,0.001861157
6362557,02004,0.001861157
6362558,02004,0.001861157
6362559,02004,0.001861157
6362560,02004,0.001861157
6365704,02005,0.002208964
6365706,02005,0.001796365
6365707,02005,0.009928792
6365708,02005,0.009866233
6365709,02005,0.010038726
6365710,02005,0.010038726
6365711,02005,0.010038726
6365712,02004,0.000534331
6365712,02005,0.007156647
6365713,02004,0.001861157
6365714,02004,0.001861157
6365715,02004,0.001861157
6365716,02004,0.001861157
6365717,02004,0.001861157
6365718,02004,0.001861157
6365719,02004,0.001861157
6365720,02004,0.001861157
6365721,02004,0.001467074
6365722,02004,0.000725352
6365723,02004,0.001459859
6365724,02004,0.001861157
6365725,02004,0.001861157
6365726,02004,0.001861157
6365727,02004,0.001861157
6365728,02004,0.001861157
6365729,02004,0.001861157
6365730,02004,0.001861157
6365731,02004,0.001861157
6365732,02004,0.001861157
6365733,02004,0.001861157
6365734,02004,0.001861157
6365735,02004,0.001861157
6365736,02004,0.001861157
6365737,02004,0.001861157
6365738,02004,0.001861157
6368881,02005,0.000443734
6368882,02005,0.004941832
6368883,02005,0.007175525
6368884,02005,0.008118034
6368885,02005,0.008361843
6368886,02005,0.003436475
6368887,02005,0.008567561
6368888,02005,0.007093919
6368889,02005,0.006032762
6368890,02004,0.000238077
6368890,02005,0.008754581
6368891,02004,0.00156641
6368891,02005,0.001589807
6368892,02004,0.001861157
6368893,02004,0.001861157
6368894,02004,0.001861157
6368895,02004,0.001861157
6368896,02004,0.001861157
6368897,02004,0.001861157
6368898,02004,0.001840911
6368899,02004,0.000528458
6368900,02004,0.001096772
6368901,02004,0.001861157
6368902,02004,0.001861157
6368903,02004,0.001861157
6368904,02004,0.001861157
6368905,02004,0.001861157
6368906,02004,0.001861157
6368907,02004,0.001861157
6368908,02004,0.001861157
6368909,02004,0.001861157
6368910,02004,0.001861157
6368911,02004,0.001861157
6368912,02004,0.001861157
6368913,02004,0.001861157
6368914,02004,0.001861157
6368915,02004,0.001861157
6368916,02004,0.001861157
6372059,02005,0.002004836
6372060,02005,0.003844331
6372061,02005,0.001154792
6372062,02005,0.000202044
6372063,02005,0.002405228
6372064,02005,0.007714284
6372065,02005,0.00670204
6372066,02005,0.002632172
6372067,02005,0.008878272
6372068,02005,0.010038726
6372069,02004,9.10E-07
6372069,02005,0.010033818
6372070,02004,0.000362963
6372070,02005,0.00808097
6372071,02004,0.001019691
6372071,02005,0.004538706
6372072,02004,0.001660689
6372072,02005,0.001081286
6372073,02004,0.001861157
6372074,02004,0.001861157
6372075,02004,0.001861157
6372076,02004,0.001820199
6372077,02004,0.000856569
6372078,02004,0.001188841
6372079,02004,0.001861157
6372080,02004,0.001861157
6372081,02004,0.001861157
6372082,02004,0.001861157
6372083,02004,0.001861157
6372084,02004,0.001861157
6372085,02004,0.001861157
6372086,02004,0.001861157
6372087,02004,0.001861157
6372088,02004,0.001861157
6372089,02004,0.001861157
6372090,02004,0.001861157
6372091,02004,0.001861157
6372092,02004,0.001861157
6372093,02004,0.001861157
6372094,02004,0.001479791
6375240,02005,0.001834103
6375241,02005,0.00556709
6375242,02005,0.007052002
6375243,02005,0.008085352
6375244,02005,0.00673893
6375245,02005,0.00992539
6375246,02005,0.010038726
6375247,02005,0.010038726
6375248,02004,8.09692E-05
6375248,02005,0.009601993
6375249,02004,0.000677128
6375249,02005,0.006386427
6375250,02004,0.001379938
6375250,02005,0.002595603
6375251,02004,0.001861121
6375251,02005,1.91E-07
6375252,02004,0.001861157
6375253,02004,0.001861157
6375254,02004,0.001587235
6375255,02004,4.94E-06
6375256,02004,0.00049059
6375257,02004,0.001861157
6375258,02004,0.001861157
6375259,02004,0.001861157
6375260,02004,0.001861157
6375261,02004,0.001861157
6375262,02004,0.001861157
6375263,02004,0.001861157
6375264,02004,0.001861157
6375265,02004,0.001861157
6375266,02004,0.001861157
6375267,02004,0.001861157
6375268,02004,0.001861157
6375269,02004,0.001861157
6375270,02004,0.001861157
6375271,02004,0.001772622
6375272,02004,8.73948E-05
6378418,02005,0.0032604
6378419,02005,0.007761062
6378420,02005,0.008762384
6378421,02005,0.008283793
6378422,02005,0.008078356
6378423,02005,0.010038726
6378424,02005,0.010038726
6378425,02004,0.001024355
6378425,02005,0.004513549
6378426,02004,0.001770203
6378426,02005,0.000490589
6378427,02004,0.001861157
6378428,02004,0.001861157
6378429,02004,0.001771686
6378430,02004,0.00173908
6378431,02004,0.001861157
6378432,02004,0.001474881
6378433,02004,0.000388383
6378434,02004,0.001359708
6378435,02004,0.001861157
6378436,02004,0.001861157
6378437,02004,0.001861157
6378438,02004,0.001861157
6378439,02004,0.001861157
6378440,02004,0.001861157
6378441,02004,0.001861157
6378442,02004,0.001861157
6378443,02004,0.001861157
6378444,02004,0.001861157
6378445,02004,0.001861157
6378446,02004,0.001861157
6378447,02004,0.001861157
6378448,02004,0.001861157
6378449,02004,0.001861157
6378450,02004,0.001196136
6381595,02005,0.003412499
6381596,02005,0.001898304
6381597,02005,0.000348545
6381598,02005,0.000579791
6381599,02005,0.003695958
6381600,02005,0.010020444
6381601,02005,0.010038726
6381602,02005,0.010038726
6381603,02004,0.001418021
6381603,02005,0.002390188
6381604,02004,0.001861157
6381605,02004,0.001861157
6381606,02004,0.001217371
6381607,02004,0.000745597
6381608,02004,0.001572336
6381609,02004,0.001861157
6381610,02004,0.001266871
6381611,02004,0.001085986
6381612,02004,0.001861157
6381613,02004,0.001861157
6381614,02004,0.001861157
6381615,02004,0.001861157
6381616,02004,0.001861157
6381617,02004,0.001861157
6381618,02004,0.001861157
6381619,02004,0.001830183
6381620,02004,0.001131887
6381621,02004,0.001605931
6381622,02004,0.001861157
6381623,02004,0.001861157
6381624,02004,0.001861157
6381625,02004,0.001861157
6381626,02004,0.001861157
6381627,02004,0.001861157
