GRIDCODE,CVENTMUN,F_pav
6359348,2005,0.050218331
6359349,2005,0.019863059
6362526,2005,0.066174721
6365704,2005,0.064313807
6368881,2005,0.049676272
6368882,2005,0.015270995
6372059,2005,0.064309679
6375237,2005,0.053864135
6378415,2005,0.031630624
6381593,2005,0.031978257
6384770,2005,0.016461481
6384771,2005,0.016983194
6387948,2005,0.0541629
6387949,2005,0.010033802
6391125,2005,0.001224275
6391126,2005,0.032564385
6391127,2005,0.032006862
6394303,2005,0.03611335
6394305,2005,0.033428774
6397481,2005,0.046630489
6397483,2005,0.035097558
6400658,2005,0.044461038
6400659,2005,0.004204524
6400661,2005,0.039792466
6403836,2005,0.063234607
6403839,2005,0.00193258
6403840,2005,0.034898965
6407014,2004,0.009716817
6407014,2005,0.011713877
6407018,2004,0.000599044
6407018,2005,0.037754992
6407019,2004,0.008941704
6410192,2004,0.011904345
6410197,2004,0.005240427
6410198,2004,0.013012916
6410199,2004,0.001901972
6410210,2004,0.001030007
6410211,2004,1.04E-04
6410213,2004,0.002640886
6410214,2004,0.006370843
6410215,2004,0.001011797
6413370,2004,0.011925206
6413377,2004,0.006650402
6413378,2004,0.001271401
6413388,2004,0.007646148
6413389,2004,0.005978294
6413390,2004,0.00595591
6413391,2004,0.003553517
6413393,2004,0.005328137
6413394,2004,0.006228527
6413395,2004,0.006083378
6413396,2004,0.004707721
6416547,2004,0.001824172
6416548,2004,0.010178872
6416555,2004,0.00280903
6416556,2004,0.009294121
6416564,2004,0.000209914
6416565,2004,0.006807292
6416566,2004,0.003548346
6416574,2004,0.001939087
6416575,2004,0.006540834
6416576,2004,0.006172968
6416577,2004,0.000673879
6416580,2004,0.005606764
6416581,2004,0.006280074
6416582,2004,0.006729811
6416583,2004,0.006668488
6419725,2004,0.013590894
6419733,2004,0.007583918
6419742,2004,0.007033378
6419755,2004,0.005515302
6419756,2004,0.006131305
6419757,2004,0.006625021
6419758,2004,0.000456597
6419761,2004,0.003004772
6419762,2004,0.003784545
6422903,2004,0.013085504
6422911,2004,0.012516002
6422912,2004,7.00E-05
6422920,2004,0.006160483
6422940,2004,0.006192934
6426080,2004,0.011511104
6426081,2004,0.000728246
6426090,2004,0.013104073
6426097,2004,0.004099985
6426098,2004,0.002051146
6426118,2004,0.006287477
6429258,2004,0.011873494
6429268,2004,0.007681624
6429269,2004,0.005896753
6429275,2004,0.007398234
6429296,2004,0.000630058
6429297,2004,0.007558821
6429298,2004,0.003531488
6432436,2004,0.011978505
6432446,2004,0.011730792
6432447,2004,0.001874366
6432452,2004,0.007817444
6432453,2004,0.000604781
6432476,2004,0.005586934
6435614,2004,0.011942441
6435624,2004,0.012909586
6435629,2004,0.007779352
6435630,2004,0.000472178
6435651,2004,0.010786462
6435652,2004,0.01204737
6435653,2004,0.011934869
6435654,2004,0.012215747
6438792,2004,0.007524152
6438793,2004,0.006723434
6438802,2004,0.01209162
6438804,2004,0.004733813
6438805,2004,0.006040572
6438806,2004,0.006173118
6438807,2004,0.000720828
6438828,2004,0.003611153
6438829,2004,0.008675912
6441971,2004,0.015932959
6441972,2004,0.000731587
6441977,2004,0.011241133
6441978,2004,0.015334306
6441979,2004,0.016714112
6441980,2004,0.006201533
6441981,2004,0.005811251
6441982,2004,0.005431789
6441985,2004,0.001735514
6441986,2004,0.003386173
6442004,2004,0.004136561
6442005,2004,0.012374605
6442006,2004,0.013854981
6445149,2004,0.00316097
6445150,2004,0.015711585
6445153,2004,0.00904294
6445154,2004,0.013595353
6445155,2004,0.001392189
6445157,2004,0.007492443
6445158,2004,0.012013585
6445159,2004,0.006322025
6445160,2004,0.005916443
6445161,2004,0.005916443
6445162,2004,0.006086465
6445163,2004,0.004536665
6445164,2004,0.006663671
6445165,2004,0.005925633
6445166,2004,0.005925633
6445167,2004,0.002080185
6445170,2004,0.00310718
6445171,2004,0.005934484
6445172,2004,0.011070961
6445173,2004,0.011911283
6445174,2004,0.007805877
6445179,2004,0.00831743
6445180,2004,0.012593052
6445181,2004,0.011937236
6445182,2004,0.0084123
6448327,2004,0.000132602
6448328,2004,0.025065519
6448329,2004,0.012041526
6448330,2004,0.012754968
6448331,2004,0.004552414
6448345,2004,0.003845448
6448346,2004,0.005925633
6448347,2004,0.005939205
6448348,2004,0.002840163
6448352,2004,0.006431996
6448353,2004,0.012602019
6448354,2004,0.012585699
6448355,2004,0.007216825
6448356,2004,0.006270879
6448357,2004,0.011066324
6451506,2004,0.000244211
6451533,2004,0.004954272
6451534,2004,0.006606265
