GRIDCODE,CVENTMUN,Frur,Furb,Fpob,Prur_T,Purb_T,P_tot
6359348,02005,0.003776694,0,0.003776694,14563,,14563
6359350,02005,0.005562041,0,0.005562041,14563,,14563
6359351,02005,0.001991348,0,0.001991348,14563,,14563
6359352,02005,0.008720731,0,0.008720731,14563,,14563
6359368,02004,0.000124288,0,0.000124288,40229,,40229
6362526,02005,0.000686672,7.88384E-05,0.000176468,14563,76105,90668
6362528,02005,0.000343336,0,0.000343336,14563,,14563
6362529,02005,0.000274669,0,0.000274669,14563,,14563
6362530,02005,0.000206002,0,0.000206002,14563,,14563
6362531,02005,0.000206002,0,0.000206002,14563,,14563
6362533,02005,0.000206002,0,0.000206002,14563,,14563
6365703,02005,0,0.000985481,0.000985481,,76105,76105
6365704,02005,0,0.001419092,0.001419092,,76105,76105
6365705,02005,0.045526334,0,0.045526334,14563,,14563
6365707,02005,0.001373343,0,0.001373343,14563,,14563
6365711,02005,0.000137334,0,0.000137334,14563,,14563
6365712,02005,0.000137334,0,0.000137334,14563,,14563
6365713,02004,4.97154E-05,0,4.97154E-05,40229,,40229
6365721,02004,2.48577E-05,0,2.48577E-05,40229,,40229
6368881,02005,0,0.002680507,0.002680507,,76105,76105
6368882,02005,0.0046007,0.000341633,0.00102572,14563,76105,90668
6368883,02005,0.000343336,0,0.000343336,14563,,14563
6368888,02005,0.001098675,0,0.001098675,14563,,14563
6368899,02004,7.45731E-05,0,7.45731E-05,40229,,40229
6368901,02004,4.97154E-05,0,4.97154E-05,40229,,40229
6372059,02005,0,0.002969581,0.002969581,,76105,76105
6372062,02005,0.000343336,0,0.000343336,14563,,14563
6372063,02005,0.053766394,0,0.053766394,14563,,14563
6372065,02005,0.000549337,0,0.000549337,14563,,14563
6372077,02004,2.48577E-05,0,2.48577E-05,40229,,40229
6372078,02004,7.45731E-05,0,7.45731E-05,40229,,40229
6372091,02004,4.97154E-05,0,4.97154E-05,40229,,40229
6372094,02004,9.94308E-05,0,9.94308E-05,40229,,40229
6375237,02005,0.000343336,0.001997241,0.001731592,14563,76105,90668
6375239,02005,0.000137334,0,0.000137334,14563,,14563
6375240,02005,0.000137334,0,0.000137334,14563,,14563
6375241,02005,0.005081371,0,0.005081371,14563,,14563
6375242,02005,0.002334684,0,0.002334684,14563,,14563
6375243,02005,0.001098675,0,0.001098675,14563,,14563
6375245,02005,0.001167342,0,0.001167342,14563,,14563
6375255,02004,7.45731E-05,0,7.45731E-05,40229,,40229
6375256,02004,0.000124288,0,0.000124288,40229,,40229
6375258,02004,2.48577E-05,0,2.48577E-05,40229,,40229
6375272,02004,7.45731E-05,0,7.45731E-05,40229,,40229
6378414,02005,0,0.001235136,0.001235136,,76105,76105
6378415,02005,0,0.008461993,0.008461993,,76105,76105
6378416,02005,0,0.003508311,0.003508311,,76105,76105
6378417,02005,0.003227357,0.001432232,0.001720563,14563,76105,90668
6378419,02005,0.003570693,0,0.003570693,14563,,14563
6378421,02005,0.002266017,0,0.002266017,14563,,14563
6378422,02005,0.00096134,0,0.00096134,14563,,14563
6378423,02005,6.86672E-05,0,6.86672E-05,14563,,14563
6378436,02004,4.97154E-05,0,4.97154E-05,40229,,40229
6378450,02004,9.94308E-05,0,9.94308E-05,40229,,40229
6381592,02005,0,0.011089942,0.011089942,,76105,76105
6381593,02005,0,0.035832074,0.035832074,,76105,76105
6381594,02005,0,0.027028448,0.027028448,,76105,76105
6381595,02005,0,0.008054661,0.008054661,,76105,76105
6381597,02005,0.140081027,0,0.140081027,14563,,14563
6381598,02005,0.024308178,0,0.024308178,14563,,14563
6381601,02005,0.001579345,0,0.001579345,14563,,14563
6381603,02004,2.48577E-05,0,2.48577E-05,40229,,40229
6381604,02004,7.45731E-05,0,7.45731E-05,40229,,40229
6381610,02004,2.48577E-05,0,2.48577E-05,40229,,40229
