GRIDCODE,LONG,LATITUDE,Huso,Pob,UTMx,UTMy,UTMz
48,30,"EI 2016 Area Tijuana V4.0",,,,,
6359335,-117.1695164,32.26945514,8,0,1064321.774,2320649.062,11
6359336,-117.1590289,32.2704008,8,0,1065321.774,2320649.062,11
6359337,-117.1485412,32.2713458,8,0,1066321.774,2320649.062,11
6359338,-117.1380533,32.27229015,8,0,1067321.774,2320649.062,11
6359339,-117.1275653,32.27323384,8,0,1068321.774,2320649.062,11
6359340,-117.1170771,32.27417688,8,0,1069321.774,2320649.062,11
6359341,-117.1065887,32.27511926,8,0,1070321.774,2320649.062,11
6359342,-117.0961002,32.27606099,8,0,1071321.774,2320649.062,11
6359343,-117.0856115,32.27700207,8,0,1072321.774,2320649.062,11
6359344,-117.0751226,32.27794249,8,0,1073321.774,2320649.062,11
6359345,-117.0646336,32.27888226,8,0,1074321.774,2320649.062,11
6359346,-117.0541445,32.27982137,8,0,1075321.774,2320649.062,11
6359347,-117.0436551,32.28075983,8,0,1076321.774,2320649.062,11
6359348,-117.0331656,32.28169763,8,55,1077321.774,2320649.062,11
6359349,-117.022676,32.28263478,8,0,1078321.774,2320649.062,11
6359350,-117.0121861,32.28357128,8,81,1079321.774,2320649.062,11
6359351,-117.0016962,32.28450712,8,29,1080321.774,2320649.062,11
6359352,-116.991206,32.28544231,8,127,1081321.774,2320649.062,11
6359353,-116.9807157,32.28637684,8,0,1082321.774,2320649.062,11
6359354,-116.9702253,32.28731072,8,0,1083321.774,2320649.062,11
6359355,-116.9597346,32.28824394,8,0,1084321.774,2320649.062,11
6359356,-116.9492439,32.28917651,8,0,1085321.774,2320649.062,11
6359357,-116.9387529,32.29010843,8,0,1086321.774,2320649.062,11
6359358,-116.9282618,32.29103969,8,0,1087321.774,2320649.062,11
6359359,-116.9177705,32.29197029,8,0,1088321.774,2320649.062,11
6359360,-116.9072791,32.29290025,8,0,1089321.774,2320649.062,11
6359361,-116.8967875,32.29382954,8,0,1090321.774,2320649.062,11
6359362,-116.8862958,32.29475819,8,0,1091321.774,2320649.062,11
6359363,-116.8758039,32.29568617,8,0,1092321.774,2320649.062,11
6359364,-116.8653118,32.29661351,8,0,1093321.774,2320649.062,11
6359365,-116.8548196,32.29754019,8,0,1094321.774,2320649.062,11
6359366,-116.8443272,32.29846621,8,0,1095321.774,2320649.062,11
6359367,-116.8338346,32.29939158,8,0,1096321.774,2320649.062,11
6359368,-116.8233419,32.3003163,8,5,1097321.774,2320649.062,11
6359369,-116.8128491,32.30124036,8,0,1098321.774,2320649.062,11
6359370,-116.8023561,32.30216377,8,0,1099321.774,2320649.062,11
6359371,-116.7918629,32.30308652,8,0,1100321.774,2320649.062,11
6359372,-116.7813695,32.30400862,8,0,1101321.774,2320649.062,11
6359373,-116.770876,32.30493006,8,0,1102321.774,2320649.062,11
6359374,-116.7603824,32.30585085,8,0,1103321.774,2320649.062,11
6359375,-116.7498886,32.30677099,8,0,1104321.774,2320649.062,11
6359376,-116.7393946,32.30769047,8,0,1105321.774,2320649.062,11
6359377,-116.7289004,32.30860929,8,0,1106321.774,2320649.062,11
6359378,-116.7184062,32.30952746,8,0,1107321.774,2320649.062,11
6359379,-116.7079117,32.31044498,8,0,1108321.774,2320649.062,11
6359380,-116.6974171,32.31136184,8,0,1109321.774,2320649.062,11
6359381,-116.6869223,32.31227805,8,0,1110321.774,2320649.062,11
6359382,-116.6764274,32.3131936,8,0,1111321.774,2320649.062,11
6362513,-117.1706299,32.2783654,8,0,1064321.774,2321649.062,11
6362514,-117.1601416,32.2793111,8,0,1065321.774,2321649.062,11
6362515,-117.1496532,32.28025614,8,0,1066321.774,2321649.062,11
