 GRID, CVE_ENT_MUN, Fv, Fc
         610
     6359348 ,        2005 ,   2.75758561E-03 ,   1.79850105E-02
     6359349 ,        2005 ,   7.46766757E-03 ,   7.11368350E-03
     6362526 ,        2005 ,   3.72320326E-04 ,   2.36995723E-02
     6365704 ,        2005 ,   4.65346826E-03 ,   2.30331123E-02
     6368881 ,        2005 ,   5.40048769E-03 ,   1.77908782E-02
     6368882 ,        2005 ,   8.19442561E-04 ,   5.46909822E-03
     6372059 ,        2005 ,   5.21400338E-03 ,   2.30316333E-02
     6375237 ,        2005 ,   6.25364063E-03 ,   1.92907061E-02
     6378415 ,        2005 ,   1.46859372E-02 ,   1.13280760E-02
     6381593 ,        2005 ,   2.02896241E-02 ,   1.14525761E-02
     6384770 ,        2005 ,   1.35657378E-02 ,   5.89545444E-03
     6384771 ,        2005 ,   2.32117251E-02 ,   6.08229917E-03
     6387948 ,        2005 ,   1.70905869E-02 ,   1.93977039E-02
     6387949 ,        2005 ,   2.13309955E-02 ,   3.59346950E-03
     6387980 ,        2004 ,   0.00000000     ,   7.55859597E-04
     6387981 ,        2004 ,   0.00000000     ,   2.66446313E-03
     6391125 ,        2005 ,   3.25828604E-03 ,   4.38457209E-04
     6391126 ,        2005 ,   1.28086386E-02 ,   1.16624907E-02
     6391127 ,        2005 ,   2.51674727E-02 ,   1.14628207E-02
     6391158 ,        2004 ,   6.88404427E-04 ,   3.33186309E-03
     6394303 ,        2005 ,   6.75164489E-03 ,   1.29335029E-02
     6394305 ,        2005 ,   1.84878800E-02 ,   1.19720586E-02
     6394335 ,        2004 ,   3.66579516E-05 ,   2.08985619E-03
     6394336 ,        2004 ,   1.89296738E-03 ,   1.06449658E-03
     6397481 ,        2005 ,   1.37615511E-02 ,   1.67000741E-02
     6397483 ,        2005 ,   1.42588373E-02 ,   1.25697106E-02
     6397513 ,        2004 ,   0.00000000     ,   3.23931500E-03
     6400658 ,        2005 ,   6.01602194E-04 ,   1.59231145E-02
     6400659 ,        2005 ,   2.01144459E-04 ,   1.50579272E-03
     6400661 ,        2005 ,   2.15314887E-02 ,   1.42511288E-02
     6400691 ,        2004 ,   0.00000000     ,   2.90431664E-03
     6403836 ,        2005 ,   2.71890196E-03 ,   2.26466116E-02
     6403839 ,        2005 ,   2.65944619E-02 ,   6.92127098E-04
     6403840 ,        2005 ,   1.71969440E-02 ,   1.24985874E-02
     6403868 ,        2004 ,   0.00000000     ,   2.50312197E-03
     6403869 ,        2004 ,   0.00000000     ,   6.79735444E-04
     6407014 ,        2004 ,   5.44486800E-04 ,   9.13520530E-03
     6407014 ,        2005 ,   3.48536926E-03 ,   4.19516535E-03
     6407018 ,        2004 ,   4.74312197E-04 ,   5.63187583E-04
     6407018 ,        2005 ,   1.06903249E-02 ,   1.35214347E-02
     6407019 ,        2004 ,   5.34471241E-04 ,   8.40648636E-03
     6407046 ,        2004 ,   0.00000000     ,   2.79752631E-03
     6410192 ,        2004 ,   1.71759410E-03 ,   1.11917956E-02
     6410197 ,        2004 ,   8.32403835E-04 ,   4.92675463E-03
     6410198 ,        2004 ,   6.80677884E-04 ,   1.22340117E-02
     6410199 ,        2004 ,   3.95711686E-05 ,   1.78812677E-03
     6410210 ,        2004 ,   0.00000000     ,   9.68354987E-04
     6410211 ,        2004 ,   6.43185049E-05 ,   9.76056690E-05
     6410213 ,        2004 ,   4.25885955E-05 ,   2.48281285E-03
     6410214 ,        2004 ,   7.79916518E-05 ,   5.98950824E-03
     6410215 ,        2004 ,   0.00000000     ,   9.51234309E-04
     6410224 ,        2004 ,   0.00000000     ,   3.06244497E-03
     6413370 ,        2004 ,   1.41878775E-03 ,   1.12114083E-02
     6413377 ,        2004 ,   2.57188105E-03 ,   6.25233445E-03
     6413378 ,        2004 ,   3.32768587E-03 ,   1.19529956E-03
     6413388 ,        2004 ,   2.60470813E-04 ,   7.18847848E-03
     6413389 ,        2004 ,   1.11734487E-04 ,   5.62045584E-03
     6413390 ,        2004 ,   7.54352426E-04 ,   5.59941167E-03
     6413391 ,        2004 ,   8.20019457E-04 ,   3.34081659E-03
     6413393 ,        2004 ,   4.42132441E-05 ,   5.00921486E-03
     6413394 ,        2004 ,   8.27940181E-04 ,   5.85571118E-03
     6413395 ,        2004 ,   2.88407929E-04 ,   5.71925007E-03
     6413396 ,        2004 ,   3.27480986E-04 ,   4.42593452E-03
     6413401 ,        2004 ,   0.00000000     ,   3.03884246E-03
     6413402 ,        2004 ,   0.00000000     ,   5.89261472E-04
     6416547 ,        2004 ,   6.01071806E-04 ,   1.71498361E-03
     6416548 ,        2004 ,   3.26927111E-04 ,   9.56960302E-03
     6416555 ,        2004 ,   1.22704648E-03 ,   2.64089182E-03
